#NAME?	#NAME?
(1) (Japanese) maple	(1) (ஜப்பானிய) மேப்பிள்
order; request	ஒழுங்கு; கோரிக்கை
order; rules; law	ஒழுங்கு; விதிகள்; சட்டம்
order; sequence; procedure	ஒழுங்கு; வரிசை; செயல்முறை
order; system; structure; set-up; organization	ஒழுங்கு; அமைப்பு; கட்டமைப்பு; அமைவு; அமைப்பு
order; turn	ஒழுங்கு; திரும்ப
ordinary	சாதாரண
ordinary; regular; everyday; usual	சாதாரண; வழக்கமான; தினமும்; வழக்கமான
ordinary; usual; in general; briefly	சாதாரண; வழக்கமான; பொதுவாக; சுருக்கமாக
organ	உறுப்பு
organ (of body); instrument	உறுப்பு (உடலின்); கருவி
organ; mechanism; facility; engine	உறுப்பு; பொறிமுறை; வசதி; இயந்திரம்
organic	கரிம
organism	உயிரினம்
organization	அமைப்பு
organization; association	அமைப்பு; சங்கம்
organization; composition	அமைப்பு; கலவை
organizational	நிறுவன
organize	ஏற்பாடு
organized	ஏற்பாடு
organizer	அமைப்பாளர்
orientation	நோக்குநிலை
origin	தோற்றம்
origin (coordinates); starting point	தோற்றம் (ஆயங்கள்); தொடக்க புள்ளி
origin; beginning	தோற்றம்; ஆரம்பம்
origin; beginning; rise	தோற்றம்; ஆரம்பம்; உயர்வு
origin; primeval	தோற்றம்; முதன்மையானது
original	அசல்
original (text)	அசல் (உரை)
original document	அசல் ஆவணம்
original form; base form	அசல் வடிவம்; அடிப்படை வடிவம்
original work	அசல் வேலை
original; primitive; primary; fundamental; raw	அசல்; பழமையான; முதன்மை; அடிப்படை; மூல
originally	முதலில்
originally; by nature; from the start	முதலில்; இயற்கையால்; தொடக்கத்தில் இருந்து
originally; primarily; essentially; logically; naturally	முதலில்; முதன்மையாக; அடிப்படையில்; தர்க்கரீதியாக; இயற்கையாகவே
originate	தோற்றுவிக்கிறது
orphan	அனாதை
other	மற்றவை
other (esp. places and things)	மற்றவை (எ.கா. இடங்கள் மற்றும் விஷயங்கள்)
other place; the rest	வேறு இடம்; மீதமுள்ளவை
otherwise	இல்லையெனில்
ought	வேண்டும்
our	எங்கள்
our person in charge	எங்கள் பொறுப்பாளர்
ours	நம்முடையது
ourselves	நாமே
out	வெளியே
out of the blue	நீலம் வெளியே
outbreak	வெடிப்பு
outcome	விளைவு
outdoor	வெளிப்புற
outdoors	வெளியில்
outer	வெளி
outfit	ஆடை
outgoing	வெளிச்செல்லும்
outing	வெளியூர் பயணம்
outing; going out	வெளியூர் பயணம்; வெளியே செல்கிறது
outlet	கடையின்
outline	கோடிட்டு
outline; summary; gist; in brief	அவுட்லைன்; சுருக்கம்; சாராம்சம்; சுருக்கமாக
outlook	கண்ணோட்டம்
outnumber	எண்ணிக்கையை மிஞ்சும்
output	வெளியீடு
outrage	சீற்றம்
outside	வெளியே
outside the area	பகுதிக்கு வெளியே
outsider	வெளி நபர்
outskirts	புறநகரில்
outstanding	நிலுவையில் உள்ளது
outward appearance	வெளிப்புற தோற்றம்
oven	அடுப்பு
over	முடிந்துவிட்டது
over there	அங்கு
over there, that place over there	அங்கே, அந்த இடம் அங்கே
overall	ஒட்டுமொத்த
overall victory; championship	ஒட்டுமொத்த வெற்றி; சாம்பியன்ஷிப்
overbearing; coercive; pushy; forcible; high-handed	மிகைப்படுத்தல்; வற்புறுத்துதல்; தள்ளும்; வலுக்கட்டாயமாக; உயர் கை
overcome	கடக்க
overlook	கவனிக்கவில்லை
overly	அதிகமாக
overnight	ஒரே இரவில்
overseas	வெளிநாட்டு
overseas / abroad	வெளிநாட்டில் / வெளிநாட்டில்
overseas student	வெளிநாட்டு மாணவர்
oversee	மேற்பார்வை
overtime work	கூடுதல் நேர வேலை
overturn	கவிழ்ப்பு
overwhelm	மூழ்கடிக்கும்
overwhelming	பெரும்
overwork; strain	அதிக வேலை; திரிபு
owe	கடன்பட்டுள்ளது
owl	ஆந்தை
own	சொந்தம்
owner	உரிமையாளர்
ownership	உரிமை
oxygen	ஆக்ஸிஜன்
p.m. / afternoon	பி.எம். / பிற்பகல்
pace	வேகம்
pack	பேக்
package	தொகுப்பு
packed tightly	இறுக்கமாக பேக் செய்யப்பட்டது
packet	பாக்கெட்
packing (in cans); canning; canned goods; tin can	பேக்கிங் (கேன்களில்); பதப்படுத்தல்; பதிவு செய்யப்பட்ட பொருட்கள்; தகர டப்பா
packing; baling; crating	பேக்கிங்; பேலிங்; crating
packing; wrapping	பேக்கிங்; போர்த்துதல்
pad	திண்டு
paddy field; farm	நெல் வயல்; பண்ணை
page	பக்கம்
pain	வலி
pain; ache; sore; grief; distress	வலி; வலி; புண்; துக்கம்; துன்பம்
pain; agony	வலி; வேதனை
pain; trouble	வலி; பிரச்சனை
painful	வலி
painful / hard	வலி / கடினமான
painful / hurts	வலி / வலிக்கிறது
painful; difficult	வலிமிகுந்த; கடினமான
painful; heart-breaking	வலிமிகுந்த; இதயத்தை உடைக்கும்
paint	பெயிண்ட்
painter	ஓவியர்
painter; artist	ஓவியர்; கலைஞர்
painting	ஓவியம்
painting; picture; drawing	ஓவியம்; படம்; வரைதல்
pair	ஜோடி
pair; couple; set	ஜோடி; ஜோடி; அமைக்கப்பட்டது
pajamas	பைஜாமாக்கள்
palace	அரண்மனை
pale	வெளிர்
pale; pallid	வெளிர்; வெளிறிய
palm	பனை
pan	பான்
panda	பாண்டா
pandemic	தொற்றுநோய்
panel	குழு
panic	பீதி
pants	கால்சட்டை
paper	காகிதம்
paper money; notes; bills	காகித பணம்; குறிப்புகள்; பில்கள்
paper sliding door	காகித நெகிழ் கதவு
parade	அணிவகுப்பு
paradigm	முன்னுதாரணம்
paradise	சொர்க்கம்
paradox	முரண்பாடு
paragraph	பத்தி
parallel	இணையான
parameter	அளவுரு
paramount	முதன்மையானது
parcel; package	பார்சல்; தொகுப்பு
pardon; forgiveness; forbearance	மன்னிக்கவும்; மன்னிப்பு; சகிப்புத்தன்மை
parent	பெற்றோர்
parental	பெற்றோர்
parenthesis; brackets	அடைப்புக்குறி; அடைப்புக்குறிகள்
parents	பெற்றோர்கள்
parish	திருச்சபை
park	பூங்கா
parking	பார்க்கிங்
parking (e.g. car)	பார்க்கிங் (எ.கா. கார்)
parking lot	வாகன நிறுத்துமிடம்
parliament	பாராளுமன்றம்
parliamentary	பாராளுமன்ற
parlor; guest room	பார்லர்; விருந்தினர் அறை
part	பகுதி
part of word written in kana	கானாவில் எழுதப்பட்ட வார்த்தையின் ஒரு பகுதி
part-time	பகுதி நேர
part-time job	பகுதி நேர வேலை
part; assigning (allotment of) parts; role; duties	பகுதி; பகுதிகளை ஒதுக்குதல் (ஒதுக்கீடு); பங்கு; கடமைகள்
partial	பகுதி
partially	ஓரளவு
participant	பங்கேற்பாளர்
participate	பங்கேற்க
participation	பங்கேற்பு
participation; taking part in; participating in; being concerned in	பங்கேற்பு; பங்கேற்பது; பங்கேற்பது; கவலையில் உள்ளது
particular	குறிப்பாக
particular case	குறிப்பிட்ட வழக்கு
particularly	குறிப்பாக
particularly; especially	குறிப்பாக; குறிப்பாக
parting	பிரிதல்
parting; separation; farewell	பிரிதல்; பிரித்தல்; விடைபெறுதல்
partly	ஓரளவு
partner	பங்குதாரர்
partnership	கூட்டு
parts; accessories	பாகங்கள்; பாகங்கள்
party	கட்சி
party (political)	கட்சி (அரசியல்)
party of ... people	மக்கள் கட்சி
party; banquet	கட்சி; விருந்து
pass	பாஸ்
passable	கடந்து செல்லக்கூடியது
passage	பத்தியில்
passage through; passing	வழியாக செல்லும்; கடந்து செல்கிறது
passage; expiration; progress	பத்தியில்; காலாவதி; முன்னேற்றம்
passage; passing	பத்தியில்; கடந்து செல்கிறது
passage; pathway	பத்தியில்; பாதை
passage; place; point; part	பத்தியில்; இடம்; புள்ளி; பகுதி
passbook	பாஸ்புக்
passenger	பயணி
passing	கடந்து செல்கிறது
passion	பேரார்வம்
passionate	உணர்ச்சிமிக்க
passive	செயலற்ற
passport	கடவுச்சீட்டு
password	கடவுச்சொல்
past	கடந்த
past (the hour)	கடந்த (மணிநேரம்)
past events; bygones	கடந்த கால நிகழ்வுகள்; கடந்த காலங்கள்
past; after	கடந்த; பிறகு
pasta	பாஸ்தா
paste; starch	பேஸ்ட்; ஸ்டார்ச்
pastor	போதகர்
pastry	பேஸ்ட்ரி
patch	இணைப்பு
patent	காப்புரிமை
path	பாதை
pathway	பாதை
patience	பொறுமை
patience / perseverance	பொறுமை / விடாமுயற்சி
patience; endurance; perseverance	பொறுமை; சகிப்புத்தன்மை; விடாமுயற்சி
patient	நோயாளி
patrol	ரோந்து
patron	புரவலர்
pattern	முறை
pattern; figure; design	முறை; உருவம்; வடிவமைப்பு
paulownia tree	பவுலோனியா மரம்
pause	இடைநிறுத்தம்
pay	செலுத்து
payment	கட்டணம்
payment / checkout	கட்டணம் / செக்அவுட்
payment; allowance	பணம் செலுத்துதல்; கொடுப்பனவு
peace	அமைதி
peace; harmony	அமைதி; நல்லிணக்கம்
peaceful	அமைதியான
peach	பீச்
peach pink	பீச் இளஞ்சிவப்பு
peak	உச்சம்
peasant	விவசாயி
peculiar	விசித்திரமான
peculiarity; uniqueness; characteristic	தனித்தன்மை; தனித்துவம்; பண்பு
pedestrian traffic	பாதசாரி போக்குவரத்து
peer	சக
pen	பேனா
penalty	அபராதம்
penalty; sentence; punishment	அபராதம்; வாக்கியம்; தண்டனை
pencil	பென்சில்
penetration; invasion; raid; aggression; trespass	ஊடுருவல்; படையெடுப்பு; ரெய்டு; ஆக்கிரமிப்பு; அத்துமீறல்
penguin	பென்குயின்
peninsula	தீபகற்பம்
penmanship	எழுத்தாற்றல்
penny	பைசா
pension	ஓய்வூதியம்
people	மக்கள்
pepper	மிளகு
per	ஒன்றுக்கு
per cent	சதவீதம்
perceive	உணர்கின்றன
percentage	சதவீதம்
perception	உணர்தல்
perception; intuition; the sixth sense	உணர்தல்; உள்ளுணர்வு; ஆறாவது அறிவு
perfect	சரியான
perfect score	சரியான மதிப்பெண்
perfection; completeness	பரிபூரணம்; முழுமை
perfection; completeness; flawless	பரிபூரணம்; முழுமை; குறைபாடற்ற
perfection; harmony; peace; smoothness; completeness; satisfaction; integrity	பரிபூரணம்; நல்லிணக்கம்; அமைதி; மென்மை; முழுமை; திருப்தி; ஒருமைப்பாடு
perfectly	செய்தபின்
perform	நிகழ்த்து
performance	செயல்திறன்
perfume	வாசனை திரவியம்
perhaps	ஒருவேளை
perhaps; probably	ஒருவேளை; அநேகமாக
period	காலம்
period / duration	காலம் / காலம்
period; term	காலம்; கால
period; time	காலம்; நேரம்
permanent	நிரந்தர
permanently	நிரந்தரமாக
permission	அனுமதி
permission; approval	அனுமதி; ஒப்புதல்
permission; pardon	அனுமதி; மன்னிக்கவும்
permit	அனுமதி
perpetuate	நிலைத்திருக்கும்
persist	நிலைத்திருக்கும்
persistent	தொடர்ந்து
person	நபர்
person; way of doing	நபர்; செய்யும் முறை
personal	தனிப்பட்ட
personal computer	தனிப்பட்ட கணினி
personal expenses; pocket money; spending money; incidental expenses; allowance	தனிப்பட்ட செலவுகள்; பாக்கெட் பணம்; பணம் செலவழித்தல்; தற்செயலான செலவுகள்; கொடுப்பனவு
personal history; career	தனிப்பட்ட வரலாறு; தொழில்
personality	ஆளுமை
personally	தனிப்பட்ட முறையில்
personnel	பணியாளர்கள்
persons; this and that; here and there; everywhere	நபர்கள்; இது மற்றும் அது; அங்கும் இங்கும்; எல்லா இடங்களிலும்
perspective	முன்னோக்கு
perspective; unobstructed view; outlook; forecast; prospect; insight	முன்னோக்கு; தடையற்ற பார்வை; கண்ணோட்டம்; முன்னறிவிப்பு; வாய்ப்பு; நுண்ணறிவு
persuade	வற்புறுத்தவும்
persuasive	வற்புறுத்தும்
pertinent; appropriate; adequate; relevance	பொருத்தமான; பொருத்தமான; போதுமான; சம்பந்தம்
pervasive	பரவலான
pessimistic	அவநம்பிக்கையான
pet	செல்லப்பிராணி
petition	மனு
petrol	பெட்ரோல்
pharmacy	மருந்தகம்
pharmacy; drugstore	மருந்தகம்; மருந்துக்கடை
phase	கட்டம்
phenomenon	நிகழ்வு
philosopher	தத்துவவாதி
philosophical	தத்துவம்
philosophy	தத்துவம்
phone	தொலைபேசி
phone extension; indoor wiring; inner line	தொலைபேசி நீட்டிப்பு; உட்புற வயரிங்; உள் கோடு
phone number	தொலைபேசி எண்
photo	புகைப்படம்
photograph	புகைப்படம்
photographer	புகைப்படக்காரர்
photographing	புகைப்படம் எடுத்தல்
photography	புகைப்படம் எடுத்தல்
phrase	சொற்றொடர்
phrase; complaint	சொற்றொடர்; புகார்
physical	உடல்
physical education	உடற்கல்வி
physical education; gymnastics; athletics	உடற்கல்வி; ஜிம்னாஸ்டிக்ஸ்; தடகள
physician	மருத்துவர்
physics	இயற்பியல்
piano	பியானோ
pick	எடு
pickpocket	பிக்பாக்கெட்
picture	படம்
picture / painting	படம் / ஓவியம்
picture book	பட புத்தகம்
picture; photograph	படம்; புகைப்படம்
piece	துண்டு
pig	பன்றி
pile	குவியல்
pill	மாத்திரை
pillow	தலையணை
pillow; bolster	தலையணை; வலுவூட்டு
pilot	விமானி
pin	முள்
pineapple	அன்னாசி
pink	இளஞ்சிவப்பு
pioneer	முன்னோடி
pipe	குழாய்
pipe; tube	குழாய்; குழாய்
pipeline	குழாய்
pirate	கடற்கொள்ளையர்
pit	குழி
pitch	சுருதி
pitch black	சுருதி கருப்பு
pitiful; a pity	பரிதாபகரமான; ஒரு பரிதாபம்
pity	பரிதாபம்
pivotal	முக்கிய
pizza	பீட்சா
place	இடம்
place / spot	இடம் / இடம்
place name	இடப் பெயர்
place of origin; habitat	பிறந்த இடம்; வாழ்விடம்
place of work	வேலை செய்யும் இடம்
place where things are sold	பொருட்கள் விற்கப்படும் இடம்
place; field (physics)	இடம்; புலம் (இயற்பியல்)
place; situation; position; location	இடம்; சூழ்நிலை; நிலை; இடம்
placement	வேலை வாய்ப்பு
plain	வெற்று
plain; open field	வெற்று; திறந்த வெளி
plain; simple	வெற்று; எளிய
plain; unfigured	வெற்று; உருவமற்ற
plaintiff	வாதி
plan	திட்டம்
plan / project	திட்டம் / திட்டம்
plan; design	திட்டம்; வடிவமைப்பு
plan; project; schedule; scheme; program	திட்டம்; திட்டம்; அட்டவணை; திட்டம்; திட்டம்
plan; suffix meaning draft	திட்டம்; பின்னொட்டு பொருள் வரைவு
plane	விமானம்
plane ticket	விமான டிக்கெட்
planet	கிரகம்
planning	திட்டமிடல்
planning; project	திட்டமிடல்; திட்டம்
plant	ஆலை
plant; vegetation	ஆலை; தாவரங்கள்
plastic	பிளாஸ்டிக்
plate	தட்டு
plate; dish	தட்டு; டிஷ்
plateau	பீடபூமி
platform	மேடை
platform / boarding area	மேடை / போர்டிங் பகுதி
platform / stop	மேடை / நிறுத்தம்
plausible	நம்பத்தகுந்த
play	விளையாடு
play (theatrical)	நாடகம் (நாடக)
play; drama	விளையாடு; நாடகம்
playback	பின்னணி
player	வீரர்
plaza	பிளாசா
plea	வேண்டுகோள்
plead	மன்றாடு
pleasant	இனிமையான
pleasant; agreeable	இனிமையான; ஏற்றுக்கொள்ளத்தக்கது
pleasant; agreeable; comfortable	இனிமையான; ஏற்றுக்கொள்ளத்தக்கது; வசதியான
pleasant; happy	இனிமையான; மகிழ்ச்சி
please	தயவுசெய்து
please (go ahead)	தயவு செய்து (மேலே செல்)
please come (respect request)	தயவுசெய்து வாருங்கள் (மரியாதை கோரிக்கை)
please command (humble)	தயவுசெய்து கட்டளையிடவும் (தாழ்மையுடன்)
please confirm	உறுதிப்படுத்தவும்
please consider	கருத்தில் கொள்ளவும்
please find enclosed	தயவுசெய்து இணைக்கப்பட்டதைக் கண்டறியவும்
please forgive / allow	தயவுசெய்து மன்னிக்கவும் / அனுமதிக்கவும்
please give it a read	தயவுசெய்து அதைப் படிக்கவும்
please let me know (humble)	தயவுசெய்து எனக்குத் தெரியப்படுத்துங்கள் (தாழ்மையுடன்)
please look (respect request)	தயவுசெய்து பாருங்கள் (மரியாதை கோரிக்கை)
please review (respect)	தயவுசெய்து மதிப்பாய்வு செய்யவும் (மரியாதை)
please speak slowly	தயவுசெய்து மெதுவாக பேசுங்கள்
please tell me	தயவுசெய்து சொல்லுங்கள்
please treat me well	தயவுசெய்து என்னை நன்றாக நடத்துங்கள்
please wait a moment	தயவு செய்து சற்று பொறுங்கள்
please write it	தயவுசெய்து அதை எழுதுங்கள்
please; kindly; by all means	தயவுசெய்து; அன்புடன்; எல்லா வகையிலும்
pleased	மகிழ்ச்சி
pleased to meet you	உங்களை சந்தித்ததில் மகிழ்ச்சி
pleasure	மகிழ்ச்சி
pleasure; amusement	இன்பம்; பொழுதுபோக்கு
pledge	உறுதிமொழி
plenty	நிறைய
plot	சதி
plot of land; lot; soil	நிலம்; நிறைய; மண்
plug	பிளக்
plum; plum-tree; lowest (of a three-tier ranking system)	பிளம்; பிளம்-மரம்; குறைந்த (மூன்று அடுக்கு தரவரிசை அமைப்பில்)
plummet	சரிவு
plunge	சரிவு
plural; multiple	பன்மை; பல
plus	கூடுதலாக
pocket	பாக்கெட்
poem	கவிதை
poem; verse of poetry	கவிதை; கவிதை வசனம்
poet	கவிஞர்
poetry	கவிதை
point	புள்ளி
point of view	கண்ணோட்டம்
point out	சுட்டிக்காட்டுகின்றனர்
point; dot	புள்ளி; புள்ளி
point; gist; essentials; outline	புள்ளி; சாராம்சம்; அத்தியாவசிய பொருட்கள்; கோடிட்டு
pointed	சுட்டிக்காட்டினார்
pointed end; tip; fine point	முனை முனை; முனை; நல்ல புள்ளி
pointed; sharp	சுட்டிக்காட்டினார்; கூர்மையான
poison	விஷம்
poison; toxicant	விஷம்; நச்சுப்பொருள்
poisonous	விஷம்
pole	கம்பம்
pole; rod; stick	கம்பம்; தடி; குச்சி
police	போலீஸ்
police box	போலீஸ் பெட்டி
police inspector	காவல் ஆய்வாளர்
police officer	போலீஸ் அதிகாரி
police station	காவல் நிலையம்
police; police station	போலீஸ்; காவல் நிலையம்
police; policeman	போலீஸ்; போலீஸ்காரர்
policeman	போலீஸ்காரர்
policeman (friendly term)	போலீஸ்காரர் (நட்பு வார்த்தை)
policy	கொள்கை
polite	கண்ணியமான
polite / careful	கண்ணியமான / கவனமாக
political	அரசியல்
politician	அரசியல்வாதி
politics	அரசியல்
politics; government	அரசியல்; அரசாங்கம்
poll	கருத்துக்கணிப்பு
pollen	மகரந்தம்
pollution	மாசுபாடு
pollution; contamination	மாசுபாடு; மாசுபடுதல்
pomp; splendor; gaudiness	ஆடம்பரம்; சிறப்பு; அட்டகாசம்
pond	குளம்
pool	குளம்
poor	ஏழை
poor (at); weak (in); dislike (of)	ஏழை (இல்); பலவீனமான (உள்ள); பிடிக்கவில்லை (இன்)
poor; needy	ஏழை; தேவையுள்ள
poor; pitiable; pathetic	ஏழை; பரிதாபத்திற்குரிய; பரிதாபகரமான
pop	பாப்
popcorn	பாப்கார்ன்
popular	பிரபலமான
popular use; circulation	பிரபலமான பயன்பாடு; சுழற்சி
popularity	புகழ்
popularity; favorable reputation	புகழ்; சாதகமான புகழ்
popularity; prosperous	புகழ்; செழிப்பான
population	மக்கள் தொகை
porcelain bowl; bowl of rice with food on top	பீங்கான் கிண்ணம்; மேலே உணவுடன் அரிசி கிண்ணம்
pork	பன்றி இறைச்சி
pork cutlet	பன்றி இறைச்சி கட்லெட்
port	துறைமுகம்
port / harbor	துறைமுகம் / துறைமுகம்
portfolio	போர்ட்ஃபோலியோ
portion	பகுதி
portion; section; part	பகுதி; பிரிவு; பகுதி
portrait	உருவப்படம்
portray	சித்தரிக்கின்றன
pose	போஸ்
position	நிலை
positive	நேர்மறை
positive; active; proactive	நேர்மறை; செயலில்; செயலூக்கமுள்ள
positive; affirmation	நேர்மறை; உறுதிமொழி
possess	உடையவை
possession	உடைமை
possibility	சாத்தியம்
possible	சாத்தியம்
possible; practicable; feasible	சாத்தியம்; நடைமுறைப்படுத்தக்கூடியது; சாத்தியமான
possibly	ஒருவேளை
post	பதவி
post office	தபால் அலுவலகம்
post-war	போருக்குப் பிந்தைய
postage stamp	தபால் தலை
postage; carriage	தபால் கட்டணம்; வண்டி
postal stamps	அஞ்சல் முத்திரைகள்
postcard	அஞ்சல் அட்டை
poster	சுவரொட்டி
postpone	ஒத்திவைக்க
postponement	ஒத்திவைப்பு
postponement; adjournment	ஒத்திவைப்பு; ஒத்திவைப்பு
postulate	முன்வைக்க
postulation	அனுமானம்
pot	பானை
potato	உருளைக்கிழங்கு
potential	திறன்
potentially	சாத்தியமான
pound	பவுண்டு
pour	ஊற்று
poverty	வறுமை
powder	தூள்
power	சக்தி
power / effort	சக்தி / முயற்சி
power / strength	சக்தி / வலிமை
power; authority; influence	சக்தி; அதிகாரம்; செல்வாக்கு
power; authority; jurisdiction	சக்தி; அதிகாரம்; அதிகார வரம்பு
power; might; authority; influence	சக்தி; வல்லமை; அதிகாரம்; செல்வாக்கு
powerful	சக்தி வாய்ந்த
practical	நடைமுறை
practical use; utility	நடைமுறை பயன்பாடு; பயன்பாடு
practical; actual condition; status quo	நடைமுறை; உண்மையான நிலை; தற்போதைய நிலை
practice	பயிற்சி
practice; exercises; manoeuvers	பயிற்சி; பயிற்சிகள்; சூழ்ச்சிகள்
practice; experience	பயிற்சி; அனுபவம்
practice; performance; execution (e.g. program); realization	பயிற்சி; செயல்திறன்; செயல்படுத்தல் (எ.கா. நிரல்); உணர்தல்
practice; training	பயிற்சி; பயிற்சி
practice; training; study	பயிற்சி; பயிற்சி; படிப்பு
practise	பயிற்சி
practitioner	பயிற்சியாளர்
pragmatic	நடைமுறை சார்ந்த
praise	பாராட்டு
pray	பிரார்த்தனை
prayer	பிரார்த்தனை
prayer; supplication	பிரார்த்தனை; வேண்டுதல்
preach	போதிக்கிறார்கள்
precede	முந்தி
precedent	முன்னோடி
precious	விலைமதிப்பற்ற
precious; valuable	விலைமதிப்பற்ற; மதிப்புமிக்க
precious; valuable; priceless; noble; exalted; sacred	விலைமதிப்பற்ற; மதிப்புமிக்க; விலைமதிப்பற்ற; உன்னதமான; உயர்ந்தது; புனிதமானது
precipitate	வீழ்படிவு
precise	துல்லியமான
precise; accurate	துல்லியமான; துல்லியமானது
precisely	துல்லியமாக
precision	துல்லியம்
preclude	தடுக்கும்
predator	வேட்டையாடும்
predecessor	முன்னோடி
predicate	கணிக்கின்றன
predict	கணிக்க
predictable	கணிக்கக்கூடியது
prediction	கணிப்பு
prediction; estimation	கணிப்பு; மதிப்பீடு
predominant	முதன்மையானது
predominantly	முக்கியமாக
prefectural governor	மாகாண ஆளுநர்
prefectural office	அரசியற் அலுவலகம்
prefecture	மாகாணம்
prefer	விரும்புகின்றனர்
preference	விருப்பம்
pregnancy	கர்ப்பம்
pregnant	கர்ப்பிணி
prejudice	பாரபட்சம்
preliminary	பூர்வாங்க
preliminary investigation; preparation	ஆரம்ப விசாரணை; தயாரிப்பு
premier	பிரதமர்
premise	வளாகம்
premium	பிரீமியம்
preparation	தயாரிப்பு
preparation (for class)	தயாரிப்பு (வகுப்புக்கு)
preparation for a lesson	ஒரு பாடத்திற்கான தயாரிப்பு
preparation of lessons	பாடங்கள் தயாரித்தல்
preparation; arrangements; provision; reserve	தயாரிப்பு; ஏற்பாடுகள்; ஏற்பாடு; இருப்பு
preparation; preliminaries; reserve; spare	தயாரிப்பு; பூர்வாங்கங்கள்; இருப்பு; உதிரி
prepare	தயார்
prepared	தயார்
prescribe	பரிந்துரை
prescription	மருந்துச்சீட்டு
presence	இருப்பு
presence; dignity	இருப்பு; கண்ணியம்
present	தற்போது
present condition; existing state; status quo	தற்போதைய நிலை; இருக்கும் மாநிலம்; தற்போதைய நிலை
present day	இன்றைய நாள்
present, gift	பரிசு, பரிசு
present; current; in operation	தற்போது; தற்போதைய; செயல்பாட்டில் உள்ளது
present; souvenir	தற்போது; நினைவு பரிசு
present; up to now; nowadays; modern times; current	தற்போது; இப்போது வரை; இப்போதெல்லாம்; நவீன காலம்; தற்போதைய
presentation	விளக்கக்காட்சி
presentation; submission; filing	விளக்கக்காட்சி; சமர்ப்பிப்பு; தாக்கல்
presenting to the public	பொதுமக்களுக்கு வழங்குதல்
presently	தற்போது
preservation	பாதுகாத்தல்
preservation / save	பாதுகாத்தல் / சேமித்தல்
preservation; conservation; storage; maintenance	பாதுகாத்தல்; பாதுகாப்பு; சேமிப்பு; பராமரிப்பு
preserve	பாதுகாக்க
preside	தலைமை தாங்க
presidency	ஜனாதிபதி பதவி
president	ஜனாதிபதி
president of a company	ஒரு நிறுவனத்தின் தலைவர்
president; chief executive	ஜனாதிபதி; தலைமை நிர்வாகி
presidential	ஜனாதிபதி
press	அழுத்தவும்
pressure	அழுத்தம்
pressure; coercion; oppression	அழுத்தம்; வற்புறுத்தல்; அடக்குமுறை
prestigious	மதிப்புமிக்க
presumably	மறைமுகமாக
presume	அனுமானிக்கவும்
presumption; assumption; estimation	அனுமானம்; அனுமானம்; மதிப்பீடு
pretend	பாசாங்கு
pretty	அழகான
pretty; clean; nice; tidy; beautiful; fair	அழகான; சுத்தமான; நல்ல; நேர்த்தியான; அழகான; நியாயமான
pretty; cute; lovely; charming; dear; darling; pet	அழகான; அழகான; அழகான; வசீகரமான; அன்பே; அன்பே; செல்லப்பிராணி
prevail	நிலவும்
prevalence	பரவல்
prevent	தடுக்க
prevention	தடுப்பு
prevention of crime	குற்றம் தடுப்பு
prevention; check	தடுப்பு; சரிபார்க்கவும்
prevention; precaution; protection against	தடுப்பு; முன்னெச்சரிக்கை; எதிராக பாதுகாப்பு
previous	முந்தைய
previously	முன்பு
prey	இரை
price	விலை
price; cost	விலை; செலவு
price; payment; cost; charge	விலை; பணம் செலுத்துதல்; செலவு; கட்டணம்
price; value; cost	விலை; மதிப்பு; செலவு
prices	விலைகள்
prices of commodities; prices (in general)	பொருட்களின் விலைகள்; விலைகள் (பொதுவாக)
pride	பெருமை
pride; boast	பெருமை; தற்பெருமை
pride; triumph; prosperity	பெருமை; வெற்றி; செழிப்பு
priest	பாதிரியார்
primarily	முதன்மையாக
primary	முதன்மையானது
prime	முதன்மை
prince	இளவரசன்
princess	இளவரசி
principal	அதிபர்
principle	கொள்கை
principle; general rule	கொள்கை; பொது விதி
principle; theory; fundamental truth	கொள்கை; கோட்பாடு; அடிப்படை உண்மை
print	அச்சு
printer	அச்சுப்பொறி
printing	அச்சிடுதல்
printing type	அச்சிடும் வகை
prior	முன்
prioritize	முன்னுரிமை
priority	முன்னுரிமை
prison	சிறை
prisoner	கைதி
privacy	தனியுரிமை
private	தனிப்பட்ட
private (establishment)	தனியார் (ஸ்தாபனம்)
private railway	தனியார் ரயில்வே
private; civilian; civil; popular; folk; unofficial	தனியார்; பொதுமக்கள்; சிவில்; பிரபலமான; நாட்டுப்புற; அதிகாரப்பூர்வமற்ற
privatization	தனியார்மயமாக்கல்
privilege	சலுகை
prize	பரிசு
prize; award	பரிசு; விருது
prize; monetary award	பரிசு; பண விருது
prize; trophy	பரிசு; கோப்பை
proactive	செயலூக்கமுள்ள
probability	நிகழ்தகவு
probable	சாத்தியமான
probably	அநேகமாக
probably; maybe	அநேகமாக; ஒருவேளை
probe	ஆய்வு
problem	பிரச்சனை
problem / question	பிரச்சனை / கேள்வி
problematic	பிரச்சனைக்குரிய
procedure	செயல்முறை
procedure; (legal) process; formalities	செயல்முறை; (சட்ட) செயல்முறை; சம்பிரதாயங்கள்
proceed	தொடர
proceeding	தொடர்கிறது
proceeding to the capital (Tokyo)	தலைநகருக்கு செல்கிறது (டோக்கியோ)
proceeds	தொடர்கிறது
process	செயல்முறை
process / steps	செயல்முறை / படிகள்
processing	செயலாக்கம்
processing / handling	செயலாக்கம் / கையாளுதல்
