#NAME?	＃名前？
(1) (Japanese) maple	(1) (モミジ)
hide	隠す
hierarchy	階層
high	高い
high and low; up and down; unloading and loading; praising and blaming	高いものと低いもの。上下;荷降ろしと積み込み。褒めることと責めること
high class; high grade	高級;高級
high heels	ハイヒール
high price	高い
high school	高校
high school student	高校生
high speed; high gear	高速;ハイギア
high-profile	知名度の高い
high-rise building	高層ビル
highest; supreme; the most	最高;最高;一番
highlight	ハイライト
highly	非常に
highway	高速道路
hiking	ハイキング
hilarious	陽気な
hill	丘
hill; height; knoll; rising ground	丘。身長;丘。上昇地
him	彼
him, he, boyfriend	彼、彼、ボーイフレンド
himself	自分自身
hindrance; impediment	障害;障害物
hindrance; intrusion	障害;侵入
hint	ヒント
hint; suggestion	ヒント;提案
hip	ヒップ
hippopotamus	カバ
hiragana; 47 syllables; the cursive syllabary	ひらがな。 47音節。筆記体の音節文字
hire	雇う
hiring / adoption	雇用/採用
his	彼の
historian	歴史家
historic	歴史的な
historic ruins (remains  relics)	遺跡（遺跡）
historical	歴史的な
history	歴史
hit	ヒット
hobby	趣味
hobby; pastime	趣味;娯楽
hockey	ホッケー
hold	ホールド
hold on	ちょっと待って
holding a meeting; open an exhibition	会議を開催する。展示会を開く
hole	穴
holiday	休日
holiday / day off	休日・休日
holiday / leave	休日/休暇
holiday house; villa	別荘。ヴィラ
holiday; absence; rest; Good night	休日。不在;休む;おやすみ
holiday; day off; absence	休日。休みの日。欠席
holiday; day off; furlough	休日。休みの日。一時帰休
hollow	中空
holy	神聖な
home	家
home / my house	家/私の家
home town; birthplace; old village; historic village	故郷。出生地。古い村。歴史的な村
home; house	家;家
home; house; my place	家;家;私の場所
homeland	祖国
homeless	ホームレス
homesickness	ホームシック
homestay; living with a local family	ホームステイ。地元の家族と暮らしている
hometown / from	故郷/出身
homework	宿題
honest	正直な
honesty	正直さ
honesty; integrity; frankness	正直さ。誠実さ;率直さ
honey bee	ミツバチ
honeymoon	新婚旅行
honorific language	敬語
honorific; term of respect	敬語;敬意の言葉
honour	名誉
honourable	名誉ある
hoodie	パーカー
hook	フック
hope	希望
hope / wish	希望/願い
hope; prospects; expectation	希望。見通し。期待
hope; wish; aspiration	希望。願い;願望
hopeful	希望に満ちた
hopefully	願わくば
horizon	地平線
horn	ホーン
horrible	恐ろしい
horror	ホラー
horse	馬
horse racing	競馬
horticulture; gardening	園芸;ガーデニング
hospital	病院
hospitality	おもてなし
hospitalization	入院
host	ホスト
host family	ホストファミリー
hostage	人質
hostel; dormitory	ホステル。寮
hostile	敵対的な
hostility	敵意
hot	熱い
hot (objects)	熱い（物体）
hot (weather)	暑い（天気）
hot and spicy; salty	辛くてスパイシー。塩辛い
hot spring	温泉
hot to the touch	触れると熱い
hot water	お湯
hotel	ホテル
hotel staff	ホテルスタッフ
hour	時間
house	家
house / home	家/家
house for rent	賃貸住宅
house number; address	住居番号。住所
house-cloth; dust cloth	ハウスクロス。雑巾
house; building	家。建物
house; hall; building; hotel; inn; guesthouse	家。ホール;建物;ホテル;宿;ゲストハウス
house; home; husband	家。家;夫
household	家庭用
household / family	家庭/家族
household economy; family finances	家計経済。家計
household matters	家庭の事情
housewife	主婦
housewife; mistress	主婦。愛人
housework	家事
housework; domestic chores	家事。家事
housing	ハウジング
how	どうやって
how (by what means)	どうやって（どんな手段で）
how (polite)	どうやって（丁寧に）
how are you	調子はどうですか
how are you?	調子はどうですか？
how far	どこまで
how many	何個
how many (books)	何冊（本）
how many (flat things)	何個（平らなもの）
how many / how old	何人 / 何歳
how many people	何人
how many times	何回
how many?; how old?	何個?;何歳ですか？
how much	いくら
how much (money)	いくら（お金）
how much / how long	どれくらい/どのくらいの期間
how much is this?	これはいくらですか？
how much; how long	いくら;どのくらいの期間
how much?; how many?	いくら?;幾つか？
how old	何歳ですか
how old are you?	あなたは何歳ですか？
how's it going?	調子はどう？
how...!; what...!	どうやって...！;何...！
how; by what means	どうやって;どういう手段で
however	ただし
huge	巨大な
huge; bulky; enormous; extensive; swelling; expansion	巨大な;かさばる;巨大な;広範囲にわたる;腫れ;拡張
huge; gigantic; enormous	巨大な;巨大;巨大な
human	人間
human being; man; person	人間。男;人
human resources	人材
human rights	人権
humanitarian	人道的
humanity	人間性
humble	謙虚な
humble; humility; modesty	謙虚な;謙虚;謙虚さ
humid	湿気の多い
humid; sultry	湿気の多い;蒸し暑い
humidity	湿度
humorous	ユーモラスな
humour	ユーモア
humour; temper; mood	ユーモア;気性;気分
hundred	百
hundred million	億
hunger	飢え
hungry	お腹が空いた
hunt	狩り
hunting	狩猟
hurrah; cheers	万歳。乾杯
hurricane	ハリケーン
hurry	急いで
hurt	傷ついた
hurt; painful	傷つきます。痛い
husband	夫
husband (someone's)	夫（誰かの）
hut; cabin; shed; (animal) pen	小屋。キャビン;小屋; (動物)ペン
hydrogen	水素
hypothesis	仮説
hypothesize	仮説を立てる
ice	氷
ice cream	アイスクリーム
ice; hail	氷。あられ
icon	アイコン
idea	アイデア
ideal	理想的な
identical	同一の
identical; equal to; same (kind); like	同一の;に等しい;同じ（種類）;好き
identification	識別
identify	特定する
identity	アイデンティティ
identity; sameness; similarity	アイデンティティ。同一性;類似性
ideological	イデオロギー的な
ideology	イデオロギー
idiom; idiomatic phrase; kanji compound	慣用句;慣用句。漢字熟語
idiot	バカ
idle complaint; grumble	無駄な愚痴。不平不満を言う
if	もし
if I had to choose	もし選択しなければならないとしたら
if at all possible	できれば
if it is okay (polite)	良かったら（丁寧に）
if possible	可能であれば
if that is the case, ...	そうであれば、...
if you like	よかったら
ignorance	無知
ignore	無視する
ill	病気
illegal	違法な
illness	病気
illness; sickness	病気;病気
illusion	幻想
illustrate	説明する
illustration	イラスト
image	画像
imagery	画像
imaginary	想像上の
imagination	想像力
imagination; guess	想像力。推測する
imagine	想像してください
imitation; counterfeit; forgery; sham	模倣;偽造;偽造;偽物
immature	未熟な
immediate	即時
immediately	すぐに
immediately following	直後
immediately; readily; directly	すぐに;すぐに;直接
immense	計り知れない
immigrant	移民
immigration	移民
imminent	差し迫った
immune	免疫力のある
immunity	免疫力
impact	影響
impatient	せっかちな
impeccable	非の打ちどころのない
impertinent; saucy; cheeky; conceit; audacious; brazen	生意気な;生意気;生意気な;うぬぼれ;大胆な;厚かましい
implement	実装する
implementation	実装
implementation; materialization; realization	実装。物質化。実現
implicate	関与する
implication	含意
implicit	暗黙的
implicitly	暗黙的に
imply	暗示する
import	インポート
importance	重要性
importance; stress; serious consideration	重要性;ストレス;真剣な検討
important	重要な
important point; lay stress on; colon; emphasis	重要な点。強調します。結腸;強調
important; momentous; essential; principal; major	重要;重大;不可欠;主要;メジャー
important; valuable; serious matter	重要;貴重な;重大な問題
importation; import; introduction	輸入;輸入;はじめに
imported goods; foreign money	輸入品。外国のお金
imported; outpatient clinic	輸入された。外来診療所
impose	押し付ける
impossible	不可能
impress	印象づける
impressed	感動した
impression	印象
impression / thoughts	感想・考え
impressions; thoughts	感想。考え
impressive	印象的な
imprison	投獄する
imprisonment	投獄
improve	改善する
improvement	改善
improvement; advance; progress	改善;前進;進歩
improvement; reform	改善;改革
impudent; shameless; brazen	生意気な;恥知らずな;厚かましい
impulsive	衝動的な
in	で
in a flood / all at once	洪水の中で/一斉に
in a leisurely way	ゆっくりと
in a word; after all; the point is ..; in short ..	一言で言えば;結局;ポイントは..;要するに..
in accordance with ~; following ~; ~ Street; ~ Avenue	～に従って; ～に続く; 〜ストリート; ～アベニュー
in addition	さらに
in addition; furthermore	さらに;さらに
in advance	事前に
in and out; coming and going; free association; income and expenditure; debits and credit	出たり入ったり。行ったり来たり。自由な関連付け。収支;借方と貸方
in charge	担当
in class; during the class	授業中。授業中に
in comparison	比べて
in conclusion	結論として
in contrast	対照的に
in essence	本質的には
in exchange	引き換えに
in fact; originally	実際;もともと
in front of the station	駅前で
in good health; well	健康状態が良好であること。まあ
in its entirety; whole; wholly	全体的に;全体;完全に
in light of	を踏まえて
in nine cases out of ten	10中9の場合
in no time	あっという間に
in one word	一言で言えば
in order to	するために
in order; in turn	順番に;順番に
in other words	言い換えれば
in place of	の代わりに
in response to	に応じて
in short	要するに
in short; in brief; in other words; that is to say; in the long run; after all; blockade; stuffing; ultimate	要するに;簡単に言うと;言い換えると;つまり;長期的には;結局;封鎖。詰め物;究極の
in spite of	にも関わらず
in spite of; nevertheless	それにも関わらず;それにもかかわらず
in succession; one by one	続けて;一つ一つ
in the first place	そもそも
in the long run	長期的には
in the middle of	真ん中に
in the middle; half-way	真ん中に。中途半端な
in the second place	2番目に
in the street	通りで
in this way	このようにして
in turn	順番に
inability	無能
inaccessible place; sharp eyes	アクセスできない場所。鋭い目
inadequate	不十分な
inappropriate	不適切な
inauguration; assumption of office	就任式。就任
incentive	インセンティブ
inch	インチ
incidence	発生率
incident	事件
incident / case	事件・事件
incident; affair; happening; event	事件;事件;ハプニング;イベント
inclination; slant; slope; bevel; list; dip	傾き;傾斜;スロープ;ベベル;リスト;ディップ
inclined	傾いた
include	含む
included	含まれています
including	含む
inclusion	包含
income	収入
income; receipts; revenue	収入;領収書。収益
inconsistent	一貫性のない
inconsistent orders	一貫性のない注文
incontrovertible	議論の余地のない
inconvenience	不便
inconvenient	不便な
inconvenient; to have a scheduling conflict	不便。スケジュールの競合が発生する
incorporate	組み込む
incorrect	間違っています
increase	増加する
increase and decrease; fluctuation	増加と減少。変動
increase; addition	増加する。追加
increased production	生産量の増加
increasingly	ますます
increasingly; more and more	ますます;ますます
incredible	信じられないほど
incredibly	信じられないほど
incur	被る
indeed	確かに
indeed; truly; surely	確かに;本当に;確かに
independence	独立
independence (e.g. Ind. Day); self-support	独立（例えば、Ind. Day）。自給自足
independent	独立した
index	インデックス
index finger	人差し指
index; indices	インデックス;インデックス
indicate	示す
indication	指示
indication; market trend; worry	指示;市場動向。心配する
indicator	インジケーター
indictment	起訴
indigenous	先住民族の
indigo	インディゴ
indirect	間接的な
indirection; indirectness	間接的。間接性
individual	個人的な
individual; each	個人;それぞれ
individual; one by one	個人;一つ一つ
individual; private person; personal; private	個人;個人;個人的;プライベート
individual; separate	個人;別々の
individuality; personality; idiosyncrasy	個性;人格;特異性
indomitable spirit	不屈の精神
indoor	屋内
indoors	屋内で
induce	誘発する
indulge	ふける
industrial	工業用
industrial arts	工芸品
industrial enterprise	産業企業
industry	産業
industry; diligence	産業;勤勉
inequality	不平等
inevitable	避けられない
inevitable death; desperation; frantic; inevitable result	避けられない死。絶望。必死;避けられない結果
inevitably	必然的に
inexcusable	許しがたい
inexpensive; cheap (thing)	安価な;安い（物）
infamous	悪名高い
infancy; childish; infantile	幼児期。幼稚な;幼児的な
infant	幼児
infant; baby; child	幼児。赤ちゃん;子供
infect	感染する
infection	感染症
infection; contagion	感染症;伝染する
infer	推測する
inference	推論
inferior article	不良品
infinite	無限
inflation	インフレ
inflict	負わせる
influence	影響力
influence; effect	影響力;効果
influential	影響力のある
info	情報
inform	知らせる
informal	非公式の
information	情報
information source	情報源
information; (military) intelligence	情報; （軍事）諜報機関
information; guidance; leading	情報;ガイダンス;先頭に立って
infrastructure	インフラストラクチャ
ingenious; skillful; clever; deft	独創的;熟練した;頭がいい;器用な
ingredient	成分
ingredient; component; composition	成分;成分;構成
ingredients; material	成分;素材
inhabitant	住民
inherent	固有の
inherit	継承する
inhibit	阻害する
initial	イニシャル
initially	最初は
initiate	始める
initiative	イニシアチブ
inject	注入する
injection	注射
injure	傷つける
injured	負傷した
injury	怪我
injury (to animate object); hurt	怪我（物体を動かすため）。傷ついた
injury; harm; danger	怪我;危害;危険
injury; harm; evil influence; damage	怪我;危害;悪影響;ダメージ
injustice	不正
injustice; unfairness	不正。不公平
ink	インク
inmate	受刑者
inn	旅館
inn; lodging	旅館。宿泊
inner	内側
innocent	無実の
innovation	イノベーション
innovative	革新的な
input	入力
inquiry	お問い合わせ
insect	昆虫
insert	挿入する
insertion	挿入
inside	内側
inside the house	家の中に
inside; middle; among	内側。真ん中;中で
insider	インサイダー
insight	洞察力
insignificant; boring; trifling	取るに足らない;つまらない;つまらない
insist	主張する
inspect	検査する
inspection	検査
inspection (e.g. customs; factory); examination	検査（例：税関、工場）。試験
inspection; reading	検査;読書
inspection; study by observation; field trip	検査;観察による研究。遠足
inspector	検査官
inspiration	インスピレーション
inspire	インスピレーションを与える
install	インストールする
installation	インストール
instance	インスタンス
instance; example; case	インスタンス;例;ケース
instant	インスタント
instant; time; moment	インスタント;時間;瞬間
instantly	即座に
instead	代わりに
instead of	代わりに
instinct	本能
institute	研究所
institution	機関
institutional	制度的な
instruct	指示する
instruction	指示
instructor	インストラクター
instrument	楽器
instrumental	インストゥルメンタル
insufficiency; shortage; deficiency; lack; dearth	不十分さ;不足;欠乏;足らない;不足
insufficient	不十分な
insult	侮辱
insurance	保険
intact	無傷の
intake	摂取量
intangible	無形の
integer	整数
integral	積分
integrate	統合する
integrated	統合された
integration	統合
integrity	誠実さ
intellectual	知的
intelligence	知性
intelligence; brains	知性。頭脳
intelligent	インテリジェントな
intend	意図する
intended	意図した
intense	激しい
intensification	強化
intensify	強化する
intensity	強度
intensive	集中的な
intent	意図
intention	意図
intention; aim; design	意図;標的;デザイン
intention; idea; inclination	意図;アイデア;傾き
intention; purpose	意図;目的
interact	対話する
interaction	インタラクション
interactive	インタラクティブ
interest	興味
interest rate	金利
interested	興味がある
interesting	興味深い
interesting / fun	面白い/楽しい
interesting / funny	面白い/面白い
interface	インターフェース
interfere	干渉する
interference	干渉
interference; intervention	干渉;介入
interim	暫定的な
interior	インテリア
interior; inner part	インテリア;内側部分
intermediate	中間
internal	内部
international	国際的な
international call	国際電話
international relations	国際関係
international student	留学生
internet	インターネット
internist clinic; internal medicine	内科クリニック。内科
interpret	解釈する
interpretation	解釈
interrupt	中断
intersection	交差点
interval	間隔
intervene	介入する
intervention	介入
interview	インタビュー
interview; audience	インタビュー;観客
intimate	親密な
intimate friend; bosom buddy; chum	親しい友人。胸の友。友達
intimate; close (e.g. friend)	親密な;近い（友人など）
into	に
intolerable; unbearable; unendurable	耐えられない;耐えられない。耐えられない
intricacy	複雑さ
intricate	複雑な
intriguing	興味深い
intro; outline; general remarks	イントロ;概要;総論
introduce	紹介する
introduction	はじめに
intuition	直感
invade	侵入する
invalid	無効な
invasion	侵略
invent	発明する
invention	発明
inversion; upside down	反転;逆さまに
invest	投資する
investigate	調査する
investigation	調査
investigation / survey	調査・調査
investigation; examination; inquiry; survey	調査;検査;問い合わせ;調査
investigator	捜査官
investment	投資
investor	投資家
invisible	目に見えない
invitation	招待状
invitation; solicitation; canvassing; inducement; persuasion; encouragement	招待状。勧誘;勧誘;誘導;説得;励まし
invite	招待する
invoke	呼び出す
involve	関与する
involved	関与している
involvement	関与
iron	鉄
iron pot; kettle	鉄鍋。やかん
ironic	皮肉な
ironically	皮肉なことに
irony	皮肉
irrefutable	反論の余地のない
irregularity; unsteadiness; disorderly	不規則性。不安定;無秩序な
irrelevant	無関係な
is it okay?	大丈夫ですか？
island	島
isolate	隔離する
isolated	孤立した
isolation	隔離
isolation; helplessness	隔離。無力感
isolation; loneliness; solitude	隔離。孤独;孤独
issue	問題
issue (publications)	号（出版物）
it has been a long time	長い時間が経ちました
it is about time to ...	そろそろ...の時間です
it rains	雨が降る
it's okay / I'm fine	大丈夫/大丈夫です
item	アイテム
item / matter	アイテム/事項
itemized form; itemization	箇条書き形式。箇条書き
itinerary; route	旅程;ルート
its	その
itself	それ自体
jacket	ジャケット
jail	刑務所
jailer; old man; rank; company officer	看守。老人。ランク;会社役員
jam	ジャム
jazz	ジャズ
jealous	嫉妬深い
jeans	ジーンズ
jest; joke	冗談。冗談
jet	ジェット
jet aeroplane	ジェット飛行機
jewellery	ジュエリー
job	仕事
job / work	仕事/仕事
job change	転職
job hunting	就職活動
job; work; occupation	仕事。仕事;職業
jogging	ジョギング
join	参加する
joint	ジョイント
joke	冗談
joke; pun; witticism	冗談。駄洒落。機知に富んだ
journal	日記
journalism	ジャーナリズム
journalist	ジャーナリスト
journey	旅
joy	喜び
joys and sorrows	喜びと悲しみ
judge	裁判官
judge; judiciary	裁判官。司法
judgement	判断
judgement; decision	判断。決断
judgement; penalty; punishment	判断。罰則;罰
judgment	判断
judicial	司法
judiciary	司法
judo	柔道
juice	ジュース
juice; sap; soup; broth	ジュース;樹液;スープ;スープ
jump	ジャンプ
junction	ジャンクション
junior	ジュニア
junior (at work or school)	後輩（職場や学校）
junior (at work)	後輩（職場）
junior high school student	中学生
junior high school; middle school	中学校。中学校
junior members of a group	グループの後輩メンバー
jurisdiction	管轄権
jury	陪審員
just	ただ
just (now; at the moment; etc.)	ちょうど（今; 現時点; など）
just a minute; small quantity	ちょっと待ってください。少量
just before	直前に
just like / not at all	ちょうどいい / まったく好きではない
just now	たった今
just; right; exactly	ただ;右;まさに
justice	正義
justice; fairness; impartiality	正義。公平性。公平性
justification	正当化
justify	正当化する
juxtapose	並置する
kana orthography; syllabary spelling	かな正書法。五十音表記
kangaroo	カンガルー
kanji; Chinese character	漢字。漢字
karaoke	カラオケ
karate	空手
katakana	カタカナ
keen	鋭い
keep	保つ
keep up with	追いつく
kettle	やかん
key	キー
key / lock	キー/ロック
keyboard	キーボード
kick	キック
kid	子供
kidnap	誘拐する
kidney	腎臓
kids	子供たち
kill	殺す
killing	殺す
killing time	暇つぶし
killing two birds with one stone	一石二鳥
kilometre	キロメートル
kimono	着物
kimono; Japanese traditional dress	着物。日本の伝統的な衣装
kind	種類
kind / gentle	優しい/優しい
kind; deep; thick	種類;深い;厚い
kindergarten	幼稚園
kindness	優しさ
king	王
king (shogi)	王様（将棋）
king; ruler; sovereign; monarch	王。ルーラー;主権者;君主
kingdom	王国
kiss	キス
kit	キット
kitchen	キッチン
kitchen knife; carving knife	包丁。彫刻刀
knee	膝
knee; lap	膝。ラップ
knife	ナイフ
knitting wool	毛糸
knitting; web	編み物;ウェブ
knock	ノックする
know	知っています
knowing very well; detailed; full; accurate	よく知っている。詳細;満杯;正確な
knowing; acquaintance	知っている;知り合い
knowledge	知識
knowledge; information	知識;情報
lab	研究室
label	ラベル
labor costs	人件費
labor; exertion; diligent service	労働。努力;勤勉なサービス
laboratory	研究室
labour	労働
labourer; worker	労働者。労働者
lack	欠如
lad	少年
ladder	はしご
ladder; stairs	はしご。階段
lady	女性
lake	湖
lamp	ランプ
lamp oil; kerosene	ランプ用オイル。灯油
lamplight; light (in general); brightness	ランプの明かり;光（一般的に）;明るさ
land	土地
landing	着陸
landlord	家主
landmark	ランドマーク
landscape	風景
landslide	地滑り
lane	車線
language	言語
language lab	語学ラボ
language study	語学学習
language; word	言語。言葉
lap	ラップ
laptop	ラップトップ
large	大きい
large tree	大きな木
large-scale	大規模な
largely	大体
laser	レーザー
last	最後
last (year); yesterday	去年（年）;昨日
last month	先月
last night	昨夜
last train	最終電車
last week	先週
last year	去年
last; end	最後に;終わり
last; final; closing	最後に;ファイナル;閉店
lastly	最後に
late	遅い
late at night	夜遅くに
late; slow	遅い。遅い
lately	最近
lately; recently; nowadays	最近;最近;最近
lateness; late coming	遅刻。遅れて来る
later	後で
later on	後で
latest	最新の
latest; nowadays	最新の;最近
latitude (nav.)	緯度（ナビ）
latter	後者
laugh	笑う
laugh; laughter; smile	笑います。笑い;笑顔
laughter	笑い
launch	打ち上げ
laundry	洗濯物
lava	溶岩
law	法律
law / principle	法律・原則
law; rule	法律;ルール
lawn	芝生
lawsuit	訴訟
lawyer	弁護士
lay	横たわる
layer	レイヤー
layout	レイアウト
lazy	怠惰な
lazy person	怠け者
lead	リード
lead (the metal)	鉛（金属）
leader	リーダー
leadership	リーダーシップ
leadership; guidance; coaching	リーダーシップ。ガイダンス;コーチング
leading	先頭に立って
leading part; leading actor (actress)	先頭部分。主演俳優（女優）
leaf	葉
leaflet	リーフレット
league	リーグ
leak	漏れ
lean	痩せた
lean; incline	痩せた;傾く
leap	跳躍
learn	学ぶ
learning	学習
learning from the past	過去から学ぶ
learning; scholarship; erudition; knowledge	学習;奨学金;博学;知識
least	少なくとも
least; lowest; worst	少なくとも;最低;最悪の
leather	革
leave	離れる
leave request form	休暇申請フォーム
leaving hospital	退院
leaving the office	オフィスを出る
lecture	講義
lecture cancelled	講義が中止になった
lecture; address	講義。住所
lecturer	講師
left	左
left hand side	左側
left side	左側
leg	脚
leg / foot	脚/足
leg; foot	脚;足
legacy	レガシー
legal	法的
legend	伝説
legendary	伝説の
legislation	法律
legislative	立法的な
legislative bill	法案
legislature	立法府
legitimate	合法的な
legitimize	正当化する
leisure	余暇
lemon	レモン
lemon yellow	レモンイエロー
lend	貸す
lending; loaning	貸し出し;貸し出す
length	長さ
length; height	長さ;高さ
length; long and short; +-	長さ;長くて短い。 +-
lengthy	長い
lenient	寛大な
lens	レンズ
lesbian	レズビアン
less	少ない
less than	未満
less than; insufficient	未満;不十分な
lesser	より少ない
lesson	レッスン
lesson; class work	レッスン;授業の課題
lesson; precept; moral instruction	レッスン;戒め;道徳的指導
let	させてください
let's eat	食べましょう
let's eat (before a meal)	食べましょう（食事の前に）
lethal	致命的な
letter	手紙
letter (of alphabet); character	（アルファベットの）文字。キャラクター
letter of recommendation	推薦状
letter to the editor; letter from a reader; contribution	編集者への手紙。読者からの手紙。貢献
letter; character	手紙。キャラクター
lettuce	レタス
level	レベル
level of humidity	湿度のレベル
level off	横ばい
liability	責任
liable	責任がある
liaise	連絡を取る
liar	嘘つき
liar (sometimes said with not much seriousness); fibber	嘘つき（あまり真剣に言っていないこともあります）。繊維
liberal	リベラルな
liberation	解放
liberty	自由
library	図書館
licence	ライセンス
license	ライセンス
license; permit; licence; certificate	ライセンス。許可する;ライセンス;証明書
lie	嘘をつく
lie; falsehood; incorrect fact; inappropriate	嘘をつく。虚偽;嘘;不適切な
life	人生
life (one's life)	人生（自分の人生）
life span	寿命
life; existence	人生。存在
life; living	人生。生きている
lifelong	生涯
lifestyle	ライフスタイル
lifetime	一生
lift	リフト
light	光
light (color)	光（色）
light (weight)	軽い（重さ）
light / electricity	光/電気
light blue	ライトブルー
light bulb	電球
lighthouse	灯台
lighting	照明
lightning	稲妻
like	好き
likeable	好感が持てる
likelihood	可能性
likely	おそらく
likes and dislikes	好き嫌い
likes and dislikes; taste	好き嫌い。味
likewise	同様に
likewise, the pleasure is mine	同様に、喜びは私のものです
liking; taste; choice	好き。味;選択
limb	手足
limit	限界
limit; bound	制限;縛られた
limit; bounds	制限;境界
limit; localize	制限;ローカライズする
limit; restriction	制限;制限
limitation	制限
limited	限られた
limited express train (faster than an express train)	特急列車（急行列車より速い）
limits; boundary; domain; zone; sphere; territory	限界。境界;ドメイン;ゾーン;球;領土
line	ライン
line / queue	ライン/キュー
line-up	ラインナップ
line; track; roadbed	行;追跡;路盤
linear	線形
linger	長引く
link	リンク
lion	ライオン
lip	リップ
lips	唇
lipstick	口紅
liquid	液体
liquid; fluid	液体;流体
list	リスト
listen	聞いてください
listener	聞き手
listing	リストアップ
literacy	読み書き能力
literally	文字通り
literary	文学的な
literary style	文学的なスタイル
literature	文学
literature; art and literature; belles-lettres	文学;芸術と文学。ベルレトル
literature; books (reference)	文学;書籍（参考）
litre	リットル
litter	ゴミ
little	少し
little finger	小指
live	生きる
lively	活気のある
lively / busy	活気がある/忙しい
liver	肝臓
living	生きている
living alone	一人暮らし
living room	リビングルーム
living room (western style)	リビングルーム（洋室）
living thing	生き物
living thing; animal	生き物。動物
living; livelihood; subsistence; circumstances	生きている。生活;生存。事情
load	負荷をかける
load; baggage; cargo	負荷;手荷物;貨物
loan	ローン
loan; lending	ローン;貸し出し
lobby	ロビー
local	地元の
locate	見つける
located	位置する
location	場所
lock	ロック
locomotive; engine	機関車。エンジン
lodging	宿泊
log	ログ
logic	ロジック
logical	論理的な
logo	ロゴ
lonely	寂しい
long	長い
long time no see	お久しぶりです
long time period	長い期間
long way; distant place	長い道のり。遠い場所
long-standing	長年の
long-term	長期的な
long-time	長い間
long; lengthy	長い。長い
long; long-continued; old (story)	長い。長く続いている。古い（物語）
longitude	経度
look	見てください
look (or turn) the other way	向こうを見る（または向きを変える）
look after	世話をする
look forward to	楽しみにしています
look into	調べてみる
look; appearance; spectacle	見てください。外観;スペクタクル
looking after a house during one's absence	不在中に家の世話をする
looking after; help; aid; assistance	世話をする。ヘルプ;援助;援助
looking forward to	楽しみにしています
loom	織機
loop	ループ
loose	緩い
loose; lenient; slow	緩い;寛大な;遅い
lord	主君
lorry	トラック
lose	負ける
loss	損失
loss and gain; advantage and disadvantage	損失と利益。利点と欠点
loss; disadvantage	損失。デメリット
lost	失われた
lost (stray) child	迷子（迷子）
lost article	忘れ物
lost property	遺失物
lot	ロット
lottery	宝くじ
loud	大声で
loudly	大声で
love	愛
love; affection	愛;愛情
love; tender passion	愛;優しい情熱
lovely	素敵な
lovely; sweet	素敵です。甘い
lover; sweetheart	恋人。恋人
low	低い
low rank; subordinate; lower order (e.g. byte)	低いランク。下位;下位 (例: バイト)
lower	低い
lower official	下級役人
loyal	忠実な
loyalty	忠誠心
loyalty points	ロイヤルティポイント
lucid	明晰な
luck	運
lucky	幸運な
luggage	荷物
luke warm	ぬるぬる
lumber; timber	木材;木材
lumber; timber; wood	木材;木材;木材
lump; mass; clod; cluster	しこり。質量;土塊;クラスター
lunch	昼食
lunch box / bento	お弁当箱/お弁当
lunch break	昼休み
lunch; midday meal	昼食。昼の食事
lunch; noon	昼食。正午
lung	肺
lungs	肺
luxury	豪華な
luxury; extravagance	贅沢;贅沢
luxury; pomp; delicate; slender; gorgeous	贅沢;威風堂々。繊細;細い。ゴージャスな
lyric	歌詞
machine	機械
machine; mechanism	機械。仕組み
machinery	機械
mad	狂った
madam	マダム
magazine	雑誌
magic	魔法
magical	魔法の
magistrate	判事
magnet	磁石
magnetic	磁気
magnification; enlargement	倍率;拡大
magnificent	素晴らしい
magnitude	大きさ
maid	メイド
mail	メール
mail; postal service	郵便。郵便サービス
mailing	郵送する
main	メイン
main gate; main entrance	正門。正面玄関
main line; trunk line	本線。幹線
main street	メインストリート
mainland	本土
mainly	主に
mainly; primarily	主に;主に
mainstream	主流
maintain	維持する
maintenance	メンテナンス
maintenance; preservation	メンテナンス。保存
major	メジャー
major subject; special study	主な主題。特別な勉強
majority	大多数
majority; mostly; generally	大多数;たいてい;一般的に
make	作る
make up	補う
make-up	メイクアップ
make-up (cosmetic)	メイクアップ（化粧品）
making	作る
making use of; application; investment; practical use	利用する;応用;投資;実用化
male	男性
male / man	男性 / 男性
malicious; ill-tempered; unkind	悪意のある;機嫌が悪い。不親切な
mall	モール
man	男
man and wife; married couple	男と妻。夫婦
man-made; synthetic; artificial	人工的なもの。合成;人工的な
manage	管理する
management	管理
management; (executive) staff; leaders	管理。 （幹部）スタッフ。リーダー
management; administration	管理。行政
management; administration; operation	管理。管理;操作
manager	マネージャー
mandarin	マンダリン
mandarin orange	みかん
mandate	委任する
mandatory	必須
manga / comics	マンガ/コミック
mango	マンゴー
manifest	マニフェスト
manifestation	顕現
manipulate	操作する
manipulation	操作
mankind; humanity	人類。人間性
manner	マナー
manners	マナー
manners; courtesy; etiquette	マナー。礼儀;エチケット
manners; etiquette; propriety	マナー。エチケット;礼儀
mansion	邸宅
manual labor; toil; work	肉体労働。労苦;仕事
manufacture	製造
manufacture; production	製造;生産
manufactured goods; finished goods	工業製品。完成品
manufacturing	製造業
manufacturing; processing; treatment	製造。処理;治療
manuscript	原稿
manuscript; copy	原稿。コピー
many	たくさんの
many / a lot	たくさん/たくさん
many times	何度も
many; a lot	たくさん;たくさん
many; numerous	たくさん;多数の
map	地図
marathon	マラソン
margin	マージン
marginal	限界的な
marine	海洋
marine products; fisheries	水産物。漁業
maritime; marine transportation	海事;海上輸送
mark	マーク
