வணக்கம் நண்பரே	Hello friend
அவர்கள் அவரை விமர்சிக்கிறார்கள்	They criticize him
அரசியலை விமர்சிக்கிறார்கள்	They criticize politics
பகுப்பாய்வு செய்ய நேரம் இல்லை	No time to analyze
விளக்கம் மிக தெளிவாக உள்ளது	The interpretation is very clear
சரியான விளக்கம் கொடு	Give the correct interpretation
சுருக்கமாக சொல்லுங்கள்	Tell it briefly
சுருக்கமாக எழுதவும்	Write it concisely
இதை அதனுடன் ஒப்பிடு	Compare this with that
பெரிய மாறுபாடு உள்ளது	There is a big contrast
நிறத்தில் மாறுபாடு இருக்கிறது	There is a contrast in color
இத்துடன் முடிவுக்கு வா	Come to a conclusion with this
கதையை முடிவுக்கு கொண்டு வா	Bring the story to a conclusion
அதை அனுமானிக்க முடியும்	It can be inferred
அவர் அதை அனுமானிக்கிறார்	He infers it
இதை அனுமானிக்க முடியும்	This can be deduced
அவர் உண்மையை அனுமானிக்கிறார்	He deduces the truth
இது ஆதாரம் சார்ந்த செய்தி	This is evidence-based news
ஆதாரம் சார்ந்த முடிவுகள் தேவை	Evidence-based decisions are needed
இந்த ஆவணம் செல்லுபடியாகும்	This document is valid
டிக்கெட் இன்னும் செல்லுபடியாகும்	The ticket is still valid
இந்த ஒப்பந்தம் செல்லாது	This agreement is invalid
முந்தைய नियम செல்லாது	The previous rule is invalid
அவரது பதில் பாரபட்சமானதாக உள்ளது	His answer is biased
அவர் பாரபட்சமானவர்	He is biased
இது ஒரு புறநிலை உண்மை	This is an objective truth
புறநிலை அணுகுமுறை தேவை	An objective approach is needed
இது முற்றிலும் அகநிலை முடிவு	This is a completely subjective decision
அகநிலை கருத்துக்கள் வேறு	Subjective opinions are different
இது தொடர்புடைய விஷயம்	This is a relevant matter
தொடர்புடைய தகவலை கொடு	Give the relevant information
இது முற்றிலும் பொருத்தமற்றது	This is completely irrelevant
தகவல் பொருத்தமற்றது	The information is irrelevant
இது நம்ப வைக்கும் பதில்	This is a convincing answer
நம்ப வைக்கும் ஆதாரத்தைக் காட்டு	Show convincing evidence
அவர் வற்புறுத்தும் தொனியில் பேசினார்	He spoke in a persuasive tone
வற்புறுத்தும் பேச்சு தேவை	Persuasive speech is needed
எனது கண்ணோட்டம் இது	This is my point of view
உங்கள் கண்ணோட்டம் என்ன	What is your point of view
அவரது நிலைப்பாடு உறுதியானது	His standpoint is firm
சரியான நிலைப்பாடு எடு	Take the correct standpoint
அளவுகோல்கள் மிகக் கடினம்	The criteria are very difficult
புதிய அளவுகோல்கள் தேவை	New criteria are needed
அவரது வலிமை மனது	His strength is the mind
உடல் வலிமை அவசியம்	Physical strength is necessary
இது ஒரு பெரிய பலவீனம்	This is a big weakness
பலவீனம் ஒரு பாடமாகும்	Weakness is a lesson
இது உலகளாவிய பிரச்சனை	This is a global problem
உலகளாவிய சந்தை வளர்கிறது	The global market is growing
காலநிலை மாற்றம் ஆபத்தானது	Climate change is dangerous
காலநிலை மாற்றம் நிகழ்கிறது	Climate change is happening
குடியேற்றம் அதிகரிக்கிறது	Immigration is increasing
குடியேற்றம் ஒரு உரிமை	Immigration is a right
மக்கள் தொகை அதிகம்	The population is high
மக்கள் தொகை கணக்கெடுப்பு	Population census
இந்த மோதல் தீவிரமானது	This conflict is intense
அவர்கள் மோதல் கண்டனர்	They had a conflict
இது பெரிய நெருக்கடி	This is a big crisis
பொருளாதார நெருக்கடி உள்ளது	There is an economic crisis
பேச்சுவார்த்தை தொடங்கியது	The negotiation started
பேச்சுவார்த்தை தோல்வியடைந்தது	The negotiation failed
அவர்கள் ஒப்பந்தம் செய்தனர்	They made a treaty
இந்த ஒப்பந்தம் முக்கியமானது	This treaty is important
இந்த முறை நிலையானது	This method is sustainable
நிலையான வளர்ச்சி வேண்டும்	Sustainable development is needed
வேகமான வளர்ச்சி அவசியம்	Fast development is necessary
ஊர் வளர்ச்சி அடைகிறது	The village is achieving development
கார்பன் உமிழ்வு அதிகம்	Carbon emission is high
உமிழ்வு அளவைக் குறைக்கவும்	Reduce the emission level
நீர் மாசுபாடு உள்ளது	Water pollution exists
மாசுபாடு ஒரு பிரச்சனை	Pollution is a problem
காடழிப்பு காடுகளை அழிக்கும்	Deforestation destroys forests
காடழிப்பு தடுக்க வேண்டும்	Deforestation should be stopped
வறட்சி பயிர்களை அழித்தது	Drought destroyed the crops
வறட்சி காலம் கடினம்	The drought period is difficult
வெள்ளம் ஊரை சூழ்ந்தது	The flood surrounded the town
வெள்ளம் பெரும் சேதம் செய்தது	The flood caused great damage
பஞ்சம் மக்களை பாதித்தது	Famine affected the people
பஞ்சம் ஒரு பேரழிவு	Famine is a disaster
அவர் ஒரு அகதி	He is a refugee
அகதி முகாம் உள்ளது	There is a refugee camp
இடம்பெயர்தல் ஒரு தேவை	Migration is a necessity
இடம்பெயர்தல் அதிகரிக்கிறது	Migration is increasing
வெளிநாட்டு முதலீடு தேவை	Foreign investment is needed
இராஜதந்திரம் வெற்றி பெற்றது	Diplomacy succeeded
இராஜதந்திரம் மிக நுணுக்கமானது	Diplomacy is very subtle
அவர் அனுமதி பெற்றார்	He got permission
அரசாங்கம் அனுமதி வழங்கியது	The government gave sanction
கூட்டணி வெற்றி பெற்றது	The coalition won
புதிய கூட்டணி உருவானது	A new coalition was formed
இந்த கூட்டணி வலுவானது	This alliance is strong
அவர்கள் கூட்டணி அமைத்தனர்	They formed an alliance
பொருளாதாரம் வீழ்ச்சியடைந்தது	The economy crashed
பொருளாதாரம் முன்னேறுகிறது	The economy is progressing
வறுமை நீக்கப்பட வேண்டும்	Poverty should be removed
பசி அவரை வாட்டியது	Hunger tormented him
பசி ஒரு கொடுமை	Hunger is a cruelty
இந்த நோய் கொடியது	This disease is deadly
நோய் குணமானது	The disease is cured
தொற்றுநோய் உலகை பாதித்தது	The pandemic affected the world
தொற்றுநோய் முடிவடைந்தது	The pandemic ended
தடுப்பூசி எடுத்துக்கொண்டேன்	I took the vaccine
தடுப்பூசி பாதுகாப்பு தரும்	The vaccine provides protection
இது புதுப்பிக்கத்தக்கது	This is renewable
புதுப்பிக்கத்தக்கது ஆற்றல் தேவை	Renewable energy is needed
சூரிய ஆற்றல் நல்லது	Solar energy is good
ஆற்றல் சேமிப்பு அவசியம்	Energy conservation is essential
இயற்கை பாதுகாப்பு அவசியம்	Nature conservation is essential
காடுகளின் பாதுகாப்பு வேண்டும்	Protection of forests is needed
பல்லுயிர் பாதுகாப்பு முக்கியம்	Biodiversity conservation is important
பல்லுயிர் சமநிலை வேண்டும்	Biodiversity balance is needed
இயற்கை வளம் அதிகம்	Natural resource is plenty
தாது வளம் உள்ளது	There is mineral resource
நீர் பற்றாக்குறை உள்ளது	There is water scarce
உணவு பற்றாக்குறை ஏற்பட்டது	Food scarce occurred
அரசியல் நிலைத்தன்மை வேண்டும்	Political stability is needed
மன நிலைத்தன்மை அவசியம்	Mental stability is necessary
அங்கு பதற்றம் நிலவுகிறது	Tension prevails there
பதற்றம் குறைய வேண்டும்	Tension should decrease
நாம் ஒத்துழைக்க வேண்டும்	We should cooperate
அவர்கள் ஒத்துழைக்க மறுத்தனர்	They refused to cooperate
பிரச்சனையை தீர்க்க வேண்டும்	The problem should be resolve
அவர் அதை தீர்க்கிறார்	He resolves it
அவர்கள் ஒத்துழைக்க வேண்டும்	They should cooperate
பிரச்சனையை தீர்க்க முயன்றார்	He tried to resolve the problem
இந்த நாவல் மிகவும் பெரியது	This novel is very big
புதிய நாவல் வந்துவிட்டது	The new novel has arrived
அழகான கவிதை படித்தேன்	I read a beautiful poetry
கவிதை எழுதுவது எளிது	Writing poetry is easy
சிறந்த ஆசிரியர் வந்தார்	A great author came
ஆசிரியர் புத்தகம் எழுதினார்	The author wrote a book
பாத்திரம் மிகவும் வலிமையானது	The character is very strong
இந்த பாத்திரம் எனக்கு பிடிக்கும்	I like this character
சதி மிகவும் சிக்கலானது	The plot is very complex
சதி மெதுவாக நகர்கிறது	The plot moves slowly
இந்த தீம் நன்றாக உள்ளது	This theme is good
புதிய தீம் தேர்ந்தெடு	Choose a new theme
கேலரி இன்று மூடல்	The gallery is closed today
கேலரிக்கு அனைவரும் வந்தனர்	Everyone came to the gallery
சிற்பம் கல்லால் ஆனது	The sculpture is made of stone
சிற்பம் அழகாக இருக்கிறது	The sculpture is beautiful
இது ஒரு தலைசிறந்த படைப்பு	This is a masterpiece
தலைசிறந்த படைப்பு இங்கே உள்ளது	The masterpiece is here
ஓவியம் வண்ணமாக உள்ளது	The painting is colorful
ஓவியம் வரைவது பிடிக்கும்	I like painting
கேன்வாஸ் வெள்ளை நிறம்	The canvas is white color
பெரிய கேன்வாஸ் வேண்டும்	I want a large canvas
தூரிகை உடைந்துவிட்டது	The brush is broken
தூரிகை மென்மையாக உள்ளது	The brush is soft
உருவப்படம் சுவரில் உள்ளது	The portrait is on the wall
உருவப்படம் தெளிவாக உள்ளது	The portrait is clear
நிலப்பரப்பு பசுமையாக உள்ளது	The landscape is green
இந்த நிலப்பரப்பு அழகானது	This landscape is beautiful
இது ஒரு சுருக்கம்	This is an abstract
சுருக்கம் தெளிவாக இல்லை	The abstract is not clear
யதார்த்தமான பதில் சொல்லு	Tell a realistic answer
யதார்த்தமான ஓவியம் வரை	Draw a realistic painting
கற்பனை சக்தி மிக்கது	Imagination is powerful
கற்பனை செய்ய கற்றுக்கொள்	Learn to imagine
உத்வேகம் அளிக்கும் கதை	An inspiring story
அவருக்கு உத்வேகம் கிடைத்தது	He got inspiration
படைப்பு மிகச்சிறந்தது	The creative work is excellent
புதிய படைப்பு உருவானது	A new creative work was formed
வெளிப்பாடு தெளிவாக உள்ளது	The expression is clear
உணர்ச்சிகரமான வெளிப்பாடு	An emotional expression
இது ஒரு சின்னம்	This is a symbol
சின்னம் அடையாளமாக உள்ளது	The symbol is an identity
உருவகம் ஆழமானது	The metaphor is deep
உருவகம் புரிந்துகொள்வது கடினம்	It is hard to understand the metaphor
கதை சுவாரஸ்யமாக உள்ளது	The narrative is interesting
இது எந்த வகை	Which genre is this
புதிய வகை முயற்சி	A new genre attempt
புனைகதை படிக்கிறேன்	I am reading fiction
புனைகதை கற்பனையானது	Fiction is imaginary
புனைகதை அல்லாத புத்தகம்	A non-fiction book
புனைகதை அல்லாத செய்திகள்	Non-fiction news
சுயசரிதை வாசித்தேன்	I read the biography
சுயசரிதை உண்மையாக உள்ளது	The biography is true
முதல் அத்தியாயம் முடிந்தது	The first chapter ended
அத்தியாயம் மிக நீளம்	The chapter is very long
காட்சி மிக அழகானது	The scene is very beautiful
இந்த காட்சி பயமாக உள்ளது	This scene is scary
உரையாடல் சுவாரஸ்யமாக உள்ளது	The dialogue is interesting
உரையாடல் மெதுவாக இருந்தது	The dialogue was slow
பாசுரம் இனிமையாக உள்ளது	The rhyme is sweet
பாசுரம் பாடப்பட்டது	The rhyme was sung
வசனம் எளிமையாக உள்ளது	The verse is simple
வசனம் சரியாக இல்லை	The verse is not correct
விமர்சகர் புகழ்ந்தார்	The critic praised
விமர்சகர் கடினமாக இருந்தார்	The critic was harsh
பார்வையாளர்கள் கைதட்டினர்	The audience applauded
பார்வையாளர்கள் அமைதியாக இருந்தனர்	The audience were quiet
கண்காட்சி எங்கே இருக்கிறது?	Where is the exhibition?
நான் கண்காட்சிக்கு சென்றேன்.	I went to the exhibition.
இலக்கை அடைய முயற்சி செய்	Try to achieve the goal
அன்பை அடைய நேரம் ஆகும்	It takes time to achieve love
அதை சாதிக்க கடினமாக உழை	Work hard to accomplish that
அவர் சாதிக்க விரும்புகிறார்	He wants to accomplish
இதை பராமரிக்க நேரம் எடுக்கும்	It takes time to maintain this
தோட்டத்தை பராமரிக்க வேண்டும்	The garden must be maintained
இது மூன்று பகுதிகளை கொண்டிருக்கும்	This consists of three parts
அவர் பல திறமைகளை கொண்டிருக்கும்	He consists of many skills
அவர்கள் உண்மையை வலியுறுத்துகின்றன	They emphasize the truth
இந்த விதிகள் பாதுகாப்பை வலியுறுத்துகின்றன	These rules emphasize safety
உண்மையை நிரூபிக்க முடியும்	It is possible to demonstrate the truth
அவர் திறமையை நிரூபிக்கிறார்	He demonstrates the skill
அனைவரும் பங்களிக்க வேண்டும்	Everyone should contribute
அவர் பணமாக பங்களிக்கிறார்	He contributes money
தவற்றை ஒப்புக்கொள்	Acknowledge the mistake
அவர் உண்மையை ஒப்புக்கொள்	Acknowledge the truth
நிறுவனத்தை நிறுவ திட்டமிட்டனர்	They planned to establish the company
அவர் ஒரு கோயிலை நிறுவினார்	He established a temple
இது உங்களுக்கு நன்மை தரும்	This will give you benefit
ஆரோக்கியம் மிகப்பெரிய நன்மை	Health is a great benefit
அது நம்மை பாதிக்கும்	That will affect us
இது மனதை பாதிக்கும்	This will affect the mind
இது மோசமான விளைவு	This is a bad effect
நல்ல விளைவு கிடைக்கும்	A good effect will be obtained
விலை அதிகரிக்கும்	The price will increase
மக்கள் தொகை அதிகரிக்கும்	The population will increase
வெப்பம் குறையும்	The heat will decrease
வலி குறையும்	The pain will decrease
விலையை குறைக்க வேண்டும்	The price should be reduced
பிழையை குறைக்க முயற்சி செய்	Try to reduce the error
திறமையை மேம்படுத்த பயிற்சி செய்	Practice to improve the skill
வாழ்க்கையை மேம்படுத்த வேண்டும்	Life should be improved
கடை விரிவடையும்	The shop will expand
நிறுவனம் விரிவடையும்	The company will expand
விபத்தை தடுக்க வேண்டும்	The accident must be prevented
அவனை தடுக்க முடியவில்லை	He could not be prevented
தவறுகளை தவிர்க்க வேண்டும்	Mistakes should be avoided
சர்க்கரையை தவிர்க்க வேண்டும்	Avoid sugar
அவரை ஊக்குவிக்க வேண்டும்	He should be encouraged
மாணவர்களை ஊக்குவிக்க வேண்டும்	Students should be encouraged
அவளுக்கு ஊக்கம் கொடு	Give her encouragement
அவருக்கு ஊக்கம் தேவை	He needs encouragement
அவரை வற்புறுத்த வேண்டாம்	Do not persuade him
அவளை வற்புறுத்த வேண்டாம்	Do not persuade her
அவரை சமாதானப்படுத்த முயற்சி செய்	Try to convince him
அவளை சமாதானப்படுத்த வேண்டும்	She must be convinced
அவர்கள் இதை பரிந்துரைக்கின்றன	They suggest this
புத்தகங்கள் வழியை பரிந்துரைக்கின்றன	Books suggest the way
அதை பரிந்துரைக்கிறோம்	We recommend that
இந்த மருந்தை பரிந்துரைக்கிறோம்	We recommend this medicine
அவர்கள் உரிமையை வலியுறுத்துகின்றனர்	They insist on the right
அவர்கள் பதிலை வலியுறுத்துகின்றனர்	They insist on the answer
இது ஒரு கோரிக்கை	This is a demand
அவர்கள் புதிய கோரிக்கை வைத்தனர்	They made a new demand
அங்கிருந்து எதிர்பார்க்கலாம்	One can expect from there
அவர் வர என்று எதிர்பார்க்கலாம்	One can expect him to come
அவர்கள் அதை கருதுகின்றனர்	They assume that
அவர்கள் இதை சரி என்று கருதுகின்றனர்	They assume this is correct
விலை மதிப்பீடு என்ன	What is the price estimate
நேர மதிப்பீடு தேவை	Time estimate is needed
இதை கணக்கிட வேண்டும்	This must be calculated
அதை கணக்கிட நேரம் ஆகும்	It takes time to calculate that
அதை தீர்மானிக்க வேண்டும்	That must be determined
அவர் முடிவை தீர்மானிக்கிறார்	He determines the decision
அவனை அடையாளம் காணு	Identify him
இதை அடையாளம் காணலாம்	Identify this
அவர்கள் அவரை நண்பராக கருதுகின்றனர்	They consider him a friend
கண்ணாடிகள் ஒளியை பிரதிபலிக்கின்றன	Mirrors reflect the light
நிகழ்வுகள் மனதை பிரதிபலிக்கின்றன	Events reflect the mind
அடையாளங்கள் வழியை குறிப்பிடுகின்றன	Signs indicate the way
அறிகுறிகள் நோயை குறிப்பிடுகின்றன	Symptoms indicate the disease
உண்மையை வெளிப்படுத்த வேண்டும்	The truth must be revealed
அவர் ரகசியத்தை வெளிப்படுத்தினார்	He revealed the secret
விஷயத்தை தெளிவுபடுத்துங்கள்	Clarify the matter
உங்கள் பதிலை தெளிவுபடுத்துங்கள்	Clarify your answer
அவரை வற்புறுத்தவும்	Persuade him.
என்னை வற்புறுத்தவும்	Persuade me.
இந்த கருதுகோள் சரியானது	This hypothesis is correct
புதிய கருதுகோள் தேவை	A new hypothesis is needed
அவர் ஒரு முன்னுதாரணம்	He is a paradigm
இந்த முன்னுதாரணம் பழையது	This paradigm is old
முறைையியல் மிக முக்கியம்	Methodology is very important
சரியான முறையியல் அவசியம்	Correct methodology is necessary
இது ஒரு விசித்திர நிகழ்வு	This is a strange phenomenon
இயற்கை நிகழ்வு ஆச்சரியமானது	The natural phenomenon is amazing
அவர்களுக்கு ஒருமித்த கருத்து உள்ளது	They have a consensus
ஒருமித்த கருத்து தேவை	Consensus is needed
இரண்டிற்கும் தொடர்பு உள்ளது	There is a correlation between the two
இந்த தொடர்பு ஆச்சரிப்பானது	This correlation is surprising
இது ஒரு சுதந்திர மாறி	This is an independent variable
மாறி சரியாக இருக்க வேண்டும்	The variable must be correct
அளவுகோல்கள் கடினமாக உள்ளன	The criteria are difficult
இந்த கருத்து சரியானது	This notion is correct
அவர் கருத்து கூறினார்	He stated his notion
பகுத்தறிவு சிந்தனை அவசியம்	Rationality in thinking is necessary
உங்கள் பகுத்தறிவு எங்கே?	Where is your rationale?
இது அனுபவபூர்வமான உண்மை	This is an empirical truth
அனுபவபூர்வமான தரவு தேவை	Empirical data is needed
தத்துவார்த்த விளக்கம் கடினம்	The theoretical explanation is difficult
இது ஒரு தத்துவார்த்த அணுகுமுறை	This is a theoretical approach
கட்டமைப்பு வலுவாக உள்ளது	The framework is strong
புதிய கட்டமைப்பு தேவை	A new framework is needed
சூழல் மிகவும் கடினமாக உள்ளது	The context is very difficult
சூழல் புரிய வேண்டும்	The context should be understood
மூன்றாம் பரிமாணம் ஆச்சரியமானது	The third dimension is amazing
பரிமாணம் சரியாக இருக்க வேண்டும்	The dimension must be correct
இது ஒரு முக்கிய அம்சம்	This is an important aspect
அனைத்து அம்சங்களையும் கவனியுங்கள்	Observe all aspects
முக்கிய காரணி இதுதான்	This is the main factor
விலை போக்கு உயர்கிறது	The price trend is rising
இந்த முறை ஆச்சரியமானது	This pattern is surprising
பழைய முறை மாற வேண்டும்	The old pattern must change
கணக்கெடுப்பு இன்று தொடங்கியது	The survey started today
கணக்கெடுப்பு முடிவு ஆனது	The survey ended
புதிய கண்டுபிடிக்கும் ஆச்சரியமானது	The new finding is surprising
இந்த கண்டுபிடிக்கும் சரியானது	This finding is correct
தரவு தொகுப்பு பெரியது	The data set is large
தரவு தொகுப்பு தேவை	The data set is needed
புள்ளிவிவரங்கள் தெளிவாக உள்ளன	The statistics are clear
புள்ளிவிவரங்கள் தவறாக உள்ளன	The statistics are wrong
இது குறிப்பிடத்தக்கது மாற்றம்	This is a significant change
குறிப்பிடத்தக்கது முன்னேற்றம்	The progress is significant
இதற்கு எந்த சம்பந்தம் இல்லை	This has no relevance
சம்பந்தம் என்ன என்று கூறு	Tell me what the relevance is
செல்லுபடியாகும் தேதி முடிந்தது	The validity date has ended
இந்த செல்லுபடியாகும் ஆவணம்	This valid document
நம்பகத்தன்மை மிக முக்கியம்	Reliability is very important
நம்பகத்தன்மை குறைவாக உள்ளது	The reliability is low
நோக்கம் மிக பெரியது	The scope is very large
இந்த நோக்கம் சரியானது	This scope is correct
வரம்பு மிகக் குறைவு	The limitation is very low
வரம்பு தெளிவாக உள்ளது	The limitation is clear
புறம்போக்கு செய்ய வேண்டாம்	Do not extrapolate
புறம்போக்கு செய்வது கடினம்	Extrapolating is difficult
அளவிட முயற்சி செய்	Try to quantify
அளவிட முடியாது	It cannot be quantify
மாறுபாடு தெளிவாக உள்ளது	The contrast is clear
ஒருங்கிணைக்க முயற்சி செய்	Try to synthesize
அவற்றை ஒருங்கிணைக்க வேண்டும்	They must be synthesize
விமர்சனம் சரியாக உள்ளது	The critique is correct
கடினமான விமர்சனம் தேவை	Hard critique is needed
ஆய்வு இன்று தொடங்கியது	The examine started today
ஆய்வு முழுமையானது	The examine is complete
விசாரணை இன்னும் நடக்கிறது	The investigate is still happening
விசாரணை முடிவு ஆனது	The investigate ended
முன்மொழிவு ஏற்றுக்கொள்ளப்பட்டது	The proposition was accepted
புதிய முன்மொழிவு தேவை	A new proposition is needed
வலியுறுத்தல் சரியாக உள்ளது	The assertion is correct
அவர் வலியுறுத்தல் கூறினார்	He stated his assertion
வளாகம் மிகவும் பெரியது	The premise is very large
வளாகம் சுத்தமாக உள்ளது	The premise is clean
விலை பற்றி பேச்சுவார்த்தை நடத்துங்கள்	Negotiate about the price
அவர்கள் பேச்சுவார்த்தை முடித்தனர்	They finished the negotiation
அவர் ஒரு சிறந்த பிரதிநிதி	He is a great delegate
புதிய பிரதிநிதி வந்தார்	A new delegate came
அவர் எங்களுக்கு வசதி செய்தார்	He facilitated us
இந்த வசதி மிகவும் நல்லது	This facility is very good
அவர்கள் தொடர்பு கொண்டனர்	They liaised
எனக்கு தொடர்பு தேவை	I need a liaison
திட்டத்தை செயல்படுத்த வேண்டும்	Must implement the plan
அவர் அதை செயல்படுத்தினார்	He implemented it
அவர் வேலையை மேற்பார்வை செய்தார்	He oversaw the work
மேற்பார்வை மிக அவசியம்	Supervision is very essential
செயல்முறையை நெறிப்படுத்துங்கள்	Streamline the process
அவர் அதை நெறிப்படுத்துகிறார்	He is streamlining it
வேலைக்கு முன்னுரிமை கொடுங்கள்	Prioritize the work
எனக்கு முன்னுரிமை வேண்டும்	I want priority
நாம் ஒத்துழைக்கலாம்	We can collaborate
வேலையை உகந்ததாக்குங்கள்	Optimize the work
அவர் அதை உகந்ததாக்கினார்	He optimized it
நாம் வியூகம் வகுக்கவும் வேண்டும்	We must strategize
அவர்கள் வியூகம் வகுக்கவும் செய்தனர்	They strategized
இது ஒரு நல்ல திட்டம்	This is a good plan
புதிய திட்டம் தயார்	The new plan is ready
நிகழ்வுக்கு ஏற்பாடு செய்யுங்கள்	Organize the event
அவர் ஏற்பாடு செய்தார்	He organized it
அனைத்தையும் ஒருங்கிணைக்க வேண்டும்	Must coordinate everything
அவர் அனைத்தையும் ஒருங்கிணைக்கிறார்	He coordinates everything
அவர் அலுவலகத்தை நிர்வகிக்கிறார்	He manages the office
எப்படி நிர்வகிக்க வேண்டும்?	How to manage?
அவர் அணிக்கு முன்னணி தாந்தார்	He led the team
அவர் முன்னணி இருக்கிறார்	He is leading
அவர் என்னை ஊக்குவிக்கும் செய்தார்	He motivated me
அவர் நம்மை ஊக்குவிக்கும் உள்ளார்	He is motivating us
அவர் எனக்கு உத்வேகம் அளித்தார்	He inspired me
புதிய உத்வேகம் தேவை	New inspiration is needed
அவர் சிறந்த வழிகாட்டி	He is a great mentor
எனக்கு ஒரு வழிகாட்டி வேண்டும்	I need a mentor
அவர் வேலையை மேற்பார்வை செய்கிறார்	He supervises the work
மேற்பார்வை செய்ய நேரம் இல்லை	No time to supervise
அவர் வேலையை மதிப்பீடு செய்தார்	He evaluated the work
சரியான மதிப்பீடு அவசியம்	Correct evaluation is essential
அவர் அறிக்கையை மதிப்பாய்வு செய்தார்	He reviewed the report
மீண்டும் மதிப்பாய்வு செய்யுங்கள்	Review it again
அறிக்கை உண்மையானது	The report is true
அவர் தற்போது இங்கே இருக்கிறார்	He is present here now
தற்போது மழை பெய்கிறது	It is raining now
அவரிடம் தொடர்பு கொள்ளுங்கள்	Communicate with him
தொடர்பு கொள்வது எளிது	Communicating is easy
அவை ஒத்துள்ளது	They correspond
அவை ஒத்துள்ளது என்று நினைக்கிறேன்	I think they correspond
அதை பின்தொடரவும் செய்யுங்கள்	Follow up on that
அவர் அதை பின்தொடரவும் செய்தார்	He followed up on it
அட்டவணை சரியாக உள்ளது	The schedule is correct
அட்டவணை மாற்றிவிட்டது	The schedule has changed
நேரத்தை ஒதுக்கீடு செய்யுங்கள்	Allocate the time
அவர் பணத்தை ஒதுக்கீடு செய்தார்	He allocated the money
பட்ஜெட் குறைவாக உள்ளது	The budget is low
புதிய பட்ஜெட் தேவை	A new budget is needed
காலக்கெடு நாளை முடிவடைகிறது	The deadline ends tomorrow
காலக்கெடுவை கவனிக்கவும்	Note the deadline
இது ஒரு பெரிய மைல்கல்	This is a big milestone
முதல் மைல்கல் முடிந்தது	The first milestone is over
எனக்கு பணிச்சுமை அதிகம்	I have a high workload
பணிச்சுமை குறைந்தது	The workload decreased
அவர் திறமையான மனிதர்	He is an efficient man
மிகவும் திறமையான வேலை	Very efficient work
இது பயனுள்ள வழி	This is an effective way
பயனுள்ள பதில் கிடைத்துள்ளது	An effective answer was received
உற்பத்தி இன்று அதிகம்	Production is high today
உற்பத்தி நேரம் தேவை	Production time is needed
அவர் பொறுப்பான அதிகாரி	He is an accountable officer
நீங்கள் பொறுப்பானவர்	You are accountable
அவர் செயலூக்கமுள்ள மாணவர்	He is a proactive student
செயலூக்கமுள்ள அணுகுமுறை தேவை	Proactive approach is needed
அவர் வளமான மனிதர்	He is a resourceful man
வளமான நாடு	Resourceful country
திட்டத்தை செயல்படுத்த திட்டமிடுங்கள்	Plan to carry out the project
வேலையை செயல்படுத்த நேரம் எடுக்கும்	It will take time to carry out the work
அவர் மாற்றத்தை கொண்டு வந்தார்	He brought about the change
அமைதியை கொண்டு வாருங்கள்	Bring about the peace
கூட்டத்தை தள்ளி வைத்து	Put off the crowd
புதிய யோசனையை கொண்டு வாருங்கள்	Come up with a new idea
உதவியை கொண்டு வாருங்கள்	Come up with the help
அவர் வாய்ப்பை நிராகரிக்கவும் சொன்னார்	He told to turn down the opportunity
அதை நிராகரிக்கவும்	Turn it down
அவர்கள் தவறை சுட்டிக்காட்டுகின்றனர்	They point out the mistake
அதை சுட்டிக்காட்டுகின்றனர்	They point out that
அங்கேயே ஒரு அலுவலகத்தை அமைக்க	Set up an office there
ஒரு கணக்கை அமைக்க	Set up an account
முயற்சியை விட்டுவிடுங்கள்	Give up the effort
அலட்சியத்தை விட்டுவிடுங்கள்	Give up the neglect
இதற்கான கணக்கு சரியில்லை	The account for this is not correct
பணத்தை கணக்கு செய்யுங்கள்	Account for the money
இதை மீண்டும் முயற்சி செய்	Back up and try again
என்னை மீண்டும் அழைக்கவும்	Back me up
கதவு உடைந்து போனது	The door is broken down
இயந்திரம் உடைந்துவிட்டது	The machine broke down
அவர் குழந்தையை கொண்டு வந்தார்	He brought up the child
அதை இங்கே கொண்டு வா	Bring it here
அவருக்கு அழைப்பு விடு	Call him
அனைவருக்கும் அழைப்பு விடு	Call everyone
வேலையை தொடரவும்	Carry on the work
பேச்சை தொடரவும்	Carry on the conversation
அவனை பிடிக்க வேண்டும்	Must catch up with him
வேகமாக பிடிக்க	Catch up fast
நான் அவரை முழுவதும் வந்து பார்த்தேன்	I came across him completely
அங்கு முழுவதும் வந்து தேடு	Come across and search there
சர்க்கரையை குறைத்து பயன்படுத்து	Cut down on the sugar
உப்பை குறைத்து சாப்பிடு	Cut down on the salt
பிரச்சனையை சமாளிக்க முயற்சி செய்	Try to deal with the problem
இதை எப்படி சமாளிக்க முடியும்	How to deal with this
உண்மையை கண்டுபிடிக்க வேண்டும்	Must figure out the truth
வழியை கண்டுபிடிக்க முயற்சி செய்	Try to figure out the way
விண்ணப்பத்தை நிரப்பவும்	Fill in the application
இடத்தை நிரப்பவும்	Fill in the space
அவர் நண்பருடன் உடன் பழகுகிறார்	He gets along with his friend
அவளுடன் உடன் பழக கற்றுக்கொள்	Learn to get along with her
கவலை எல்லாம் முடிந்துவிடும்	All worries will be over
பயம் முடிந்துவிடும்	Fear will be over
புத்தகத்தை கொடுக்க	Give the book
பயணத்தை கொடுக்க	Give the journey
காடு வழியாக செல்ல வேண்டும்	Must go through the forest
கதவு வழியாக செல்லுங்கள்	Go through the door
தாளை கைக்குள் வை	Keep the paper in hand
பயணத்தை கைக்குள் வை	Keep the journey in hand
