Geh.	Go.
Ich musste Tom stoppen.	I had to stop Tom.
Ich hasse meine Eltern.	I hate my parents.
Ich hasse diesen Laden.	I hate this store.
Ich bin stark erkältet.	I have a bad cold.
Ich bin jetzt erkältet.	I have a cold now.
Ich habe einen Vertrag.	I have a contract.
Ich habe ein rosa Auto.	I have a pink car.
Ich habe ein Segelboot.	I have a sailboat.
Ich bin geliebt worden.	I have been loved.
Ich habe viele Platten.	I have many discs.
Ich habe keine Freunde.	I have no friends.
Ich hoffe Sie zu sehen.	I hope to see you.
Ich brauche nur Schlaf.	I just need sleep.
Ich wusste, wer er war.	I knew who he was.
Das Geräusch kenne ich.	I know that sound.
Ich kenne diese Stimme.	I know that voice.
Ich mag scharfes Essen.	I like spicy food.
Ich mag pikantes Essen.	I like spicy food.
Mir gefällt dein Pferd.	I like your horse.
Ich liebe meine Heimat.	I love my country.
Ich liebe meine Eltern.	I love my parents.
Ich liebe diesen Stuhl.	I love that chair.
Ich liebe dieses Kleid.	I love that dress.
Ich liebe diesen Laden.	I love that store.
Ich liebe dieses Album.	I love this album.
Ich liebe dieses Photo.	I love this photo.
Ich liebe dieses Video.	I love this video.
Ich feilsche sehr gern.	I love to bargain.
Ich liebe deine Stimme.	I love your voice.
Ich darf das nicht tun.	I may not do that.
Mir fehlen deine Witze.	I miss your jokes.
Ich brauche Toms Hilfe.	I need Tom's help.
Ich brauche mehr Licht.	I need more light.
Ich brauche die Leiter.	I need the ladder.
Ich trinke niemals Tee.	I never drink tea.
Ich verschlafe niemals.	I never oversleep.
Ich schulde ihm nichts.	I owe him nothing.
Ich schulde dir nichts.	I owe you nothing.
Ich spiele auch Schach.	I play chess, too.
Ich ziehe Komödien vor.	I prefer comedies.
Rotwein ist mir lieber.	I prefer red wine.
Ich lief um mein Leben.	I ran for my life.
Ich lese einige Bücher.	I read some books.
Ich hasse Tom wirklich.	I really hate Tom.
Ich liebe Tom wirklich.	I really love Tom.
Tom fehlt mir wirklich.	I really miss Tom.
Du fehlst mir wirklich.	I really miss you.
Ich habe Tom empfohlen.	I recommended Tom.
Ich nehme alles zurück.	I stand corrected.
Ich ging an die Arbeit.	I started working.
Ich bin Erdkundelehrer.	I teach geography.
Ich neige zur Faulheit.	I tend to be lazy.
Ich denke, ich mag das.	I think I like it.
Ich glaube, ich sterbe.	I think I'm dying.
Ich denke, Tom ist auf.	I think Tom is up.
So viel dachte ich mir.	I thought as much.
Ich habe daran gedacht.	I thought of that.
Ich nahm meinen Hut ab.	I took my hat off.
Ich möchte zehn Teller.	I want ten plates.
Ich möchte jetzt essen.	I want to eat now.
Ich war todunglücklich.	I was heartbroken.
Ich war deine Freundin.	I was your friend.
Ich würde gerne tanzen.	I'd like to dance.
Ich würde gerne stehen.	I'd like to stand.
Ich bin bald wieder da.	I'll be back soon.
Ich gebe dir 30 Dollar.	I'll give you $30.
Ich habe Angst vor Tom.	I'm afraid of Tom.
Ich bin so alt wie Tom.	I'm as old as Tom.
Ich bin heute zu Hause.	I'm at home today.
Heute bin ich zu Hause.	I'm at home today.
Ich bin mit dir fertig.	I'm done with you.
Ich werde langsam müde.	I'm getting tired.
Ich werde laufen gehen.	I'm going running.
Ich freue mich für Tom.	I'm happy for Tom.
Ich freue mich für Sie.	I'm happy for you.
Ich bin kein Fanatiker.	I'm not a fanatic.
Ich bin kein Ungeheuer.	I'm not a monster.
Ich bin kein Hellseher.	I'm not a psychic.
Ich bin kein Süchtiger.	I'm not an addict.
Ich bin nicht religiös.	I'm not religious.
Ich bin auf Seite drei.	I'm on page three.
Ich bin direkt draußen.	I'm right outside.
Ich habe genug hiervon.	I'm tired of this.
Ich habe schon bezahlt.	I've already paid.
Ich habe es korrigiert.	I've corrected it.
Ist es ein gutes Stück?	Is it a good play?
Ist es ein gutes Spiel?	Is it a good play?
Ist einer von euch Tom?	Is one of you Tom?
Ist das ein neues Auto?	Is that a new car?
Ist der Laden geöffnet?	Is the store open?
Gibt es eine Belohnung?	Is there a reward?
Gehört das alles Ihnen?	Is this all yours?
Es könnte tödlich sein.	It could be fatal.
Er passt ausgezeichnet.	It fits perfectly.
Es ist wieder passiert.	It happened again.
Es hat sich wiederholt.	It happened again.
Das ist heute passiert.	It happened today.
Es sieht ägyptisch aus.	It looks Egyptian.
Das klingt befremdlich.	It sounds strange.
Das wird ihn verwirren.	It'll confuse him.
Es wird bald geschehen.	It'll happen soon.
Es ist der 20. Oktober.	It's October 20th.
Das ist ein guter Film.	It's a good movie.
Es ist mein Traumberuf.	It's my dream job.
Es ist nicht mein Stil.	It's not my style.
Es ist einer von denen.	It's one of those.
Es ist ziemlich windig.	It's pretty windy.
Es ist wirklich windig.	It's really windy.
Es ist Zeit aufzuhören.	It's time to quit.
Es ist doppelt so groß.	It's twice as big.
Es ist falsch zu lügen.	It's wrong to lie.
Dachte ich es mir doch.	Just as I thought.
Tu einfach dein Bestes.	Just do your best.
Bleib einfach zu Hause!	Just stay at home.
Überlassen Sie Tom mir.	Let me handle Tom.
Lass mich bitte hinein.	Let me in, please.
Geben wir unser Bestes.	Let's do our best.
Gehen wir dort entlang!	Let's go that way.
Lass uns drängeln, Tom.	Let's hustle, Tom.
Spielen wir doch etwas!	Let's play a game.
Das Leben ist flüchtig.	Life is ephemeral.
Das Leben hier ist gut.	Life is good here.
Leben und leben lassen.	Live and let live.
Leben ist nicht leicht.	Living isn't easy.
Schau dir den Preis an.	Look at the price.
Schau mir in die Augen.	Look into my eyes.
Maria ist meine Mutter.	Mary is my mother.
Maria ist ja so hübsch!	Mary is so pretty.
Darf ich mit Tom gehen?	May I go with Tom?
Darf ich mit dir gehen?	May I go with you?
Darf ich mich ausruhen?	May I take a rest?
Darf man fotografieren?	May I take photos?
Vielleicht ist Tom tot.	Maybe Tom is dead.
Mama hat Äpfel gekauft.	Mom bought apples.
Mein Pferd ist schwarz.	My horse is black.
Mein Messer ist scharf.	My knife is sharp.
Meine Mutter ist krank.	My mother is sick.
Mein Telefon vibrierte.	My phone vibrated.
Mir juckt die Kopfhaut.	My scalp is itchy.
Niemand kann entkommen.	No one can escape.
Niemand anderes sprach.	No one else spoke.
Niemand vertraut Ihnen.	No one trusts you.
Es ist noch niemand da.	No one's here yet.
Keiner ist hingegangen.	Nobody went there.
Okay, gehen wir das an.	OK, let's do this.
Reiche mir das herüber!	Pass it over here.
Lass mich bitte zahlen!	Please let me pay.
Sollen wir hier sitzen?	Shall we sit here?
Sie kann hoch springen.	She can jump high.
Sie ist seine Freundin.	She is his friend.
Sie ist noch nicht auf.	She is not up yet.
Sie muss dorthin gehen.	She must go there.
Sie hatte Depressionen.	She was depressed.
Sie ist eine Nachteule.	She's a night owl.
Sie ist nicht mein Typ.	She's not my type.
Sie ist aufgeschlossen.	She's open-minded.
Etwas hat Tom gebissen.	Something bit Tom.
Hör auf, Tom zu ärgern!	Stop bullying Tom.
Kümmern Sie sich darum!	Take care of this.
Macht keine Gefangenen!	Take no prisoners.
Nenne mir deinen Namen.	Tell me your name.
Dieses Auto gehört Tom.	That car is Tom's.
Das könnte sich ändern.	That could change.
Das war sehr hilfreich.	That helped a lot.
Das könnte auch helfen.	That too may help.
Das ist ein böses Wort.	That's a bad word.
Das ist ein Tannenbaum.	That's a fir tree.
Das ist ein guter Kauf.	That's a good buy.
Das ist bloß eine Lüge.	That's just a lie.
Das ist einfach albern.	That's just silly.
Das ist einfach falsch.	That's just wrong.
Das ist unsere Zukunft.	That's our future.
Das ist richtig lustig.	That's real funny.
Das ist sehr praktisch.	That's very handy.
Darum habe ich gelogen.	That's why I lied.
Das Buch ist verstaubt.	The book is dusty.
Die Autos düsten davon.	The cars sped off.
Die Flagge ist schwarz.	The flag is black.
Das Schloss ist kaputt.	The lock's broken.
Der Himmel ist bewölkt.	The sky is cloudy.
Das Geschäft ist offen.	The store is open.
Die Straße ist vereist.	The street is icy.
Die Prüfung war leicht.	The test was easy.
Der Zug hat angehalten.	The train stopped.
Der Kofferraum ist auf.	The trunk is open.
Sie sind im Unterricht.	They are in class.
Sie haben Tom geglaubt.	They believed Tom.
Sie haben dir geglaubt.	They believed you.
Sie haben Tom verraten.	They betrayed Tom.
Sie haben Tom betrogen.	They betrayed Tom.
Die haben Sie verraten.	They betrayed you.
Sie verstehen es nicht.	They don't get it.
Sie sind Ihnen gefolgt.	They followed you.
Sie wussten von nichts.	They knew nothing.
Sie haben Tom ermordet.	They murdered Tom.
Sie saßen in der Falle.	They were trapped.
Sie werden Angst haben.	They'll be afraid.
Sie sind ausgezeichnet.	They're excellent.
Sie haben Tom genommen.	They've taken Tom.
Dieses Buch gehört ihr.	This book is hers.
Dieses Buch wird's tun.	This book will do.
Diese Kiste ist schwer.	This box is heavy.
Dieser Mantel ist warm.	This coat is warm.
Dieser Hund gehört Tom.	This dog is Tom's.
Das ist eine Kokosnuss.	This is a coconut.
Dieses Fleisch ist gut.	This is good meat.
Das ist gerechtfertigt.	This is justified.
Das ist meine Freundin.	This is my friend.
Das ist dein Schicksal.	This is your fate.
Das ist euer Schicksal.	This is your fate.
Das ist nicht für mich.	This isn't for me.
Dieses Zimmer ist kalt.	This room is cold.
Tom hat etwas gegessen.	Tom ate something.
Tom wurde noch kränker.	Tom became sicker.
Tom ist wieder errötet.	Tom blushed again.
Tom brach sich den Arm.	Tom broke his arm.
Tom zerbrach die Tasse.	Tom broke the cup.
Tom kann damit umgehen.	Tom can handle it.
Tom kann es bewältigen.	Tom can handle it.
Tom kann noch gewinnen.	Tom can still win.
Tom kann nicht pfeifen.	Tom can't whistle.
Tom hätte gehen können.	Tom could've gone.
Tom konnte nicht ruhen.	Tom couldn't rest.
Tom konnte nicht gehen.	Tom couldn't walk.
Tom hat Mary getäuscht.	Tom deceived Mary.
Tom hat das hier getan.	Tom did that here.
Tom hat nicht zugehört.	Tom didn't listen.
Tom hat nicht gelitten.	Tom didn't suffer.
Tom rasiert sich nicht.	Tom doesn't shave.
Tom genießt die Schule.	Tom enjoys school.
Tom fütterte das Pferd.	Tom fed the horse.
Tom fütterte das Schaf.	Tom fed the sheep.
Tom nahm an Gewicht zu.	Tom gained weight.
Tom hat es mir gegeben.	Tom gave it to me.
Tom hat es uns gegeben.	Tom gave it to us.
Tom hat falsch geraten.	Tom guessed wrong.
Tom hatte einen Anfall.	Tom had a seizure.
Tom hat jetzt ein Auto.	Tom has a car now.
Tom hat einen hohen IQ.	Tom has a high IQ.
Tom hat ein neues Auto.	Tom has a new car.
Tom hat ein rotes Auto.	Tom has a red car.
Tom hat schwarze Haare.	Tom has dark hair.
Tom hasste sich selbst.	Tom hated himself.
Tom hasst seine Arbeit.	Tom hates his job.
Tom hasst es zu laufen.	Tom hates running.
Tom hörte ein Geräusch.	Tom heard a noise.
Tom hörte einen Schrei.	Tom heard a shout.
Tom hat Mary beleidigt.	Tom insulted Mary.
Tom ist ein Bücherwurm.	Tom is a bookworm.
Tom ist ein guter Mann.	Tom is a good man.
Tom ist ein Gefangener.	Tom is a prisoner.
Tom ist ein Romantiker.	Tom is a romantic.
Tom ist ein Kriegsheld.	Tom is a war hero.
Tom ist ein alter Mann.	Tom is an old man.
Tom ist früh wieder da.	Tom is back early.
Tom ist glücklich hier.	Tom is happy here.
Tom ist im Lieferwagen.	Tom is in the van.
Tom ist unentschlossen.	Tom is indecisive.
Tom ist mein Schicksal.	Tom is my destiny.
Tom ist mein Stiefpapa.	Tom is my stepdad.
Tom ist mein Stiefsohn.	Tom is my stepson.
Tom ist auf der Flucht.	Tom is on the run.
Tom ist unser Ältester.	Tom is our oldest.
Tom ist voreingenommen.	Tom is prejudiced.
Tom ist ganz schön alt.	Tom is pretty old.
Tom ist ziemlich reich.	Tom is quite rich.
Tom ist immer noch arm.	Tom is still poor.
Tom ist sehr glücklich.	Tom is very happy.
Tom ist sehr bedürftig.	Tom is very needy.
Tom ist sehr ängstlich.	Tom is very timid.
Tom ist anders als ich.	Tom isn't like me.
Tom ist nicht anwesend.	Tom isn't present.
Tom tötete einen Bären.	Tom killed a bear.
Tom verließ das Zimmer.	Tom left the room.
Tom sieht beschämt aus.	Tom looks ashamed.
Tom sieht verwirrt aus.	Tom looks baffled.
Tom sieht zappelig aus.	Tom looks jittery.
Tom sieht verdutzt aus.	Tom looks puzzled.
Tom sieht erstaunt aus.	Tom looks stunned.
Tom liebte seinen Hund.	Tom loved his dog.
Tom liebt Gesellschaft.	Tom loves company.
Tom liebt es zu kochen.	Tom loves cooking.
Tom liebt seine Arbeit.	Tom loves his job.
Tom hat Fehler gemacht.	Tom made mistakes.
Tom machte Pfannkuchen.	Tom made pancakes.
Tom hat sicher geweint.	Tom must've cried.
Tom muss geweint haben.	Tom must've cried.
Tom ist nie angekommen.	Tom never arrived.
Tom hat nie geheiratet.	Tom never married.
Tom war nie schüchtern.	Tom never was shy.
Tom sollte es erfahren.	Tom ought to know.
Tom bezahlte die Miete.	Tom paid the rent.
Tom läutete die Glocke.	Tom rang the bell.
Tom reagierte schlecht.	Tom reacted badly.
Tom mietete ein Zimmer.	Tom rented a room.
Tom war unsere Rettung.	Tom saved the day.
Tom scheint schockiert.	Tom seems shocked.
Tom hat Rauch gerochen.	Tom smelled smoke.
Tom hat müde geklungen.	Tom sounded tired.
Tom hat Maria versetzt.	Tom stood Mary up.
Tom hat es weggeworfen.	Tom threw it away.
Tom hat sich umgedreht.	Tom turned around.
Tom will Popcorn haben.	Tom wants popcorn.
Tom sucht nach Respekt.	Tom wants respect.
Tom war Schrotthändler.	Tom was a junkman.
Tom lag völlig daneben.	Tom was all wrong.
Tom war ein Waisenkind.	Tom was an orphan.
Tom wäre in der Schule.	Tom was at school.
Tom war nicht abwesend.	Tom wasn't absent.
Tom war nicht amüsiert.	Tom wasn't amused.
Tom hat nicht gegessen.	Tom wasn't eating.
Tom war nicht schuldig.	Tom wasn't guilty.
Tom wird falsch liegen.	Tom will be wrong.
Tom wird dich besiegen.	Tom will beat you.
Tom wird dich schlagen.	Tom will beat you.
Tom wird dir gehorchen.	Tom will obey you.
Tom wird sich erinnern.	Tom will remember.
Tom kommt nicht wieder.	Tom won't be back.
Tom trug einen Filzhut.	Tom wore a fedora.
Tom trug einen Smoking.	Tom wore a tuxedo.
Tom würde nicht kommen.	Tom wouldn't come.
Tom schreibt Liedtexte.	Tom writes lyrics.
Tom wird das verstehen.	Tom'll understand.
Tom ist rot im Gesicht.	Tom's face is red.
Probier dieses Hemd an.	Try on that shirt.
Wechsle auf Kanal eins.	Turn to channel 1.
Wer rastet, der rostet!	Use it or lose it.
Wir sind Ihrer Meinung.	We agree with you.
Wir sind, wer wir sind.	We are who we are.
Versuchen können wir’s.	We can always try.
Wir können hier lernen.	We can study here.
Wir brauchen Tom nicht.	We don't need Tom.
Wir brauchen Sie nicht.	We don't need you.
Wir haben einen Zeugen.	We have a witness.
Wir haben eine Antwort.	We have an answer.
Wir müssen jetzt gehen.	We have to go now.
Wir hoffen auf Frieden.	We hope for peace.
Wir kennen dieses Lied.	We know this song.
Wir wissen, wer er ist.	We know who he is.
Wir schauen zu dir auf.	We look up to you.
Wir vermissen Sie sehr.	We miss you a lot.
Wir brauchen mehr Bier.	We need more beer.
Wir brauchen mehr Raum.	We need more room.
Wir brauchen mehr Zeit.	We need more time.
Wir nehmen nur Bargeld.	We only take cash.
Uns ging der Sprit aus.	We ran out of gas.
Wir streben nach Glück.	We seek happiness.
Wir fuhren nach Norden.	We went due north.
Wir gingen nach Norden.	We went due north.
Wir gingen nach Boston.	We went to Boston.
Wir fuhren nach Boston.	We went to Boston.
Wir hatten keine Angst.	We weren't scared.
Beeilen wir uns lieber!	We'd better hurry.
Wir beeilen uns lieber.	We'd better hurry.
Wir sind alle Gewinner.	We're all winners.
Wir sind fast zu Hause.	We're almost home.
Wir sind jetzt Freunde.	We're friends now.
Wir streiten uns nicht.	We're not arguing.
Wir machen keinen Spaß.	We're not kidding.
Wir liegen im Zeitplan.	We're on schedule.
Wir sind auch Menschen.	We're people, too.
Wir sind ziemlich müde.	We're quite tired.
Wir sind sehr genügsam.	We're very frugal.
Willkommen zurück, Tom!	Welcome back, Tom.
Was kann ich jetzt tun?	What can I do now?
Was können wir trinken?	What can we drink?
Was haben Sie gefunden?	What did you find?
Was haben Sie gesungen?	What did you sing?
Was haben Sie genommen?	What did you take?
Was haben Sie angehabt?	What did you wear?
Was ist die Geschichte?	What is the story?
Was kommt als nächstes?	What'll come next?
Was essen wir zu Abend?	What's for dinner?
Aus was ist es gemacht?	What's it made of?
Was ist dein Hauptfach?	What's your major?
Wann ist das geschehen?	When did it occur?
Wann habt ihr gesungen?	When did you sing?
Wann gibt es Frühstück?	When is breakfast?
Wann ist deine Prüfung?	When is your exam?
Wann wurde sie geboren?	When was she born?
Wo werdet ihr hingehen?	Where will you go?
Wohin werden Sie gehen?	Where will you go?
Wo ist meine Einladung?	Where's my invite?
Wo ist meine Schwester?	Where's my sister?
Wo ist mein Geldbeutel?	Where's my wallet?
Welche ist Ihre Tasche?	Which is your bag?
Welche ist eure Tasche?	Which is your bag?
Wen hat Tom geheiratet?	Who did Tom marry?
Wer hat das Tom gesagt?	Who told Tom that?
Wer war dieses Mädchen?	Who was that girl?
Gegen wen trete ich an?	Who's my opponent?
Wer ist verantwortlich?	Who's responsible?
Wer kommt uns besuchen?	Who's visiting us?
Wem gehört dieses Auto?	Whose car is that?
Warum bist du am Leben?	Why are you alive?
Warum sind Sie alleine?	Why are you alone?
Warum bist du gegangen?	Why did you leave?
Warum ist das verkehrt?	Why is that wrong?
Warum ist es nicht gut?	Why isn't it good?
Wirst du das verwenden?	Will you use this?
Du und ich sind Männer.	You and I are men.
Und ob ich mich ärgere!	You bet I'm angry.
Sie können meins haben.	You can have mine.
Sie können hier warten.	You can wait here.
Du könntest Tom fragen.	You could ask Tom.
Ihr könntet Tom fragen.	You could ask Tom.
Sie könnten Tom fragen.	You could ask Tom.
Du könntest mir helfen.	You could help me.
Ihr könntet mir helfen.	You could help me.
Sie könnten mir helfen.	You could help me.
Sie könnten uns helfen.	You could help us.
Du könntest uns helfen.	You could help us.
Du hast nicht zugehört.	You didn't listen.
Du brauchst mich nicht.	You don't need me.
Du hast es mir gegeben.	You gave it to me.
Du hast es uns gegeben.	You gave it to us.
Sie waren schnell hier.	You got here fast.
Ihr seid doch bekloppt.	You guys are nuts.
Ihr wisst, wer ich bin.	You know who I am.
Ihr seht japanisch aus.	You look Japanese.
Ihr seht irritiert aus.	You look confused.
Sie machen mich wütend.	You make me angry.
Sie dürfen hier parken.	You may park here.
Du musst verrückt sein.	You must be crazy.
Du musst ihn aufhalten.	You must stop him.
Ihr müßt euch rasieren.	You need to shave.
Du hast nie aufgegeben.	You never gave up.
Du sprichst zu schnell.	You talk too fast.
Du hast falsch gedacht.	You thought wrong.
Du arbeitest zu schwer.	You work too hard.
Du wirst Arbeit finden.	You'll find a job.
Du wirst Geld brauchen.	You'll need money.
Du bist ein Bücherwurm.	You're a bookworm.
Du bist ein guter Mann.	You're a good man.
Sie sind eine Mörderin.	You're a murderer.
Du bist ein Gefangener.	You're a prisoner.
Du bist eine Gefangene.	You're a prisoner.
Du bist ein alter Mann.	You're an old man.
Ihr habt beide unrecht.	You're both wrong.
Du bist verachtenswert.	You're despicable.
Sie sind jetzt berühmt.	You're famous now.
Ihr seid meine Freunde.	You're my friends.
Du bist unser Priester.	You're our priest.
Sie sind übergewichtig.	You're overweight.
Ihr seid übergewichtig.	You're overweight.
Du bist so ein Schwein!	You're such a pig.
Du bist die Anführerin.	You're the leader.
Ihr seid unzuverlässig.	You're unreliable.
Sie sind unzuverlässig.	You're unreliable.
Du bist sehr furchtsam.	You're very timid.
Du bist sehr verärgert.	You're very upset.
Dein Handy hat gepiept.	Your phone beeped.
Der Eintritt war frei.	Admission was free.
Sie gefällt uns allen.	All of us like her.
Sei immer auf der Hut!	Always be on guard.
Bin ich wirklich dumm?	Am I really stupid?
Bin ich wirklich blöd?	Am I really stupid?
Jeder kann das machen.	Anyone can do that.
Seid ihr Sammlerinnen?	Are you collectors?
Gehst du auch dorthin?	Are you going, too?
Geht ihr auch dorthin?	Are you going, too?
Amüsierst du dich gut?	Are you having fun?
Sind Sie interessiert?	Are you interested?
Seid ihr interessiert?	Are you interested?
Bist du sauer auf Tom?	Are you mad at Tom?
Sind Sie mein Chirurg?	Are you my surgeon?
Bist du übergewichtig?	Are you overweight?
Seid ihr überarbeitet?	Are you overworked?
Sind Sie überarbeitet?	Are you overworked?
Haben Sie jetzt Angst?	Are you scared now?
Bist du noch zu Hause?	Are you still home?
Sind Sie Vegetarierin?	Are you vegetarian?
Sind deine Schuhe neu?	Are your shoes new?
Bist du nicht besorgt?	Aren't you anxious?
Sind Sie nicht nervös?	Aren't you nervous?
Habt ihr keinen Durst?	Aren't you thirsty?
Bitte Tom, das zu tun.	Ask Tom to do this.
Boston verändert sich.	Boston is changing.
Kann mir einer helfen?	Can anyone help me?
Kannst du es aufheben?	Can you pick it up?
Kannst du Noten lesen?	Can you read music?
Könnt ihr Noten lesen?	Can you read music?
Kinder brauchen Liebe.	Children need love.
Kommen Sie ins Zimmer.	Come into the room.
Konnte das Liebe sein?	Could this be love?
Hat Tom da gearbeitet?	Did Tom work there?
Haben alle zugestimmt?	Did everyone agree?
Haben wir Sie geweckt?	Did we wake you up?
Hast du das überprüft?	Did you check this?
Hast du Tom angelogen?	Did you lie to Tom?
Habt ihr Tom ermordet?	Did you murder Tom?
Hast du Wein bestellt?	Did you order wine?
Hast du Tom vergiftet?	Did you poison Tom?
Habt ihr das angefaßt?	Did you touch that?
Schulde ich euch Geld?	Do I owe you money?
Mach, was er dir sagt.	Do as he tells you.
Tut, was er euch sagt.	Do as he tells you.
Fühlst du dich besser?	Do you feel better?
Haben Sie ein Fahrrad?	Do you have a bike?
Hast du ein Testament?	Do you have a will?
Sagt dir Kabuki etwas?	Do you know kabuki?
Magst du gerne Tennis?	Do you like tennis?
Brauchen Sie es jetzt?	Do you need it now?
Möchtest du was essen?	Do you want to eat?
Möchtest du das sehen?	Do you want to see?
Weiß deine Mutter das?	Does your mom know?
Sei nicht so knausrig.	Don't be so stingy.
Werde nicht so wütend!	Don't get so angry.
Geh nicht nach Boston.	Don't go to Boston.
Unterbrich mich nicht.	Don't interrupt me.
Macht euch nichts vor.	Don't kid yourself.
Verpass nicht den Bus.	Don't miss the bus.
Verpass nicht den Bus!	Don't miss the bus.
Sag doch so was nicht!	Don't tell me that.
Danke mir nicht jetzt!	Don't thank me now.
Gehe nicht so schnell.	Don't walk so fast.
Vermisst du Tom nicht?	Don't you miss Tom?
Fahren entspannt mich.	Driving relaxes me.
Selbst Tom wusste das.	Even Tom knew that.
Jeder ist einzigartig.	Everyone is unique.
Jeder hat Tom geliebt.	Everyone loved Tom.
Kämpfen ist doch blöd.	Fighting is stupid.
Das Wichtigste zuerst.	First things first.
Folgt seinem Beispiel.	Follow his example.
Verschwindet von hier.	Get away from here.
Nenn mir ein Beispiel.	Give me an example.
Na los, erschieß mich.	Go ahead, shoot me.
Geh diese Treppe hoch.	Go up these stairs.
Rate, wie alt ich bin.	Guess how old I am.
Iss mit mir zu Mittag!	Have lunch with me.
Haben Sie das gesehen?	Have you seen this?
Hast du es geschweißt?	Have you welded it?
Er kam rechtzeitig an.	He arrived in time.
Er kam wieder hierher.	He came here again.
Er ergriff meine Hand.	He grabbed my hand.
Er hatte einen Unfall.	He had an accident.
Er hat wenige Freunde.	He has few friends.
Er ist ein Tagträumer.	He is a daydreamer.
Er ist kein Gentleman.	He is no gentleman.
Er kennt die Wahrheit.	He knows the truth.
Er lag auf dem Rücken.	He lay on his back.
Er sieht sehr gut aus.	He looks very good.
Er hat alles verloren.	He lost everything.
Er reist liebend gern.	He loves traveling.
Er hat es mir gezeigt.	He showed it to me.
Er hörte auf zu reden.	He stopped talking.
Er hatte Liebeskummer.	He was heartbroken.
Er wiegt siebzig Kilo.	He weighs 70 kilos.
Er ist schon ein Mann.	He's already a man.
Er hat sie nicht alle.	He's not all there.
Er ist klein und dick.	He's short and fat.
Etwas Wasser erhitzen.	Heat up some water.
Hier ist mein Fahrrad.	Here is my bicycle.
Hier, sieh dir das an.	Here, look at this.
Er hatte braunes Haar.	His hair was brown.
Wie kommst du hierher?	How are you coming?
Was denkst du darüber?	How do you like it?
Wie alt ist Tom jetzt?	How old is Tom now?
Wie wäre Ihnen zumute?	How would you feel?
Ich kenne Tom bereits.	I already know Tom.
Tom fehlt mir bereits.	I already miss Tom.
Ich kann höflich sein.	I can be courteous.
Ich konnte nichts tun.	I could do nothing.
Ich trinke nicht viel.	I don't drink much.
Ich habe keine Arbeit.	I don't have a job.
Ich habe keinen Wodka.	I don't have vodka.
Ich lebe nicht allein.	I don't live alone.
Ich brauche kein Auto.	I don't need a car.
Ich brauche kein Geld.	I don't need money.
Ich lese keine Bücher.	I don't read books.
Ich will keinen Wagen.	I don't want a car.
Ich beneide dich sehr.	I envy you so much.
Ich habe einen Freund.	I have a boyfriend.
Ich hab' ein Aquarium.	I have a fish tank.
Ich habe ein Glasauge.	I have a glass eye.
Ich habe blondes Haar.	I have blonde hair.
Ich habe fettige Haut.	I have greasy skin.
Ich habe eins bei mir.	I have one with me.
Ich habe kleine Hände.	I have small hands.
Ich muss das bekommen.	I have to get that.
Ich habe zwei Kameras.	I have two cameras.
Ich habe zwei Vettern.	I have two cousins.
Ich habe zwei Cousins.	I have two cousins.
Ich hoffe, das reicht.	I hope it's enough.
Ich hoffe, das genügt.	I hope it's enough.
Ich kenne Toms Stimme.	I know Tom's voice.
Ich kann es auswendig.	I know it by heart.
Ich kenne das Problem.	I know the problem.
Ich kenne diese Sitte.	I know this custom.
Ich weiß, was ich mag.	I know what I like.
Ich weiß, was du tust.	I know what you do.
Ich weiß, wer du bist.	I know who you are.
Ich kenne euren Vater.	I know your father.
Ich kenne Ihren Vater.	I know your father.
Ich mag Preiselbeeren.	I like cranberries.
Ich mag deine Familie.	I like your family.
Ich lebe auf dem Mond.	I live on the moon.
Ich liebe Tom so sehr.	I love Tom so much.
Ich liebe Linsensuppe.	I love lentil soup.
Ich liebe Sommerregen.	I love summer rain.
Ich liebe Videospiele.	I love video games.
Ich brauche Toms Geld.	I need Tom's money.
Ich brauche noch eins.	I need another one.
Ich brauche Handcreme.	I need hand lotion.
Ich brauche euren Rat.	I need your advice.
Ich brauchte das Geld.	I needed the money.
Ich hatte nie Zweifel.	I never had doubts.
Ich trage oft Schwarz.	I often wear black.
Ich trinke nur Wasser.	I only drink water.
Ich öffnete die Türen.	I opened the doors.
Ich pflügte den Acker.	I plowed the field.
Mir ging das Geld aus.	I ran out of money.
Ich liebe Katzen sehr.	I really love cats.
Ich will das wirklich.	I really want that.
Ich sah Tom und Maria.	I saw Tom and Mary.
Ich sah es Tom machen.	I saw Tom doing it.
Ich sah ihn weglaufen.	I saw him run away.
Das sollte ich wissen.	I should know that.
Ich sollte mehr lesen.	I should read more.
Ich sollte Tom danken.	I should thank Tom.
Ich finde mich hübsch.	I think I'm pretty.
Ich nahm den Tag frei.	I took the day off.
Das habe ich versucht.	I tried to do that.
Ich lud den Wagen aus.	I unloaded the car.
Ich war mal ein Bulle.	I used to be a cop.
Früher hasste ich Tom.	I used to hate Tom.
Ich will einen Freund.	I want a boyfriend.
Ich möchte ein grünes.	I want a green one.
Ich will einen Kaffee.	I want some coffee.
Ich will diese Kamera.	I want this camera.
Ich möchte hier essen.	I want to eat here.
Ich möchte Tom finden.	I want to find Tom.
Ich will Ihnen helfen.	I want to help you.
Ich möchte Tom küssen.	I want to kiss Tom.
Ich möchte mehr sehen.	I want to see more.
Ich wollte nein sagen.	I wanted to say no.
Ich war auf der Party.	I was at the party.
Das habe ich erwartet!	I was expecting it!
Ich war in Australien.	I was in Australia.
