سلام۔	Hi.
کیونکہ میں تھکا ہوا تھا، میں سونے چلا گیا۔	Since I was tired, I went to bed.
ہاتھی ایشیا اور افریقہ میں پائے جاتے ہیں۔	Elephants live in Asia and Africa.
کیا تم مجھے بتا سکتے ہو کہ یہاں کیا ہوا؟	Can you tell me what happened here?
میرے دادا ابو کو کتابیں پڑھنے کا شوق ہے۔	My grandfather likes reading books.
میرے نانا ابو کو کتابیں پڑھنے کا شوق ہے۔	My grandfather likes reading books.
تمھیں اتنی جلدی جانے کی ضرورت نہیں ہے۔	You don't need to go in such a hurry.
بجھے نہیں پتہ کہ میں کب واپس آئو گا۔	I don't know exactly when I'll be back.
ہمارے ملک میں سمندری اشیائیں بہت ہے۔	Our country is rich in marine products.
ان کتابوں کی ہمیشہ بہت مانگ رہتی ہے۔	Those books are always in great demand.
پہلے مجھے لگا کہ وہ آپ کا بھائی ہے۔	At first, I thought he was your brother.
طالب علموں کی عمر ۱۸ سے ۲۵ سال ہیں۔	The students range in age from 18 to 25.
آپ اپنی سیٹ تھوڑی اوپر کر سکتے ہے؟	Could you put your seat back up a little?
تم نے کبھی سنیما میں چیخ ماری ہے؟	Have you ever screamed in a movie theater?
آپ نے کبھی سنیما میں چیخ ماری ہے؟	Have you ever screamed in a movie theater?
کہنے میں اور کرنے میں بڑا فرق ہے۔	Saying and doing are two different things.
چھوٹے بچے زیادہ الفاظ نہیں جانتے۔	Very young children don't know many words.
مجھ سے یہ ٹھنڈ اور زیادہ برداشت نہیں ہو رہی۔	I can't stand this cold anymore.
اس نے اسے ریادہ ورزش کرنے کا مشورہ دیا۔	She advised him to get more exercise.
میں کچھ ٹیلی فون کالیں کرنا چاہتا تھا۔	I wanted to make some telephone calls.
میں کچھ ٹیلی فون کالیں کرنا چاہتی تھی۔	I wanted to make some telephone calls.
اس نے بزرگ کی سڑک پاڑ کرنے میں مدد کی۔	She helped the old man cross the road.
تم پاگل تھے جو اکیلے کرنے چلے گئے تھے۔	You are mad to try to do it all alone.
تم بلکل اپنے بڑے بھائی کی طرح لگتے ہو۔	You look just like your older brother.
پہلے مجھے لگا کہ وہ تمھارا بھائی ہے۔	At first, I thought he was your brother.
میرا آج کچھ کھانے کا دل نہیں کر رہا۔	I don't feel like eating anything today.
بولنے میں اور کرنے میں بڑا فرق ہے۔	Saying and doing are two different things.
میں نے خبر سن کے سکھ کا سانس لیا۔	I felt very relieved when I heard the news.
وہ اس نوکری کے لئیے ابھی بھی کافی چھوٹا ہے۔	He is still too young for the job.
میں پارک سٹریٹ پہ ایک ریستوران کا مالک ہوں۔	I own a restaurant on Park Street.
بچپن میں مجھے کتابیں پڑھنے کا بہت شوق تھا۔	I loved reading when I was a child.
بھیڑیے عام طور پر لوگوں پہ حملہ نہیں کرتے۔	Wolves don't usually attack people.
تمہیں پتہ ہے کی لغت استعمال کیسے کرتے ہے؟	Do you know how to use a dictionary?
میں تمھارے دانتوں کے کچھ ایکس -رے لوں گا۔	I'll take some X-rays of your teeth.
انہوں نے دیکھا کہ بیرا جلدی سے آرہا ہے۔	They saw the waiter coming in a hurry.
آپ بلکل اپنے بڑے بھائی کی طرح لگتے ہیں۔	You look just like your older brother.
میں اپنی زندگی ایسے نہیں گزارنا چاہتا۔	I don't want to live my life like this.
میں اس کے ساتھ اتوار کو ٹینس کھیلو گا۔	I would play tennis with him on Sunday.
ڈاکٹر نے وقت پہ آ کے اس کی جان بچا لی۔	The doctor arrived in time to save her.
دروازے پہ زور کی دستک نے اسے جگا دیا۔	A loud knocking at the door woke him up.
اس وقت دفتر میں کوئی نہیں ہے۔	At the moment, there isn't anyone in the office.
دور کے ڈھول سہانے۔	The grass is always greener on the other side of the fence.
ٹام جانتا تھا کہ مریم نے جون کو دھمکی دی ہے۔	Tom knew Mary had threatened John.
میں اپنی کچھ کتابیں پڑھنے کے لئیے لایا ہوں۔	I brought some of my books to read.
میں اپنی کچھ کتابیں پڑھنے کے لئیے لائی ہوں۔	I brought some of my books to read.
ٹام نے مریم سے پوچھا کہ وہ کیوں ہنس رہی ہے۔	Tom asked Mary why she was smiling.
بہت کم لوگ ۱۰۰ سال کی عمر تک زندہ رہتے ہے۔	Few people live to be 100 years old.
۱۰۰ سال کی عمر نک بہت کم لوگ زندہ رہتے ہے۔	Few people live to be 100 years old.
وہ سونے چلا گیا ہے کیونکہ وہ تھکا ہوا تھا.	He went to bed because he was tired.
اس نے ابھی تک میرے خط کا جواب نہیں دیا۔	He still hasn't responded to my letter.
خرگوش کے کان لمبے اور دم چھوٹی ہوتی ہے۔	Rabbits have long ears and short tails.
وہ میری زندگی کے سب سے غمگین لمحے تھے۔	Those were the saddest hours of my life.
تم نکلو۔ میں تھوڑی دیر میں نکلتا ہوں۔	Go on ahead. I'll catch up with you soon.
اس دن چودھویں کا چاند دیکھا گیا تھا۔	It was a full moon that was seen that day.
تم تین سے چار دن تک بستر پر رہو۔	You should stay in bed for three or four days.
میرا خیال ہے کہ ہم نہ ہی کوشش کرے تو بہتر ہے۔	I think it's better not to try it.
میں تمہیں دیادہ تفصیل بتا کے بور نہیں کرو گا۔	I won't bore you with the details.
میں تمہیں دیادہ تفصیل بتا کے بور نہیں کرو گی۔	I won't bore you with the details.
ہم سارے کمرے کی صفائی کرنے میں مصروف تھے۔	All of us were busy cleaning the room.
انہوں نے بزرگ کی سڑک پاڑ کرنے میں مدد کی۔	She helped the old man cross the road.
وہ اس وقت ایک اجلاس میں شرکت کر رہے ہیں۔	They are currently attending a meeting.
وہ کسی بھی گروہ کی ہمایت نہیں کرتے۔	They did not support one group or the other.
مجلس پورے چار بجے شروع ہو جائے گی۔	The meeting will start at four o'clock sharp.
تمہیں اس کو صیغہ راز میں رکھنا ہوگا، ٹھیک ہے؟	You've got to keep this secret, OK?
مجھے کافی زیادہ پاسورڈس یاد دکھنے پڑتے ہے۔	I have a lot of passwords to remember.
میں آج جو کچھ ہوں، اپنی ماں کی وجہ سے ہوں۔	My mother has made me what I am today.
اس کی خاموشی نے لڑکی کو ناراض کر دیا تھا۔	It was his silence that made her angry.
ٹام نے دو ہفتوں سے اپنے بال نہیں دھوئے۔	Tom hasn't washed his hair for two weeks.
وہ مجھ سے تین گنا زیادہ پیسے کماتا ہے۔	He makes three times more money than I do.
اس کی نئی کتاب اگلے مہینے آ رہی ہے۔	His new book is going to come out next month.
میٹنگ پورے چار بجے شروع ہو جائے گی۔	The meeting will start at four o'clock sharp.
وہ صبح جلدی اٹھنے کا عادی ہے۔	He's accustomed to getting up early in the morning.
میں نے دو گھنٹے ٹی وِی دیکھ کے کاافی مزہ کیا۔	I enjoyed watching TV for two hours.
اس نے اپنا استعفی جمع کرانے کا فیصلہ کر لیا۔	He decided to submit his resignation.
وہ تھکا ہوا تھا مگر وہ پھر بھی کام کرتا رہا۔	He was tired, but he kept on working.
میرے دوست کو یاد تھا کہ کس راستے پہ جانا ہے۔	My friend remembered which way to go.
اس نے اپنا ہوم ورک ایک گھنٹے میں ختم کر لیا۔	She finished her homework in an hour.
اسے یاد ہے کہ وہ اسے ہر ہفتہ خط لکھتا تھا۔	He remembers writing to her every week.
میرے پاس ایک پیغام ہے جو تم نے پہنچانا ہے۔	I have a message I want you to deliver.
وہ تقریباّ میری بڑی بہن کی عمر کی ہے۔	She's about the same age as my older sister.
کیا کہ رہے ہو؟ دوبارہ کہ سکتے ہو؟	What did you say? Could you please say it again?
حب وہ کمرے میں داخل ہوئی تو وہ کھڑا ہو گیا۔	When she entered the room, he stood up.
شہزادی نے بہت زیادہ میک اپ لگایا ہوا تھا۔	The princess was wearing too much makeup.
کوئی بھی طلبہ سکول کے لئیے لیٹ نہیں تھا۔	None of the students were late for school.
وہ سوپر مارکیٹ ہر تین دن بعد جاتی ہے۔	She goes to the supermarket every three days.
کھانے سے پہلے ہمیشہ ہاتھ دھویا کرو۔	You should always wash your hands before meals.
لیکچر کے بات تھورے سے لوگوں نے تالیاں بجائی۔	A few people clapped after his lecture.
مریم نے کھانے پکانے میں اپنی ماں کی مدد کی۔	Mary helped her mother with the cooking.
پیسے ادھار لینا میرے اصولوں کے خلاف ہے۔	It is against my principles to borrow money.
میں وہی پہ تھا جب بم دھماکہ ہوا تھا۔	When the bomb exploded, I happened to be there.
اس نے مجھے ڈھیڑ ساری خوبصورت تصویریں دکھائیں۔	He showed me a lot of beautiful photos.
پلیز آجائو۔ میں تم سے ملنے کے لیئے بیتاب ہوں۔	Please come. I really want to meet you.
حالانکہ وہ ذخمی تھے مگر وہ پھر بھی لڑتے رہے۔	Though wounded, they continued to fight.
وہ پانچ دن کے لئے اسکول سے غیر حاصر تھی۔	She's been absent from school for five days.
تم میری زندگی کے سب سے زیادہ اہم شخص ہو۔	You're the most important person in my life.
تم نے تو فیصلہ نہیں کر لیا نہ جانے کا؟	You've already decided not to go, haven't you?
آپ نے تو فیصلہ نہیں کر لیا نہ جانے کا؟	You've already decided not to go, haven't you?
ہمارا دفتر عمارت کے شمال جانب ہے۔	Our office is on the northern side of the building.
مریم نے کھانے پکانے میں اپنی والدہ کی مدد کی۔	Mary helped her mother with the cooking.
میں نے اس گیت کا فرانسیسی ورژن سنا ہوا ہے۔	I've heard the French version of this song.
اس کی مشکل کا کوئی حل نظر نہیں آ رہا تھا۔	There seemed to be no answer to the problem.
میرے ابو کو فوت ہوئے پانچ سال ہو گئے ہے۔	Five years have gone by since my father died.
اس نے اپنی بیٹی کو پھل اور سبزیاں بھیجی۔	He sent fruit and vegetables to his daughter.
دس سال ہو گئے ہیں اسے امریکہ گئے ہوئے۔	Ten years have passed since he went to America.
ہسپتال کی تعمیر بس ختم ہونے والی ہے۔	The construction of the hospital is about to end.
تمہارے خیال میں ہمیں کتنا انتظار کرنا پڑے گا؟	How long do you think we'll have to wait?
میرے والد کو فوت ہوئے پانچ سال ہو گئے ہے۔	Five years have gone by since my father died.
میرے ابو کو گزرے ہوئے پانچ سال ہو گئے ہے۔	Five years have gone by since my father died.
میں بہار کی چھٹیوں میں کام پہ جا رہا ہوں۔	I'm going to work during the spring vacation.
امریکہ میں اسکول کی بسوں کا رنگ پیلا ہیں	In the United States, school buses are yellow.
جو لڑکی پیانو بجا رہی ہے وہ میری بہن ہے۔	The girl who's playing the piano is my sister.
ہم نے کل رات ٹی وی پر بیس بال گیم دیکھی۔	We watched the baseball game on TV last night.
ٹام اور مریم کے بیج میں کچھ چل رہا ہے۔	There's something going on between Tom and Mary.
یہ کہانی دوسرے سے زیادو مزیدار ہے۔	This story is by far more interesting than that one.
وہ ہر روز چیزیں خریدنے کے لئے بازار جاتی ہے۔	She goes to market every day to buy things.
میرے والد کو گزرے ہوئے پانچ سال ہو گئے ہے۔	Five years have gone by since my father died.
مجھے یقین ہے کہ میں ٹینس میچ جیت جائوں گا۔	I'm confident that I'll win the tennis match.
اس کی ایک گاڑی نیلی ہے اور باقی لال ہیں۔	One of her cars is blue and the others are red.
ہماری زندگیاں بغیر بجلی کے کیسی ہونگی؟	What would our lives be like without electricity?
میں نے ٹام کو بتایا میرا چلنے کا موڈ نہیں ہے	I told Tom I didn't feel like taking a walk.
وہ اپنی بڑی بہن کی طرح اتنی خوبصورت نہیں ہے۔	She is not as beautiful as her older sister.
وہ غلط قسم کے بچوں کے ساتھ اٹھتا بیٹھتا ہے۔	He hangs around with the wrong group of kids.
انہوں نے اپنی بیٹی کو پھل اور سبزیاں بھیجی۔	He sent fruit and vegetables to his daughter.
کیا تمہیں پورا یقین ہے کہ ٹام یہ کر لے گا؟	Are you absolutely sure that Tom will do that?
اس کے ناول، زیادہ تر، کافی بورنگ ہوتے ہے۔	His novels are, for the most part, very boring.
کیا آپ مجھے بتائیں گے کہ میں اب کیا کروں؟	Would you please tell me what I should do next?
اتنی گرمی تھی کہ میں کھڑکی کھول کے سویا۔	It was so hot that I slept with the window open.
بزرگ عورت بڑی مشکل سے سیڑھیاں چڑھی تھی۔	The old woman climbed the stairs with difficulty.
تم کیا کبھی ملک سے باہر جاتے ہو چھٹیاں منانے؟	Do you sometimes go abroad on your holidays?
میں دس سال میں پہلی دفعہ جاپان سے باہر نکلا۔	I left Japan for the first time in ten years.
ہم نے اپنے نئے ہمسائیوں کو چائے پہ دعوت دی۔	We invited our new neighbors over for a drink.
بیس بال کھیل بارش کی وجہ سے ملتوی کر دیا گیا۔	The baseball game was called off due to rain.
کیا آپ مجھے بتا سکتے ہے کہ میں اب کیا کروں؟	Would you please tell me what I should do next?
کاش تم نے وہ کہانی میری امی کو نہ بتائی ہوتی۔	I wish you hadn't told that story to my mother.
کاش تم نے وہ کہانی میری ماں کو نہ بتائی ہوتی۔	I wish you hadn't told that story to my mother.
اس کی ایک گاڑی نیلی ہے اور باقی ساری لال ہیں۔	One of her cars is blue and the others are red.
کیا آپ مجھے بتائیں گے کہ میں اب آگے کیا کروں؟	Would you please tell me what I should do next?
حادثہ میں زخمی ہونے کے بعد، وہ چل نہیں سکتا۔	Being injured in an accident, he could not walk.
اس کی فطرت میں دوسروں کی برائی کرنا نہیں ہے۔	It was not in his nature to speak ill of others.
ان کی فطرت میں دوسروں کی برائی کرنا نہیں ہے۔	It was not in his nature to speak ill of others.
کمیٹی میں تین مرد اور سات عورتیں ہیں۔	The committee is composed of three men and seven women.
بلے کے ساتھ ساتھ کل گیندیں بھی چوری ہو گئی۔	The bat was stolen yesterday, along with the balls.
ہمیں دو کپ چائے اور ایک کپ کافی لا دینا۔	Please bring us two cups of tea and one cup of coffee.
ٹام اپنی رائے کو اظہار کرنے میں کتراتا تھا۔	Tom never felt comfortable expressing his own opinion.
تم جیسے مرضی کرو، اس کا نتیجہ ایک ہی نکلے گا۔	No matter how you do it, the results will be the same.
وہ پچھلے پانچ دنوں سے ہوٹل میں قیام پزیر ہے۔	He's been staying at that hotel for the past five days.
میرے بس سٹاپ پہنچنے تک آخری بس نکل چکی تھی۔	The last bus had already gone when I got to the bus stop.
سردی اس سال کافی لمبی ہو گئی ہے۔	Winter seems to be sticking around a lot longer than usual this year.
مجھے امتہان سے پہلے ایک انٹرویو دینا پڑے گا۔	I have to have an interview before taking the examination.
تم کچھ مہینوں میں بہترین انگریزی بول سکو گے۔	You will be able to speak fluent English in another few months.
