#NAME?	#NAME؟
(1) (Japanese) maple	(1) (جاپانی) میپل
to burn; to kindle; to build a fire	جلانے کے لئے جلانا آگ بنانے کے لئے
to burn; to scorch; to singe; to char	جلانے کے لئے جلنا گانا چار کرنا
to bury; to fill up; to fill (a seat; a vacant position)	دفن کرنا؛ بھرنے کے لئے؛ بھرنا (ایک نشست؛ خالی جگہ)
to buy	خریدنے کے لیے
to buy insurance	انشورنس خریدنے کے لئے
to call	کال کرنا
to call (one's name); to invite	پکارنا (کسی کا نام) دعوت دینے کے لیے
to call (respect)	بلانا (احترام)
to call out to; to accost; to address (crowd); to appeal	کو پکارنا اکسسٹ کرنا خطاب کرنا (ہجوم) اپیل کرنا
to call out; to invite	پکارنا دعوت دینے کے لیے
to calm down	پرسکون کرنے کے لئے
to calm down; to settle down	پرسکون کرنے کے لئے؛ بسنے کے لیے
to cancel	منسوخ کرنے کے لئے
to care for / be kind to	دیکھ بھال کرنا / مہربان ہونا
to carry	لے جانے کے لیے
to carry from one place to another; transport	ایک جگہ سے دوسری جگہ لے جانے کے لیے؛ نقل و حمل
to carry off; to run away with; to kidnap; to abduct	لے جانے کے لئے کے ساتھ بھاگنا اغوا کرنا؛ اغوا کرنا
to carry on (e.g. in ceremony); to run a business	جاری رکھنا (مثال کے طور پر تقریب میں)؛ کاروبار چلانے کے لیے
to carry through; to achieve; to complete	کے ذریعے لے جانے کے لئے؛ حاصل کرنے کے لئے؛ مکمل کرنے کے لئے
to carry; to hold	لے جانے کے لیے منعقد کرنے کے لئے
to carve; to engrave; to sculpture; to chisel	تراشنا کندہ کرنا؛ مجسمہ بنانے کے لیے؛ چھینی کرنے کے لئے
to catch a cold	سردی پکڑنے کے لیے
to catch fire; (electricity) comes on	آگ پکڑنے کے لئے؛ (بجلی) آتی ہے۔
to cause	کا سبب بننا
to cause; to arise; to be generated	پیدا کرنا اٹھنا؛ پیدا کرنے کے لئے
to cease; to abolish; to resign; to give up	ختم کرنا؛ ختم کرنا؛ استعفیٰ دینا؛ ترک کرنا
to challenge; to call somebody to halt	چیلنج کرنا؛ کسی کو رکنے کے لیے بلانا
to change	تبدیل کرنے کے لئے
to change between buses or trains	بسوں یا ٹرینوں کے درمیان تبدیل کرنا
to change clothes	کپڑے تبدیل کرنے کے لیے
to change into; to convert into; to transform; to be reduced; to influence; to improve (someone)	میں تبدیل کرنے کے لئے؛ میں تبدیل کرنا؛ تبدیل کرنے کے لئے؛ کم کیا جائے؛ اثر انداز کرنا؛ (کسی کو) بہتر بنانا
to change; to alter; to reform; to revise	تبدیل کرنے کے لئے؛ تبدیل کرنے کے لئے؛ اصلاح کرنا نظر ثانی کرنے کے لئے
to change; to be of use; to reach to	تبدیل کرنے کے لئے؛ استعمال کرنے کے لئے؛ تک پہنچنے کے لئے
to chase or run after someone; to run down; to pursue	کسی کا پیچھا کرنا یا بھاگنا؛ نیچے بھاگنا پیچھا کرنے کے لئے
to chase; to run after	پیچھا کرنا کے پیچھے بھاگنا
to cherish	پالنے کے لیے
to cherish / adore	پیار کرنا / پسند کرنا
to chew; to bite (at); to gnaw; to nibble; to munch; to crunch; to have a smattering of	چبانا کاٹنا (پر)؛ کاٹنا نبل کرنا چبانا کچلنا کی ایک smattering ہے
to choose	منتخب کرنے کے لئے
to choose; to select	منتخب کرنے کے لئے؛ منتخب کرنے کے لئے
to clean	صاف کرنے کے لئے
to clean; to sweep	صاف کرنے کے لئے؛ جھاڑو
to clear (e.g. weather); to become transparent	صاف کرنا (مثال کے طور پر موسم)؛ شفاف بننے کے لئے
to clear up (weather)	صاف کرنا (موسم)
to climb	چڑھنے کے لئے
to close	بند کرنا
to close (e.g. book; eyes); to shut	بند کرنا (مثال کے طور پر کتاب؛ آنکھیں)؛ بند کرنا
to close (intr., closes)	بند کرنا (intr.، بند ہوتا ہے)
to close (something)	بند کرنا (کچھ)
to close (tr.)	بند کرنا (tr.)
to close something	کچھ بند کرنے کے لئے
to close the door	دروازہ بند کرنے کے لیے
to close; to be closed	بند کرنا؛ بند ہونا
to collapse	گرنا
to collapse; to crumble	گرنا؛ ریزہ ریزہ کرنا
to collect	جمع کرنے کے لئے
to collect something	کچھ جمع کرنے کے لئے
to collect; to gather; to add; to put aside	جمع کرنے کے لئے؛ جمع کرنا؛ شامل کرنے کے لئے؛ ایک طرف رکھنا
to collect; to gather; to save	جمع کرنے کے لئے؛ جمع کرنا؛ بچانے کے لیے
to comb one's hair	بالوں میں کنگھی کرنا
to combine; to join; to tie on; to attach with a knot	یکجا کرنا؛ شامل ہونا؛ باندھنا؛ ایک گرہ کے ساتھ منسلک کرنے کے لئے
to come	آنے کے لیے
to come (respect)	آنا (احترام)
to come from	سے آنے کے لئے
to come in contact with; to connect; to attend; to receive	کے ساتھ رابطے میں آنے کے لئے؛ منسلک کرنے کے لئے؛ شرکت کرنے کے لئے؛ وصول کرنا
to come into existence; to be made	وجود میں آنا؛ بنایا جائے
to come off; to be taken off; to be removed	آنا اتار دیا جائے ہٹا دیا جائے
to come out; to fall out; to be omitted	باہر آنا گرنا چھوڑ دیا جائے
to come to a halt	رک جانا
to come to pick up (someone)	لینے آنا (کسی کو)
to come true (wish)	سچ ہونا (خواہش)
to come untied; to come apart	کھول کر آنا الگ ہونے کے لیے
to come; to arrive	آنا پہنچنے کے لیے
to comfort	تسلی دینے کے لیے
to comfort; to console	آرام کرنے کے لئے؛ تسلی دینے کے لیے
to command; to appoint	حکم دینا مقرر کرنے کے لئے
to commute	سفر کرنا
to compare	موازنہ کرنا
to compare; to liken; to speak figuratively; to illustrate; to use a simile	موازنہ کرنا؛ تشبیہ دینا علامتی بات کرنا؛ وضاحت کرنے کے لئے؛ ایک تشبیہ استعمال کرنے کے لیے
to compensate for	کی تلافی کرنے کے لئے
to complain	شکایت کرنا
to concern oneself in; to have to do with; to affect; to influence; to stick to (opinions)	اپنی فکر کرنا کے ساتھ کیا کرنا ہے متاثر کرنا؛ اثر انداز کرنا؛ (رائے) پر قائم رہنا
to concern; to be related	فکر کرنا متعلقہ ہونا
to condemn; to blame; to criticize	مذمت کرنا؛ الزام لگانا تنقید کرنا
to congeal; to freeze	جمع کرنا منجمد کرنا
to congratulate; to celebrate	مبارکباد دینا؛ منانے کے لیے
to connect	منسلک کرنے کے لئے
to consent	رضامندی کے لیے
to consider	غور کرنا
to consult	مشورہ کرنا
to consult (humble)	مشورہ کرنا (عاجزی سے)
to contact	رابطہ کرنے کے لیے
to contact (humble)	رابطہ کرنا (عاجزی سے)
to contact (respect)	رابطہ کرنا (احترام)
to continue	جاری رکھنے کے لیے
to convey (message)	پہنچانا (پیغام)
to convey / tell	پہنچانا / بتانا
to cook	کھانا پکانا
to cool oneself; to cool off; to enjoy evening cool	خود کو ٹھنڈا کرنا؛ ٹھنڈا کرنا؛ شام کی ٹھنڈک سے لطف اندوز ہونے کے لیے
to cool; to dampen; to let cool	ٹھنڈا کرنا؛ گیلا کرنا ٹھنڈا کرنے کے لئے
to cool; to refrigerate	ٹھنڈا کرنا؛ ٹھنڈا کرنے کے لئے
to copy / photograph	کاپی / تصویر
to copy or photograph	کاپی کرنا یا تصویر بنانا
to correct; to fix	درست کرنا؛ ٹھیک کرنے کے لیے
to cost an arm and a leg	ایک بازو اور ایک ٹانگ کی قیمت لگانا
to cough	کھانسی کرنا
to count	شمار کرنا
to cover (with something)	ڈھانپنا (کسی چیز سے)
to cover; to hide; to conceal; to wrap; to disguise	ڈھانپنا؛ چھپانے کے لئے چھپانا؛ لپیٹنا؛ بھیس بدلنا
to creep; to crawl	رینگنا رینگنا
to cross	پار کرنا
to cross (e.g. arms); to traverse	پار کرنا (مثال کے طور پر ہتھیار)؛ عبور کرنا
to cross; to intersect; to associate with; to mingle with; to interest; to join	پار کرنا؛ ایک دوسرے کو کاٹنا کے ساتھ منسلک کرنے کے لئے؛ کے ساتھ گھل مل جانا دلچسپی شامل ہونے کے لیے
to cross; to pass; to tide over	پار کرنا؛ گزرنا جوار کے لیے
to cry	رونا
to cure; to heal; to fix; to correct; to repair	علاج کرنے کے لئے؛ شفا دینے کے لئے؛ ٹھیک کرنے کے لئے؛ درست کرنا؛ مرمت کرنے کے لئے
to curse; to feel bitter	لعنت کرنا؛ تلخ محسوس کرنے کے لئے
to cut	کاٹنا
to cut (hair); to mow (grass); to harvest	(بال) کاٹنا؛ گھاس کاٹنا؛ فصل کاٹنا
to cut classes	کلاسوں کو کاٹنے کے لئے
to cut down little by little; to take a percentage	آہستہ آہستہ کاٹنا فیصد لینے کے لیے
to cut in; to thrust oneself into; to wedge oneself in; to muscle in on; to interrupt; to disturb	کاٹنا اپنے آپ کو اندر ڈالنا اپنے آپ کو اندر ڈالنا پر پٹھوں میں مداخلت کرنا پریشان کرنا
to dance	رقص کرنا
to dawn; to become daylight	طلوع فجر دن کی روشنی بننا
to deceive	دھوکہ دینا
to deceive; to falsify; to misrepresent	دھوکہ دینا جھوٹ بولنا غلط بیانی کرنا
to decide	فیصلہ کرنا
to decide (respect)	فیصلہ کرنا (احترام)
to decide on (an item)	فیصلہ کرنا (ایک چیز)
to decorate	سجانے کے لئے
to decrease (in size or number); to diminish; to abate	کم کرنا (سائز یا تعداد میں)؛ کم کرنا کم کرنا
to deepen; to heighten; to intensify	گہرا کرنا؛ بلند کرنا؛ تیز کرنے کے لئے
to defend (against); to protect; to prevent	دفاع کرنا (کے خلاف)؛ حفاظت کرنا؛ روکنے کے لئے
to defy	انکار کرنا
to deify; to enshrine	دیوتا بنانا سجانا
to deliver (humble)	پہنچانا (عاجزی)
to deliver (respect)	پہنچانا (احترام)
to denote; to show; to point out; to indicate	اشارہ کرنا؛ دکھانے کے لیے اشارہ کرنا؛ اشارہ کرنے کے لئے
to deny; to negate; to contradict	انکار کرنا نفی کرنا تضاد کرنا
to depart	روانہ ہونا
to depart (on a plane; train; etc.)	روانہ ہونا (ہوائی جہاز پر؛ ٹرین؛ وغیرہ)
to depart; to set out; to start; to be going out	روانہ ہونا باہر مقرر کرنے کے لئے شروع کرنے کے لئے باہر جانے کے لیے
to deposit; to pay in	جمع کرنے کے لئے؛ میں ادائیگی کرنے کے لئے
to deprecate oneself and praise the listener	اپنے آپ کو کم کرنا اور سننے والے کی تعریف کرنا
to desire; to wish for; to see; to command (a view of)	خواہش کرنا؛ خواہش کرنا دیکھنے کے لئے حکم دینا (ایک نظارہ)
to desire; to wish; to request	خواہش کرنا؛ خواہش کرنا درخواست کرنے کے لئے
to destroy; to pull down; to make change (money)	تباہ کرنا؛ نیچے کھینچنا تبدیلی کرنا (پیسہ)
to detain; to check; to restrain	حراست میں لینا؛ چیک کرنے کے لئے؛ روکنا
to die	مرنا
to differ	فرق کرنا
to differ; to vary; to disagree	اختلاف کرنا؛ مختلف ہونا؛ اختلاف کرنا
to dig	کھودنے کے لئے
to dig; to excavate	کھودنا؛ کھدائی کرنے کے لئے
to dilute; to water down	پتلا کرنا؛ پانی نیچے کرنے کے لئے
to dip in; to soak	میں ڈوبنا؛ لینا
to dirty	گندا کرنا
to disappear	غائب ہونا
to disappear; to get lost	غائب ہونا؛ کھو جانے کے لیے
to discover	دریافت کرنے کے لئے
to discuss	بحث کرنے کے لئے
to discuss; to talk together	بحث کرنا ایک ساتھ بات کرنے کے لئے
to disgrace; to dishonour	رسوا کرنا بے عزت کرنا
to dispute; to argue; to be at variance; to compete	تنازعہ کرنا؛ بحث کرنا مختلف ہونا؛ مقابلہ کرنا
to dissolve (paint)	تحلیل کرنا (پینٹ)
to distribute; to deliver	تقسیم کرنا؛ فراہم کرنے کے لئے
to disturb; to prevent	پریشان کرنا؛ روکنے کے لئے
to divide; to cut; to break; to halve	تقسیم کرنا؛ کاٹنا؛ توڑنا آدھا کرنا
to divide; to separate	تقسیم کرنا؛ الگ کرنے کے لئے
to do	کرنا
to do (humble)	کرنا (عاجزی)
to do (respect)	کرنا (احترام)
to do laundry	کپڑے دھونے کے لیے
to do one's best	بہترین کام کرنے کے لیے
to do one's best; to try hard	بہترین کام کرنا سخت کوشش کرنے کے لئے
to do physical exercises	جسمانی مشقیں کرنا
to do the laundry	کپڑے دھونے کے لیے
to do; to have sexual intercourse; to kill; to give (to inferiors  animals  etc.); to dispatch (a letter	کرنا جنسی تعلق کرنا؛ مارنے کے لیے دینا (کمتر جانوروں وغیرہ کو)؛ بھیجنا (ایک خط
to do; to perform	کرنا انجام دینے کے لئے
to dote on	پر توجہ دینا
to doubt; to distrust; to be suspicious of; to suspect	شک کرنا عدم اعتماد کرنا کا مشکوک ہونا شک کرنا
to drain; to float; to shed (blood; tears); to cruise (e.g. taxi)	نالی کرنا؛ تیرنا؛ بہانا (خون؛ آنسو)؛ سیر کے لیے (جیسے ٹیکسی)
to draw	کھینچنا
to draw back; to sink; to cave in	واپس کھینچنا؛ ڈوبنا؛ غار میں
to draw near; to press	قریب کرنا دبانے کے لیے
to draw the line	لکیر کھینچنے کے لیے
to draw; to paint	کھینچنا پینٹ کرنے کے لئے
to draw; to paint; to sketch; to depict; to describe	کھینچنا پینٹ کرنے کے لئے؛ خاکہ بنانا؛ بیان کرنا؛ بیان کرنے کے لیے
to drink	پینے کے لیے
to drink (respect)	پینا (احترام)
to drink coffee	کافی پینے کے لیے
to drive	گاڑی چلانے کے لیے
to drop	گرانا
to drop (something)	گرانا (کچھ)
to dry	خشک کرنے کے لئے
to dry (clothes; etc.); to desiccate	خشک کرنا (کپڑے؛ وغیرہ)؛ خشک کرنے کے لئے
to each their own	ہر ایک کو ان کے اپنے
to earn / profit	کمانے / منافع کے لئے
to earn income; to labor	آمدنی حاصل کرنے کے لئے؛ محنت کرنے کے لیے
to eat	کھانے کے لیے
to eat/drink (respect)	کھانا پینا (احترام)
to employ; to hire	ملازمت کرنا؛ کرایہ پر لینا
to encourage	حوصلہ افزائی کرنے کے لئے
to end	ختم کرنا
to end; to be finished; to be exhausted; to die; to perish	ختم کرنا ختم ہونا؛ ختم ہونا مرنا فنا ہونا
to enjoy	لطف اندوز کرنے کے لئے
to enjoy oneself	اپنے آپ کو لطف اندوز کرنے کے لئے
to enter	داخل کرنے کے لئے
to enter school or university	اسکول یا یونیورسٹی میں داخل ہونے کے لیے
to enter; to contain	داخل ہونا پر مشتمل کرنے کے لئے
to entrust to another; to leave to	دوسرے کو سونپنا؛ چھوڑنے کے لیے
to envy	حسد کرنا
to erase; to turn off power	مٹانا؛ بجلی بند کرنے کے لیے
to erect; to be erected; to be built	کھڑا کرنا؛ کھڑا ہونا؛ تعمیر کیا جائے
to escape	فرار ہونے کے لیے
to examine (medical)	معائنہ کرنا (طبی)
to exceed	سے تجاوز کرنا
to exceed; to cross over; to cross	سے تجاوز کرنا؛ پار کرنا؛ پار کرنا
to exchange	تبادلہ کرنے کے لئے
to exchange (messages); to dodge; to parry; to avoid; to turn aside	تبادلہ کرنا (پیغامات)؛ چکما کرنا پیری کرنا سے بچنے کے لئے؛ ایک طرف موڑنا
to exchange glances; to postpone; to suspend operations; to refrain from performing an action	نظروں کا تبادلہ کرنا؛ ملتوی کرنا؛ کارروائیوں کو معطل کرنے کے لئے؛ عمل کرنے سے باز رہنا
to exchange; to interchange; to substitute; to replace	تبادلہ کرنا؛ تبادلہ کرنا؛ متبادل کرنا؛ تبدیل کرنے کے لئے
to exercise	ورزش کرنا
to exert; to cause; to exercise	محنت کرنا پیدا کرنا ورزش کرنا
to expand; to swell (out); to get big; to become inflated	توسیع کرنا؛ پھولنا (باہر) بڑا حاصل کرنے کے لئے؛ فلانے کے لیے
to experience	تجربہ کرنے کے لئے
to explain	وضاحت کرنے کے لئے
to explain (humble)	وضاحت کرنا (عاجزی سے)
to explain (respect)	وضاحت کرنا (احترام)
to export	برآمد کرنے کے لئے
to express thanks (humble)	شکریہ کا اظہار کرنا (عاجزی سے)
to express; to show; to reveal	اظہار کرنا؛ دکھانے کے لیے ظاہر کرنے کے لئے
to extend over or into; to straddle	بڑھانا یا اس میں گھومنا
to extract; to omit; to surpass; to draw out; to unplug	نکالنے کے لئے؛ چھوڑنا عبور کرنا نکالنا ان پلگ کرنے کے لیے
to face	سامنا کرنا
to face; to confront; to oppose	سامنا کرنا؛ سامنا کرنا؛ مخالفت کرنا
to fail; to be unsuccessful	ناکام ہونا؛ ناکام ہونا
to fall	گرنا
to fall (rain / snow)	گرنا (بارش/برف)
to fall behind; to be inferior to	پیچھے پڑنا؛ سے کمتر ہونا
to fall down	نیچے گرنا
to fall down; to fall over	گرنا گرنا
to fall or drop	گرنا یا گرنا
to fall; e.g. rain or snow	گرنا جیسے بارش ہو یا برف؟
to fall; to scatter (e.g. blossoms)	گرنا بکھرنا (مثلاً پھول)
to fan; to flap	پنکھا کرنا پھڑپھڑانا
to fasten; to turn off; to detain	جکڑنا؛ بند کرنے کے لئے؛ حراست میں لینا
to fear; to be afraid of	ڈرنا؛ سے ڈرنا
to fear; to have misgivings; to be doubtful; to mistrust	ڈرنا؛ بدگمانیاں ہونا؛ مشکوک ہونا عدم اعتماد کرنا
to feed (animals)	کھانا کھلانا (جانوروں)
to feel relieved	راحت محسوس کرنا
to feel sick	بیمار محسوس کرنا
to feel; to sense	محسوس کرنا؛ احساس کرنا
to feel; to sense; to experience	محسوس کرنا؛ احساس کرنا تجربہ کرنے کے لئے
to fight; to battle; to combat	لڑنا جنگ کرنا؛ لڑنے کے لئے
to find	تلاش کرنے کے لئے
to finish	ختم کرنے کے لئے
to fish	مچھلی کو
to fit; to suit	فٹ کرنے کے لئے؛ کے مطابق کرنے کے لئے
to fix / repair	ٹھیک کرنا / مرمت کرنا
to fix; to repair	ٹھیک کرنا؛ مرمت کرنے کے لئے
to flee	بھاگنا
to float	تیرنا
to float; to become merry; to become loose	تیرنا؛ خوش ہونا؛ ڈھیلا ہو جانا
to float; to express; to look (sad; glad)	تیرنا؛ اظہار کرنا؛ دیکھنا (اداس؛ خوش)
to float; to rise to surface; to come to mind	تیرنا؛ سطح پر اٹھنا؛ ذہن میں آنا
to flood; to overflow; to brim over	سیلاب بہہ جانا؛ کنارہ کرنا
to flourish; to thrive; to be popular; to come into fashion	پھلنا پھولنا؛ ترقی کی منازل طے کرنا مقبول ہونا؛ فیشن میں آنے کے لئے
to flow	بہنا
to flutter with excitement	جوش کے ساتھ پھڑپھڑانا
to fly	اڑنا
to fly in the sky	آسمان میں اڑنا
to fly; to hop	اڑنا ہاپ کرنا
to fold	جوڑنا
to fold (clothes)	تہہ کرنا (کپڑے)
to fold / snap	جوڑنا / چھیننا
to forbid; to suppress	منع کرنا؛ دبانے کے لیے
to force	مجبور کرنا
to force; to compel; to coerce	مجبور کرنا؛ مجبور کرنا زبردستی کرنا
to forecast; to predict	پیشن گوئی کرنا؛ پیشن گوئی کرنا
to forget	بھول جانا
to forget; to leave behind	بھول جانا؛ پیچھے چھوڑنے کے لئے
to forgive / permit	معاف کرنا / اجازت دینا
to freeze; to be chilled; to be frozen	منجمد کرنا؛ ٹھنڈا ہونا؛ منجمد ہونا
to freeze; to be frozen over; to congeal	منجمد کرنا؛ پر منجمد ہونا؛ جمع کرنا
to freeze; to congeal	منجمد کرنا؛ جمع کرنا
to furnish; to provide for; to equip; to install	پیش کرنا؛ فراہم کرنے کے لئے؛ لیس کرنا؛ انسٹال کرنے کے لئے
to gain weight	وزن حاصل کرنے کے لئے
to gather	جمع کرنے کے لئے
to get (from somebody)	حاصل کرنا (کسی سے)
to get a divorce	طلاق لینے کے لیے
to get a full-time job (at...)	کل وقتی ملازمت حاصل کرنے کے لیے (پر...)
to get angry	ناراض ہونے کے لئے
to get angry; to be angry	ناراض ہونا؛ ناراض ہونا
to get aquainted with	کے ساتھ واقف کرنے کے لئے
to get between; to be caught in	کے درمیان حاصل کرنے کے لئے؛ میں پکڑا جائے
to get bored	بور ہونے کے لیے
to get crowded	بھیڑ حاصل کرنے کے لئے
to get dark; to come to an end	اندھیرا حاصل کرنے کے لئے؛ ختم ہونے کے لئے
to get depressed	اداس ہونے کے لیے
to get dirty	گندا کرنے کے لئے
to get dirty; to become dirty	گندا ہونا؛ گندا ہو جانا
to get down; to descend	نیچے اترنے کے لیے اترنا
to get drunk; to become intoxicated	نشے میں ہونا؛ نشہ کرنے کے لیے
to get dry	خشک کرنے کے لئے
to get late; to advance; to wear on	دیر ہو جانا؛ آگے بڑھنا؛ پہننے کے لئے
to get lost	کھو جانے کے لیے
to get married	شادی کرنے کے لیے
to get nervous	گھبرانا
to get off	اترنے کے لیے
to get off; to descend	اترنے کے لیے اترنا
to get on; to ride	حاصل کرنے کے لئے؛ سواری کرنا
to get strong; to gain strength	مضبوط حاصل کرنے کے لئے؛ طاقت حاصل کرنے کے لئے
to get tired	تھک جانے کے لیے
to get tired of; to lose interest in; to have enough	تھک جانا؛ میں دلچسپی کھونا؛ کافی ہونا
to get to know	جاننے کے لیے
to get torn; to wear out	پھٹا جانا باہر پہننے کے لئے
to get up	اٹھنے کے لیے
to get used to...	عادت ڈالنے کے لیے...
to get wet	گیلے ہونے کے لیے
to get; to earn; to gain; to have (bear; beget) a child	حاصل کرنے کے لئے کمانے کے لیے حاصل کرنے کے لئے بچہ پیدا کرنا
to get; to gain; to win	حاصل کرنے کے لئے حاصل کرنے کے لئے جیتنے کے لیے
to give	دینے کے لیے
to give (humble)	دینا (عاجزی)
to give (me)	دینا (مجھے)
to give (to me, respect)	دینا (مجھے عزت دینا)
to give (to others)	(دوسروں کو) دینا
to give (to pets, plants, younger siblings, etc.)	دینا (پالتو جانوروں، پودوں، چھوٹے بہن بھائیوں وغیرہ کو)
to give a discount	رعایت دینے کے لیے
to give birth	جنم دینے کے لئے
to give into custody; to entrust; to deposit	تحویل میں دینا؛ سپرد کرنا جمع کرنے کے لئے
to give shelter to; to lodge	کو پناہ دینا؛ لاج کرنا
to give up	ترک کرنا
to give up; to abandon	ترک کرنا ترک کرنا
to give; to let one have; to do for one; to be given	دینے کے لیے ایک رکھنے کے لئے ایک کے لیے کرنا؛ دیا جائے
to give; to present; to award	دینے کے لیے پیش کرنا ایوارڈ کرنے کے لئے
to glare at; to scowl at; to keep an eye on	چمکنا پر قہقہہ لگانا پر نظر رکھنے کے لئے
to go	جانے کے لیے
to go (humble)	جانا (عاجزی سے)
to go across	پار جانے کے لیے
to go against; to oppose; to disobey; to defy	خلاف جانا؛ مخالفت کرنا؛ نافرمانی کرنا؛ انکار کرنا
to go around	ارد گرد جانے کے لئے
to go back	واپس جانے کے لیے
to go back; to go upstream; to make retroactive	واپس جانا؛ اوپر جانے کے لیے؛ ریٹرو ایکٹو بنانے کے لیے
to go back; to return	واپس جانا؛ واپس کرنے کے لئے
to go far off	بہت دور جانے کے لیے
to go forward	آگے جانے کے لیے
to go mad; to get out of order	پاگل ہو جانا آرڈر سے باہر نکلنے کے لئے
to go on a diet	ایک غذا پر جانے کے لئے
to go out	باہر جانے کے لیے
to go out (fire)	باہر جانا (آگ)
to go out / disappear	باہر جانا / غائب ہونا
to go out to meet	ملنے کے لیے باہر جانا
to go over (e.g. with audience)	اوپر جانا (جیسے سامعین کے ساتھ)
to go shopping	خریداری کرنے کے لئے
to go through	کے ذریعے جانے کے لئے
to go to bed; to sleep	بستر پر جانے کے لئے؛ سونے کے لیے
to go to pick up (someone)	لینے جانا (کسی کو)
to go to school	اسکول جانے کے لیے
to go to work	کام پر جانے کے لیے
to go/come (humble)	جانا/آنا (عاجزی)
to go/come/be (respect)	جانا/آنا/ ہونا (احترام)
to grab	پکڑنا
to graduate (from ...)	فارغ التحصیل ہونا (سے ...)
to grant (request  wish)	عطا کرنا (خواہش کی درخواست)
to grasp; to seize; to mould sushi	پکڑنا ضبط کرنا سشی کو ڈھالنے کے لئے
to grill / bake	گرل / پکانا
to grip	گرفت کرنا
to grow accustomed to	کے عادی ہو جانا
to grow cold	سردی بڑھنے کے لئے
to grow hazy; to be misty	دھندلا بڑھنا؛ دھندلا ہونا
to grow thick; to luxuriate; to be luxurious	موٹی بڑھنے کے لئے؛ عیش و آرام کرنا؛ پرتعیش ہونا
to guide	رہنمائی کرنے کے لئے
to guide (humble)	رہنمائی کرنا (عاجزی)
to guide (respect)	رہنمائی کرنا (احترام)
to gulp down; to swallow deeply; to understand; to take in; to catch on to; to learn; to digest	نیچے گھونٹنا؛ گہرائی سے نگلنا؛ سمجھنے کے لئے اندر لے جانا پر پکڑنے کے لئے؛ سیکھنے کے لیے ہضم کرنا
to hand over	حوالے کرنا
to hand over (humble)	حوالے کرنا (عاجزی)
to handle; to deal with; to treat	سنبھالنا؛ سے نمٹنے کے لئے؛ علاج کرنے کے لئے
to hang	لٹکانا
to hang down; to abate; to retire; to fall; to step back	نیچے لٹکانے کے لئے کم کرنا ریٹائر ہونا؛ گرنا پیچھے ہٹنا
to hang laundry	لانڈری لٹکانا
to hang something	کچھ لٹکانے کے لیے
to hang up	لٹکانے کے لیے
to hang; to lower; to move back	لٹکانا کم کرنا واپس منتقل کرنے کے لئے
to hang; to suspend; to dangle; to swing	لٹکانا معطل کرنا؛ لٹکانا جھولنا
to happen to pass by	گزرنا
to harden; to freeze; to fortify	سخت کرنا؛ منجمد کرنا؛ مضبوط کرنے کے لئے
to harden; to solidify; to become firm; to become certain	سخت کرنا؛ مضبوط کرنے کے لئے؛ مضبوط ہونا؛ یقینی بننے کے لئے
to harvest; to take in; to adopt	فصل کاٹنا؛ اندر لے جانا اپنانے کے لیے
to hate	نفرت کرنا
to hate; to detest	نفرت کرنا نفرت کرنا
to hate; to dislike	نفرت کرنا ناپسند کرنا
to hate; to dislike; to loathe	نفرت کرنا ناپسند کرنا؛ نفرت کرنا
to have a change of heart	دل کی تبدیلی کے لیے
to have a fever	بخار ہونا
to have a fight; to quarrel	لڑائی کرنا جھگڑا کرنا
to have a meal	کھانا کھانے کے لیے
to have a stomachache	پیٹ میں درد ہونا
to have a talk	بات کرنا
to have difficulty	مشکل ہونا
to have experience (respect)	تجربہ کرنا (احترام)
to have someone look (humble)	کسی کو دیکھنا (عاجزی)
to have someone review (humble)	کسی کا جائزہ لینا
to have someone use (humble)	کسی کو استعمال کرنا (عاجزی)
to have someone wait (humble)	کسی کا انتظار کرنا (عاجزی سے)
to have you handle it (humble)	آپ اسے سنبھالنے کے لیے (عاجزی سے)
to hear/receive (humble)	سننا / وصول کرنا (عاجزی)
to hear; to listen to; to ask	سننے کے لئے سننے کے لئے؛ پوچھنا
to heat	گرم کرنا
to help	مدد کرنے کے لیے
to help; to rescue	مدد کرنا؛ بچانے کے لیے
to help; to save; to rescue	مدد کرنا؛ بچانے کے لیے بچانے کے لیے
to hide; to be hidden; to conceal oneself; to disappear	چھپانے کے لئے پوشیدہ ہونا؛ اپنے آپ کو چھپانا؛ غائب ہونا
to hide; to conceal	چھپانے کے لئے چھپانا
to hit	مارنا
to hit / tap	مارنا / ٹیپ کرنا
to hit the nail on the head	سر پر کیل مارنے کے لئے
to hit; to apply a patch	مارنا ایک پیچ کو لاگو کرنے کے لئے
to hit; to strike	مارنا؛ ہڑتال کرنا
to hold	منعقد کرنے کے لئے
to hold (position); to serve; to be unable	رکھنا (مقام) خدمت کرنے کے لئے؛ قابل نہیں ہونا
to hold / carry	رکھنا / لے جانا
to hold / have (respect)	رکھنا / رکھنا (احترام)
to hold back for the time being; to refrain from	وقتی طور پر روکنا؛ سے باز رہنا
to hold in the mouth; to bear in mind	منہ میں پکڑنا؛ ذہن میں رکھنا
to hold or carry under or in the arms	بازوؤں میں یا نیچے رکھنا یا لے جانا
to hospitalise	ہسپتال میں داخل کرنا
to hum something; to sing to oneself	کچھ گنگنانا اپنے آپ کو گانا
to humbly visit; to humbly ask	عاجزی سے دورہ کرنا؛ عاجزی سے پوچھنا
to hurry	جلدی کرنا
to hurry; to urge on	جلدی کرنا پر زور دینا
