ನಮಸ್ಕಾರ, ನೀವು ಹೇಗಿದ್ದೀರಾ?	Hello, how are you?
ಅವನ ಮಾತು ಅಸಭ್ಯವಾಗಿದೆ	His speech is rude.
ಅಸಭ್ಯ ವರ್ತನೆ ಬೇಡ	Rude behaviour is not wanted.
ಅವಳು ಸಭ್ಯ ಹುಡುಗಿ	She is a polite girl.
ಸಭ್ಯವಾಗಿ ಮಾತನಾಡಿ	Speak politely.
ಅವನು ಸ್ನೇಹಪರ ವ್ಯಕ್ತಿ	He is a friendly person.
ಅವಳಿಗೆ ತುಂಬಾ ನಾಚಿಕೆ	She is very shy
ನನಗೆ ನಾಚಿಕೆ ಬಂದಿತು	I felt shy
ಅವನು ಹೊರಹೋಗುವ ವ್ಯಕ್ತಿ	He is an outgoing person
ನನ್ನ ಗೆಳೆಯ ಹೊರಹೋಗುವವನು	My friend is outgoing
ಅವಳು ತುಂಬಾ ಬುದ್ಧಿವಂತ	She is very wise
ಅವನು ಇನ್ನು ಅಪಕ್ವ	He is still immature
ಅವನ ಮಾತು ಅಪಕ್ವ	His speech is immature
ಅವಳು ಪ್ರಬುದ್ಧ ಹುಡುಗಿ	She is a mature girl
ಅವನ ಆಲೋಚನೆ ಪ್ರಬುದ್ಧ	His thinking is mature
ಅವನ ಹಠಾತ್ ಪ್ರವೃತ್ತಿ ಅಪಾಯಕಾರಿ	His impulsive nature is dangerous
ಅವಳ ಹಠಾತ್ ಪ್ರವೃತ್ತಿ ನನಗೆ ಗೊತ್ತು	I know her impulsive nature
ಅವನು ಸಾಧಾರಣ ಮನುಷ್ಯ	He is a modest man
ಅವಳ ಜೀವನ ಸಾಧಾರಣ	Her life is modest
ಅದೊಂದು ವ್ಯರ್ಥ ಪ್ರಯತ್ನ	That is a vain attempt
ನಿಮ್ಮ ಸಮಯ ವ್ಯರ್ಥ ಮಾಡಬೇಡಿ	Do not waste your time
ಅವಳು ನಿರ್ಧರಿಸಲಾಗಿದೆ ಎಂದು ಹೇಳಿದಳು	She said she is determined
ನನ್ನ ಗುರಿ ನಿರ್ಧರಿಸಲಾಗಿದೆ	My goal is determined
ನಿಮ್ಮ ತೀರ್ಮಾನ ಸರಿಯಾಗಿದೆ	Your conclusion is correct
ಈ ತೀರ್ಮಾನ ತುಂಬಾ ಕಠಿಣವಾಗಿದೆ	This conclusion is very difficult
ಅವಳು ಗೆದ್ದೆನೆಂದು ಹೇಳಿಕೊಳ್ಳುತ್ತಾರೆ	They claim she won
ನಿಮ್ಮ ದೃಷ್ಟಿಕೋನ ವಿಭಿನ್ನವಾಗಿದೆ	Your perspective is different
ಹೊಸ ದೃಷ್ಟಿಕೋನ ಅಗತ್ಯವಿದೆ	A new perspective is needed
ನಿಮ್ಮ ಊಹೆ ತಪ್ಪಾಗಿದೆ	Your assumption is wrong
ಅದು ಕೇವಲ ಒಂದು ಊಹೆ	That is just an assumption
ಈ ಕೆಲಸದ ಮಹತ್ವ ದೊಡ್ಡದು	The significance of this work is great
ಜೀವನದಲ್ಲಿ ಶಿಕ್ಷಣದ ಮಹತ್ವ ಹೆಚ್ಚು	The significance of education in life is more
ಇದರ ಸೂಚ್ಯಾರ್ಥ ಏನು?	What is the implication of this?
ಈ ಸೂಚ್ಯಾರ್ಥ ಸರಿಯಾಗಿದೆ	This implication is correct
ಅವನು ಮೌಲ್ಯಮಾಪನ ಮಾಡುತ್ತಿದ್ದಾನೆ	He is evaluating
ಪರೀಕ್ಷೆಯ ಮೌಲ್ಯಮಾಪನ ಮುಗಿಯಿತು	The evaluation of the exam is over
ನಿಮ್ಮ ಉತ್ತರವನ್ನು ಸಮರ್ಥಿಸಿಕೊಳ್ಳಿ	Justify your answer
ಅವನು ತನ್ನ ನಿರ್ಧಾರವನ್ನು ಸಮರ್ಥಿಸಿಕೊಳ್ಳಿ	Justify his decision
ಅವನ ತರ್ಕ ಸರಿಯಿಲ್ಲ	His logic is not correct
ಈ ತರ್ಕ ಆಸಕ್ತಿದಾಯಕವಾಗಿದೆ	This logic is interesting
ತಾರ್ಕಿಕ ಚಿಂತನೆ ಮುಖ್ಯ	Logical thinking is important
ಅವನ ತಾರ್ಕಿಕ ಮಾತು ಚೆನ್ನಾಗಿದೆ	His logical talk is good
ಅವರಿಗೆ ದೊಡ್ಡ ಚರ್ಚೆ ನಡೆಯಿತು	A big debate happened among them
ಈ ಚರ್ಚೆ ಉಪಯುಕ್ತವಾಗಿದೆ	This debate is useful
ಈ ವಿಷಯದ ಬಗ್ಗೆ ಚರ್ಚಿಸಿ	Discuss about this topic
ನಾವು ಇದರ ಬಗ್ಗೆ ಚರ್ಚಿಸಿ	We discuss about this
ಅವರು ಯಾವಾಗಲೂ ಟೀಕಿಸುತ್ತಾರೆ	They always criticize
ಅವಳು ನನ್ನನ್ನು ಟೀಕಿಸುತ್ತಾರೆ	They criticize me
ವಿಷಯವನ್ನು ಸರಿಯಾಗಿ ವಿಶ್ಲೇಷಿಸಿ	Analyze the subject correctly
ಅವನು ದತ್ತಾಂಶವನ್ನು ವಿಶ್ಲೇಷಿಸಿ	Analyze the data
ಅವರು ಅದನ್ನು ತಪ್ಪಾಗಿ ಅರ್ಥೈಸಿಕೊಳ್ಳುತ್ತಾರೆ	They interpret it wrongly
ಅವನು ಇದನ್ನು ಸರಿಯಾಗಿ ಅರ್ಥೈಸಿಕೊಳ್ಳುತ್ತಾರೆ	They interpret this correctly
ಕಥೆಯ ಸಾರಾಂಶ ತಿಳಿಸಿ	Tell the summary of the story
ಈ ಸಾರಾಂಶ ಚಿಕ್ಕದಾಗಿದೆ	This summary is short
ಎರಡೂ ಪುಸ್ತಕಗಳನ್ನು ಹೋಲಿಸಿ	Compare both books
ಅವನು ಇವೆರಡನ್ನು ಹೋಲಿಸಿ	He compares these two
ಬಣ್ಣದ ಕಾಂಟ್ರಾಸ್ಟ್ ಚೆನ್ನಾಗಿದೆ	The color contrast is good
ಅವರು ತೀರ್ಮಾನಿಸುತ್ತಾರೆ	They conclude
ಅವನು ಬೇಗ ತೀರ್ಮಾನಿಸುತ್ತಾರೆ	He concludes quickly
ಅವಳು ಏನೋ ಊಹಿಸಿ	She inferred something
ನೀವು ಸರಿಯಾಗಿ ಊಹಿಸಿ	You infer correctly
ಅವನು ಸರಿಯಾಗಿ ನಿರ್ಣಯಿಸಿ	He deduced correctly
ಅವಳು ಇದನ್ನು ನಿರ್ಣಯಿಸಿ	She deduced this
ಇದು ಪುರಾವೆ ಆಧಾರಿತ ವರದಿ	This is an evidence-based report
ಪುರಾವೆ ಆಧಾರಿತ ಮಾತುಗಳು ನಿಜ	Evidence-based words are true
ಈ ದಾಖಲೆ ಅಮಾನ್ಯವಾಗಿದೆ	This document is invalid
ನಿಮ್ಮ ಟಿಕೆಟ್ ಅಮಾನ್ಯವಾಗಿದೆ	Your ticket is invalid
ಅವನು ತುಂಬಾ ಪಕ್ಷಪಾತಿ	He is very biased
ಈ ತೀರ್ಪು ಪಕ್ಷಪಾತಿ ಆಗಿದೆ	This judgment is biased
ಇದು ವಸ್ತುನಿಷ್ಠ ಮಾಹಿತಿ	This is objective information
ವಸ್ತುನಿಷ್ಠ ದೃಷ್ಟಿ ಇರಲಿ	Let there be an objective view
ಅದು ವ್ಯಕ್ತಿನಿಷ್ಠ ಅಭಿಪ್ರಾಯ	That is a subjective opinion
ಪ್ರತಿ ಉತ್ತರ ವ್ಯಕ್ತಿನಿಷ್ಠ ಆಗಿರುತ್ತದೆ	Every answer would be subjective
ಇದು ವಿಷಯಕ್ಕೆ ಸಂಬಂಧಿತ ಮಾಹಿತಿ	This is relevant information
ಸಂಬಂಧಿತ ವಿಷಯವನ್ನು ತಿಳಿಸಿ	Tell the relevant matter
ಈ ಮಾತು ಅಪ್ರಸ್ತುತ	This talk is irrelevant
ಅದು ಅಪ್ರಸ್ತುತ ಪ್ರಶ್ನೆ	That is an irrelevant question
ಅವನ ಮಾತು ಮನವರಿಕೆಯಾಗುತ್ತದೆ	His talk is convincing
ಈ ಪುರಾವೆ ಮನವರಿಕೆಯಾಗುತ್ತದೆ	This evidence is convincing
ಅವಳು ಮನವೊಲಿಸುವ ಮಾತನ್ನು ಹೇಳಿದಳು	She spoke persuasive words
ಮನವೊಲಿಸುವ ವಾದ ಮಾಡಿ	Make a persuasive argument
ನಿಮ್ಮ ದೃಷ್ಟಿಕೋನ ನನಗೆ ಗೊತ್ತು	I know your point of view
ಅವನ ದೃಷ್ಟಿಕೋನ ವಿಭಿನ್ನ	His point of view is different
ನಿಮ್ಮ ನಿಲುವು ಸ್ಪಷ್ಟವಾಗಿದೆ	Your standpoint is clear
ಅವನ ನಿಲುವು ಸರಿಯಾಗಿದೆ	His standpoint is correct
ಮಾನದಂಡಗಳು ಕಠಿಣವಾಗಿವೆ	The criteria are difficult
ಅವನಿಗೆ ತುಂಬಾ ಶಕ್ತಿ ಇದೆ	He has a lot of strength
ಧ್ಯಾನದಿಂದ ಮನಸ್ಸಿಗೆ ಶಕ್ತಿ ಸಿಗುತ್ತದೆ	Meditation gives strength to the mind
ನಿಮ್ಮ ದೌರ್ಬಲ್ಯ ಏನು?	What is your weakness?
ಅವಳ ದೌರ್ಬಲ್ಯ ಅತಿ ಹೆಚ್ಚು ಕೋಪ	Her weakness is too much anger
ಜಾಗತಿಕ ಉಷ್ಣಾಂಶ ಹೆಚ್ಚುತ್ತಿದೆ	Global temperature is increasing
ಇದು ಜಾಗತಿಕ ಸಮಸ್ಯೆ	This is a global problem
ಹವಾಮಾನ ಬದಲಾವಣೆ ಅಪಾಯಕಾರಿ	Climate change is dangerous
ಹವಾಮಾನ ಬದಲಾವಣೆ ನಡೆಯುತ್ತಿದೆ	Climate change is happening
ವಲಸೆ ಒಂದು ಸಾಮಾಜಿಕ ಪ್ರಕ್ರಿಯೆ	Immigration is a social process
ಅವರು ವಲಸೆ ಬಂದರು	They came by immigration
ಭಾರತದ ಜನಸಂಖ್ಯೆ ಹೆಚ್ಚಿದೆ	India's population has increased
ಜನಸಂಖ್ಯೆ ನಿಯಂತ್ರಣ ಅಗತ್ಯವಿದೆ	Population control is needed
ಭೂಮಿ ಮೇಲೆ ಸಂಘರ್ಷ ನಡೆಯುತ್ತಿದೆ	Conflict is happening on earth
ಸಂಘರ್ಷವನ್ನು ನಿಲ್ಲಿಸಿ	Stop the conflict
ಇದು ದೊಡ್ಡ ಬಿಕ್ಕಟ್ಟು	This is a big crisis
ಆರ್ಥಿಕ ಬಿಕ್ಕಟ್ಟು ಉಂಟಾಯಿತು	Economic crisis occurred
ಮಾತುಕತೆ ಈಗ ಆರಂಭವಾಯಿತು	Negotiation started now
ಸಂಧಾನದ ಮಾತುಕತೆ ನಡೆಯಿತು	Negotiation of compromise happened
ಅவர்கள் ಹೊಸ ಒಪ್ಪಂದ ಮಾಡಿದರು	They made a new treaty
ಶಾಂತಿ ಒಪ್ಪಂದ ಸಹಜವಾಗಿದೆ	Peace treaty is natural
ಅದು ಸಮರ್ಥನೀಯ ಜೀವನವಾಗಿದೆ	That is a sustainable life
ಸಮರ್ಥನೀಯ ಕೃಷಿ ಒಳ್ಳೆಯದು	Sustainable farming is good
ನಗರದ ಅಭಿವೃದ್ಧಿ ವೇಗವಾಗಿದೆ	City development is fast
ಅಭಿವೃದ್ಧಿ ಎಲ್ಲರಿಗೂ ಬೇಕು	Everyone needs development
ಹೊರಸೂಸುವಿಕೆ ಕಡಿಮೆ ಮಾಡಿ	Reduce the emission
ನದಿಯ ಮಾಲಿನ್ಯ ಹೆಚ್ಚಾಗಿದೆ	River pollution has increased
ಮಾಲಿನ್ಯವು ಆರೋಗ್ಯಕ್ಕೆ ಕೆಟ್ಟದು	Pollution is bad for health
ಅರಣ್ಯನಾಶವು ಪರಿಸರಕ್ಕೆ ಹಾನಿ	Deforestation is harmful to environment
ಅರಣ್ಯನಾಶ ತಡೆಯಿರಿ	Prevent deforestation
ಪ್ರವಾಹದಿಂದ ಮನೆಗಳು ಹೋದವು	Houses were lost due to flood
ಪ್ರವಾಹದ ನೀರು ಹೆಚ್ಚಿದೆ	Flood water has increased
ಬರಗಾಲವು ರೈತರಿಗೆ ಕಷ್ಟ	Famine is difficult for farmers
ಹಳೆಯ ಬರಗಾಲ ನೆನಪಿದೆ	Remember the old famine
ಅವನು ಒಬ್ಬ ನಿರಾಶ್ರಿತ	He is a refugee
ನಿರಾಶ್ರಿತರಿಗೆ ಮನೆ ನೀಡಿ	Give home to refugees
ವಲಸೆ ಈಗ ಹೆಚ್ಚಾಗಿದೆ	Migration has increased now
ವಲಸೆ ಜೀವನ ಕಷ್ಟ	Migration life is difficult
ಅವರಿಗೆ ತುರ್ತು ನೆರವು ಬೇಕು	They need emergency aid
ಆರ್ಥಿಕ ನೆರವು ದೊರೆಯಿತು	Financial aid was received
ಅವನು ವಿದೇಶಿ ಪ್ರಜೆ	He is a foreign citizen
ವಿದೇಶಿ ವಸ್ತುಗಳು ಇಲ್ಲಿವೆ	Foreign goods are here
ರಾಜತಾಂತ್ರಿಕತೆ ಬಹಳ ಮುಖ್ಯವಾಗಿದೆ	Diplomacy is very important
ರಾಜತಾಂತ್ರಿಕತೆ ಮೂಲಕ ಸಮಸ್ಯೆ ಬಗೆಯಿರಿ	Solve problem through diplomacy
ಅರ್ಜಿಗೆ ಮಂಜೂರಾತಿ ಸಿಕ್ಕಿತು	The application got sanction
ಮಂಜೂರಾತಿ ಪಡೆಯುವುದು ಕಷ್ಟ	Getting sanction is difficult
ಅದು ಸಮ್ಮಿಶ್ರ ಸರ್ಕಾರ	That is a coalition government
ಸಮ್ಮಿಶ್ರ ತಂಡ ಗೆದ್ದಿದೆ	Coalition team won
ಅವರು ಹೊಸ ಮೈತ್ರಿ ಮಾಡಿದರು	They made a new alliance
ಮೈತ್ರಿ ಮಾಡಿಕೊಳ್ಳುವುದು ಒಳ್ಳೆಯದು	Making alliance is good
ಆರ್ಥಿಕತೆ ಸುಧಾರಿಸುತ್ತಿದೆ	Economy is improving
ಆರ್ಥಿಕತೆ ಕುಸಿಯುತ್ತಿದೆ	Economy is collapsing
ಬಡತನವು ಒಂದು ಶಾಪ	Poverty is a curse
ಹಸಿವು ತಡೆಯುವುದು ಮುಖ್ಯ	Preventing hunger is important
ಹಸಿವಿನಿಂದ ಮಗು ಅತ್ತಿತು	Child cried due to hunger
ಹೊಸ ರೋಗ ಬಂದಿದೆ	A new disease has come
ರೋಗವು ಹರಡುತ್ತಿದೆ	Disease is spreading
ಸಾಂಕ್ರಾಮಿಕವು ಜಗತ್ತನ್ನು ಬದಲಿಸಿತು	Pandemic changed the world
ಸಾಂಕ್ರಾಮಿಕವು ಭಯವನ್ನುಂಟು ಮಾಡಿತು	Pandemic created fear
ಲಸಿಕೆಗಳು ಲಭ್ಯವಿವೆ	Vaccines are available
ನವೀಕರಿಸಬಹುದಾದ ಶಕ್ತಿ ಉತ್ತಮ	Renewable energy is better
ನವೀಕರಿಸಬಹುದಾದ ಮೂಲಗಳನ್ನು ಬಳಸಿ	Use renewable sources
ಸೌರ ಶಕ್ತಿ ಶುಭ್ರವಾಗಿದೆ	Solar energy is clean
ಶಕ್ತಿ ಉಳಿಸಿ	Save energy
ನೀರಿನ ಸಂರಕ್ಷಣೆ ಅಗತ್ಯವಿದೆ	Water conservation is needed
ವನಗಳ ಸಂರಕ್ಷಣೆ ಮಾಡಿ	Do forest conservation
ಜೀವವೈವಿಧ್ಯವು ಸಮತೋಲನದಲ್ಲಿರಬೇಕು	Biodiversity must be in balance
ಜೀವವೈವಿಧ್ಯವನ್ನು ಉಳಿಸಿ	Save biodiversity
ಸಂಪನ್ಮೂಲಗಳನ್ನು ಉಳಿಸಿ	Save resources
ನೀರು ಇಲ್ಲಿ ವಿರಳ	Water is
ಜೀವನದಲ್ಲಿ ಸ್ಥಿರತೆ ಬೇಕು	Stability is needed in life
ಈ ಕಟ್ಟಡದ ಸ್ಥಿರತೆ ಕಡಿಮೆ ಇದೆ	The stability of this building is low
ಅವನು ಉದ್ವೇಗದಲ್ಲಿದ್ದಾನೆ	He is in tension
ಈ ಉದ್ವೇಗವನ್ನು ಕಡಿಮೆ ಮಾಡಿ	Reduce this tension
ಅವರು ನಮಗೆ ಸಹಕರಿಸುತ್ತಾರೆ	They cooperate with us
ಎಲ್ಲರೂ ಇಲ್ಲಿ ಸಹಕರಿಸುತ್ತಾರೆ	Everyone cooperates here
ಸಮಸ್ಯೆಯನ್ನು ಪರಿಹರಿಸು	Resolve the problem
ಇದನ್ನು ಬೇಗ ಪರಿಹರಿಸು	Resolve this quickly
ಈ ಕಾದಂಬರಿ ತುಂಬಾ ದೊಡ್ಡದಾಗಿದೆ	This novel is very big
ನನಗೆ ಈ ಕಾದಂಬರಿ ಇಷ್ಟವಾಯಿತು	I liked this novel
ಅವಳು ಕಾವ್ಯ ಬರೆಯುತ್ತಾಳೆ	She writes poetry
ಕಾವ್ಯ ಓದುವುದು ಒಂದು ಕಲೆ	Reading poetry is an art
ಅವನು ಒಬ್ಬ ಪ್ರಸಿದ್ಧ ಲೇಖಕ	He is a famous author
ನಮಗೆ ಹೊಸ ಲೇಖಕ ಬೇಕು	We need a new author
ಈ ಪಾತ್ರ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ	This character is very good
ಕಥೆಯಲ್ಲಿ ಒಂದು ಮುಖ್ಯ ಪಾತ್ರವಿದೆ	There is one main character in the story
ಕಥಾವಸ್ತು ಸರಳವಾಗಿದೆ	The plot is simple
ಈ ಕಥಾವಸ್ತು ಆಕರ್ಷಕವಾಗಿದೆ	This plot is attractive
ಪುಸ್ತಕದ ಥೀಮ್ ವಿಭಿನ್ನವಾಗಿದೆ	The theme of the book is different
ಈ ಥೀಮ್ ನನಗೆ ಇಷ್ಟವಾಯಿತು	I liked this theme
ಗ್ಯಾಲರಿ ತುಂಬಾ ವಿಶಾಲವಾಗಿದೆ	The gallery is very spacious
ನಾವು ಗ್ಯಾಲರಿಗೆ ಹೋದೆವು	We went to the gallery
ಈ ಪ್ರದರ್ಶನ ಅದ್ಭುತವಾಗಿದೆ	This exhibition is wonderful
ಕಲಾ ಪ್ರದರ್ಶನ ಇಂದು ಶುರುವಾಯಿತು	The art exhibition started today
ಶಿಲ್ಪಕಲೆ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ	The sculpture is very beautiful
ಹಳೆಯ ಶಿಲ್ಪಕಲೆ ಇಲ್ಲಿವಿದೆ	Old sculpture is here
ಇದು ಒಂದು ಮೇರುಕೃತಿ	This is a masterpiece
ಅವನು ಮೇರುಕೃತಿ ನಿರ್ಮಿಸಿದನು	He created a masterpiece
ಚಿತ್ರಕಲೆ ಒಂದು ಅದ್ಭುತ ಕಲೆ	Painting is a wonderful art
ಅವಳಿಗೆ ಚಿತ್ರಕಲೆ ಇಷ್ಟ	She likes painting
ಕ್ಯಾನ್ವಾಸ್ ತುಂಬಾ ಬೆಳ್ಳಗಿದೆ	The canvas is very white
ಅವಳು ಕ್ಯಾನ್ವಾಸ್ ಮೇಲೆ ಬರೆದಳು	She wrote on the canvas
ಕುಂಚ ಕೈಯಲ್ಲಿದೆ	The brush is in the hand
ಇದು ಸುಂದರ ಭಾವಚಿತ್ರ	This is a beautiful portrait
ಭಾವಚಿತ್ರ ನೋಡಲು ಚೆನ್ನಾಗಿದೆ	The portrait is nice to look at
ಭೂದೃಶ್ಯ ಅದ್ಭುತವಾಗಿದೆ	The landscape is wonderful
ಚಿತ್ರದಲ್ಲಿ ಭೂದೃಶ್ಯವಿದೆ	There is a landscape in the picture
ಅದು ಅಮೂರ್ತ ಚಿತ್ರ	That is an abstract painting
ಅಮೂರ್ತ ಕಲೆ ವಿಭಿನ್ನವಾಗಿದೆ	Abstract art is different
ಇದು ವಾಸ್ತವಿಕ ಚಿತ್ರ	This is a realistic picture
ವಾಸ್ತವಿಕವಾಗಿ ವಿವರಿಸಿ	Explain it realistically
ಅವನ ಕಲ್ಪನೆ ದೊಡ್ಡದಾಗಿದೆ	His imagination is big
ಕಲ್ಪನೆ ಮಾಡುವುದು ಸುಲಭ	Imagining is easy
ಅವಳು ನನಗೆ ಸ್ಫೂರ್ತಿ	She is an inspiration to me
ಪ್ರಕೃತಿ ಸ್ಫೂರ್ತಿ ನೀಡುತ್ತದೆ	Nature gives inspiration
ಅವನು ಸೃಜನಶೀಲ ಹುಡುಗ	He is a creative boy
ಸೃಜನಶೀಲ ಕೆಲಸ ಮಾಡಿ	Do creative work
ಅಭಿವ್ಯಕ್ತಿ ಮುಖ್ಯವಾಗಿದೆ	Expression is important
ಮುಖದ ಅಭಿವ್ಯಕ್ತಿ ಚೆನ್ನಾಗಿದೆ	The facial expression is good
ಈ ಭಾವನೆ ನಿಜವಾಗಿದೆ	This emotion is real
ಅವಳಿಗೆ ಹೊಸ ಭಾವನೆ ಬಂದಿದೆ	She has a new emotion
ಇದು ಶಾಂತಿಯ ಚಿಹ್ನೆ	This is a symbol of peace
ಚಿಹ್ನೆ ಗುರುತಿಸಿ	Identify the symbol
ಅದು ಒಂದು ರೂಪಕ	That is a metaphor
ರೂಪಕ ಬಳಸಿ ಬರೆಯಿರಿ	Write using a metaphor
ನಿರೂಪಣೆ ಸರಳವಾಗಿದೆ	The narrative is simple
ನಿರೂಪಣೆ ಚೆನ್ನಾಗಿದೆ	The narrative is good
ಈ ಪ್ರಕಾರ ಹೊಸದಾಗಿದೆ	This genre is new
ಸಿನಿಮಾದ ಪ್ರಕಾರ ವಿಭಿನ್ನವಾಗಿದೆ	The movie genre is different
ಇದು ಒಂದು ಕಾದಂಬರಿ	This is a fiction
ಕಾದಂಬರಿ ಓದುವುದು ಹವ್ಯಾಸ	Reading fiction is a hobby
ಇದು ಕಾಲ್ಪನಿಕವಲ್ಲದ ಕಥೆ	This is a non-fiction story
ಕಾಲ್ಪನಿಕವಲ್ಲದ ಪುಸ್ತಕಗಳು ಉಪಯುಕ್ತ	Non-fiction books are useful
ಇದು ಗಾಂಧೀಜಿಯ ಜೀವನಚರಿತ್ರೆ	This is Gandhi's biography
ಜೀವನಚರಿತ್ರೆ ಓದಿದೆ	Read the biography
ಮೊದಲ ಅಧ್ಯಾಯ ಸುಲಭವಾಗಿದೆ	The first chapter is easy
ಈ ಅಧ್ಯಾಯ ಪೂರ್ಣವಾಯಿತು	This chapter is completed
ದೃಶ್ಯ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ	The scene is very beautiful
ಅವಳು ಒಂದು ದೃಶ್ಯವನ್ನು ನೋಡಿದಳು	She saw a scene
ಸಂಭಾಷಣೆ ಚೆನ್ನಾಗಿದೆ	The dialogue is good
ಸಂಭಾಷಣೆ ಸರಳವಾಗಿರಲಿ	Let the dialogue be simple
ಪ್ರಾಸ ಚೆನ್ನಾಗಿದೆ	The rhyme is good
ಹಾಡಿನಲ್ಲಿ ಪ್ರಾಸವಿದೆ	There is a rhyme in the song
ಈ ಪದ್ಯ ಸುಂದರವಾಗಿದೆ	This verse is beautiful
ವಿಮರ್ಶಕ ಬಂದರು	The critic came
ಅವನು ಒಬ್ಬ ವಿಮರ್ಶಕ	He is a critic
ಪ್ರೇಕ್ಷಕರು ನಕ್ಕರು	The audience laughed
ಪ್ರೇಕ್ಷಕರು ಇಲ್ಲಿದ್ದಾರೆ	The audience are here
ಅವರು ಗುರಿಯನ್ನು ಸಾಧಿಸುತ್ತಾರೆ	They achieve the goal
ಎಲ್ಲರೂ ಯಶಸ್ಸನ್ನು ಸಾಧಿಸುತ್ತಾರೆ	Everyone achieves success
ಸಾಧಿಸಲು ಕಠಿಣ ಪರಿಶ್ರಮ ಬೇಕು	Hard work is needed to accomplish
ಅವಳು ಇದನ್ನು ಸಾಧಿಸಲು ಬಯಸುತ್ತಾಳೆ	She wants to accomplish this
ಅವು ಸಮತೋಲನವನ್ನು ನಿರ್ವಹಿಸುತ್ತವೆ	They maintain the balance
ಅವು ಕಾರ್ಯಗಳನ್ನು ನಿರ್ವಹಿಸುತ್ತವೆ	They maintain the tasks
ಅವನು ಇದನ್ನು ಪಡೆಯಲು ಬಯಸುತ್ತಾನೆ	He wants to obtain this
ಅವಳು ಪ್ರಶಸ್ತಿಯನ್ನು ಪಡೆಯಲು ಪ್ರಯತ್ನಿಸಿದಳು	She tried to obtain the award
ಅಲ್ಲಿ ಹೆಚ್ಚಿನ ಸಮಯ ಅಗತ್ಯವಿರುತ್ತದೆ	More time will be required there
ನಮಗೆ ಸಹಾಯದ ಅಗತ್ಯವಿರುತ್ತದೆ	Help will be required for us
ಅವು ಹಲವು ಭಾಗಗಳನ್ನು ಒಳಗೊಂಡಿರುತ್ತವೆ	They consist of many parts
ಅವು ವಿವಿಧ ವಸ್ತುಗಳನ್ನು ಒಳಗೊಂಡಿರುತ್ತವೆ	They consist of various items
ಅವರು ಗುಣಮಟ್ಟಕ್ಕೆ ಒತ್ತು ನೀಡುತ್ತವೆ	They emphasize quality
ಅವು ವೇಗಕ್ಕೆ ಒತ್ತು ನೀಡುತ್ತವೆ	They emphasize speed
ಅವನು ನೃತ್ಯವನ್ನು ಪ್ರದರ್ಶಿಸಿ ಗೆದ್ದನು	He won by demonstrating the dance
ಅವರು ಕೌಶಲವನ್ನು ಪ್ರದರ್ಶಿಸಿ ತೋರಿಸಿದರು	They demonstrated the skill
ಅವನ ದೊಡ್ಡ ಕೊಡುಗೆ ಇದೆ	He has a big contribution
ನನ್ನ ಕೊಡುಗೆ ಸಣ್ಣದಾಗಿದೆ	My contribution is small
ಅವನು ತಪ್ಪನ್ನು ಅಂಗೀಕರಿಸು ಎಂದು ಹೇಳಿದನು	He told him to acknowledge the mistake
ನೀವು ಸತ್ಯವನ್ನು ಅಂಗೀಕರಿಸು	You acknowledge the truth
ಅವರು ಹೊಸ ಸಂಸ್ಥೆಯನ್ನು ಸ್ಥಾಪಿಸಿ ನೋಡಿದರು	They established a new organization
ಅವಳು ತನ್ನ ಸಾಮ್ರಾಜ್ಯವನ್ನು ಸ್ಥಾಪಿಸಿ ಆಳಿದಳು	She established and ruled her empire
ಇದರ ದೊಡ್ಡ ಲಾಭ ಇದೆ	There is a big benefit of this
ಅವಳಿಗೆ ಇದರಿಂದ ಲಾಭ ಸಿಕ್ಕಿತು	She got a benefit from this
ಅವು ಪರಿಸರದ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುತ್ತವೆ	They affect the environment
ಅವು ಆರೋಗ್ಯದ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುತ್ತವೆ	They affect the health
ಇದರ ಪರಿಣಾಮ ತುಂಬಾ ದೊಡ್ಡದು	The effect of this is very big
ಅವನ ಮಾತುಗಳ ಪರಿಣಾಮ ಚೆನ್ನಾಗಿದೆ	The effect of his words is good
ಬೆಲೆಯಲ್ಲಿ ಹೆಚ್ಚಳ ಆಗಿದೆ	There is an increase in price
ಜನಸಂಖ್ಯೆಯಲ್ಲಿ ಹೆಚ್ಚಳ ಕಂಡುಬಂದಿದೆ	There is an increase in population
ತಾಪಮಾನದಲ್ಲಿ ಇಳಿಕೆ ಇದೆ	There is a decrease in temperature
ಅವನು ವೇಗದಲ್ಲಿ ಇಳಿಕೆ ಮಾಡಿದನು	He made a decrease in speed
ಶಬ್ದವನ್ನು ಕಡಿಮೆ ಮಾಡಿ	Reduce the sound
ನೀವು ಖರ್ಚನ್ನು ಕಡಿಮೆ ಮಾಡಿ	You reduce the expense
ಅವಳು ತನ್ನ ಬರಹವನ್ನು ಸುಧಾರಿಸಿ ಓದಿದಳು	She improved her writing and read
ನಾವು ಗುಣಮಟ್ಟವನ್ನು ಸುಧಾರಿಸಿ ಬೆಳೆಸೋಣ	Let us improve and grow the quality
