buenos dias, Juan.	good morning, Juan.
Es un valor inherente.	It is an inherent value.
El ruido es omnipresente.	The noise is ubiquitous.
Dios es omnipresente.	God is ubiquitous.
El orden es primordial.	Order is paramount.
Es un tema primordial.	It is a paramount theme.
El daño es insignificante.	The damage is negligible.
Es un costo insignificante.	It is a negligible cost.
El plan es viable.	The plan is viable.
Es un líder convincente.	He is a cogent leader.
El vidrio es opaco.	The glass is opaque.
El color es opaco.	The color is opaque.
El miedo es omnipresente.	The fear is pervasive.
El olor es omnipresente.	The smell is pervasive.
El autor es prolífico.	The author is prolific.
Es un artista prolífico.	He is a prolific artist.
El gasto es superfluo.	The expense is superfluous.
Es un detalle superfluo.	It is a superfluous detail.
Ella es muy resiliente.	She is very resilient.
Es un pueblo resiliente.	It is a resilient people.
El sistema es robusto.	The system is robust.
Tiene un cuerpo robusto.	He has a robust body.
Está escudriñando el mapa.	He is scrutinizing the map.
Sigo escudriñando la escena.	I continue scrutinizing the scene.
El amor es intangible.	Love is intangible.
Es un activo intangible.	It is an intangible asset.
El palacio es opulento.	The palace is opulent.
Es un estilo opulento.	It is an opulent style.
El monje es austero.	The monk is austere.
Es un paisaje austero.	It is an austere landscape.
Es un hombre sin escrúpulos.	He is an unscrupulous man.
Ella es sin escrúpulos.	She is unscrupulous.
Debemos discernir la verdad.	We must discern the truth.
Es difícil discernir la diferencia.	It is difficult to discern the difference.
El hecho es incontrovertible.	The fact is incontrovertible.
Es una verdad incontrovertible.	It is an incontrovertible truth.
Su récord es impecable.	His record is impeccable.
Tiene un gusto impecable.	She has impeccable taste.
El diamante es impecable.	The diamond is flawless.
Su ejecución fue impecable.	Her execution was flawless.
El juez es sagaz.	The judge is sagacious.
Es un hombre sagaz.	He is a sagacious man.
Él es muy circunspecto.	He is very circumspect.
Es un líder circunspecto.	He is a circumspect leader.
Tu implicación es muy importante.	Your implication is very important.
Busco una implicación clara.	I am looking for a clear implication.
La viabilidad del plan es baja.	The feasibility of the plan is low.
Estudio la viabilidad del proyecto.	I am studying the feasibility of the project.
La sostenibilidad es la clave.	Sustainability is the key.
Queremos más sostenibilidad ambiental.	We want more environmental sustainability.
La prevalencia del virus aumentó.	The prevalence of the virus increased.
Hay una prevalencia alta aquí.	There is a high prevalence here.
Hay una discrepancia en los datos.	There is a discrepancy in the data.
No acepto esa discrepancia.	I do not accept that discrepancy.
Tu discurso tiene coherencia.	Your speech has coherence.
Busco la coherencia del texto.	I am looking for the coherence of the text.
La validez del documento expiró.	The validity of the document expired.
¿Tiene validez este pasaporte?	Does this passport have validity?
La confiabilidad del equipo es buena.	The reliability of the team is good.
Dudo de su confiabilidad.	I doubt their reliability.
La magnitud del sismo fue alta.	The magnitude of the earthquake was high.
No entiendo la magnitud.	I do not understand the magnitude.
Él tiene una propensión al riesgo.	He has a propensity for risk.
La propensión varía según la edad.	The propensity varies by age.
Eso es solo una conjetura.	That is only a conjecture.
No baso mi idea en una conjetura.	I do not base my idea on a conjecture.
La postulación es muy interesante.	The postulation is very interesting.
Leo tu postulación científica.	I am reading your scientific postulation.
Usa un criterio estricto.	Use a strict criterion.
El criterio es muy simple.	The criterion is very simple.
Es un nuevo paradigma social.	It is a new social paradigm.
Cambiamos el paradigma actual.	We are changing the current paradigm.
El dogma es muy antiguo.	The dogma is very old.
No sigo ese dogma.	I do not follow that dogma.
La hegemonía cultural terminó.	The cultural hegemony ended.
Él busca la hegemonía política.	He seeks political hegemony.
El subsidio es para granjeros.	The subsidy is for farmers.
Recibí un subsidio estatal.	I received a state subsidy.
La tarifa es muy alta.	The tariff is very high.
Pagamos la tarifa del puerto.	We paid the port tariff.
La infraestructura es vieja.	The infrastructure is old.
Necesitamos mejor infraestructura.	We need better infrastructure.
La demografía de la ciudad cambió.	The demographics of the city changed.
Estudio la demografía local.	I study the local demographics.
La asignación de fondos falló.	The allocation of funds failed.
Espero mi asignación de tareas.	I await my allocation of tasks.
La atribución del cuadro es dudosa.	The attribution of the painting is doubtful.
Es una atribución incorrecta.	It is an incorrect attribution.
Busco la corroboración del dato.	I am looking for the corroboration of the data.
La corroboración fue rápida.	The corroboration was fast.
La autenticidad es difícil de probar.	Authenticity is hard to prove.
Dudo de la autenticidad.	I doubt the authenticity.
Tu credibilidad es baja.	Your credibility is low.
La credibilidad es fundamental.	Credibility is fundamental.
La verificación toma tiempo.	The verification takes time.
Hice la verificación ayer.	I did the verification yesterday.
La justificación es insuficiente.	The rationale is insufficient.
Dame una justificación lógica.	Give me a logical rationale.
La inferencia es errónea.	The inference is erroneous.
Hice una inferencia simple.	I made a simple inference.
Tu deducción es correcta.	Your deduction is correct.
Llegué a una deducción lógica.	I reached a logical deduction.
Llegamos a un consenso.	We reached a consensus.
No hay consenso hoy.	There is no consensus today.
Hay una divergencia de ideas.	There is a divergence of ideas.
Noté una divergencia clara.	I noticed a clear divergence.
La convergencia es evidente.	The convergence is evident.
Busco la convergencia de datos.	I am looking for the convergence of data.
Es una manifestación de arte.	It is a manifestation of art.
Fue una manifestación pacífica.	It was a peaceful manifestation.
Es la culminación del esfuerzo.	It is the culmination of the effort.
La culminación fue gloriosa.	The culmination was glorious.
