#NAME?	#اسم؟
(1) (Japanese) maple	(1) (اليابانية) القيقب
to take care of ...	لرعاية ...
to take charge of; to take over; to retire to a private place	لتولي المسؤولية؛ لتولي المسؤولية؛ للتقاعد في مكان خاص
to take down	لإنزال
to take down; to launch; to drop	لإنزال؛ للإطلاق؛ لإسقاط
to take it for granted	لأخذها أمرا مفروغا منه
to take medicine	لتناول الدواء
to take off (clothes)	لخلع (الملابس)
to take off clothes	لخلع الملابس
to take out	لإخراج
to take out the trash	لإخراج القمامة
to take out; to produce; to pick out	لإخراج؛ لإنتاج؛ لاختيار
to take over	لتولي المسؤولية
to take photos	لالتقاط الصور
to take seriously	أن تأخذ على محمل الجد
to take something	لأخذ شيء ما
to take up; to pick up; to disqualify; to confiscate; to deprive	لتتناول؛ لالتقاط؛ لتنحية؛ للمصادرة؛ لحرمان
to take; to catch (fish); to capture	لاتخاذ؛ لصيد (الأسماك) ؛ لالتقاط
to talk behind someone's back	للتحدث وراء ظهر شخص ما
to talk; to tell; to recite	للحديث؛ ليقول؛ ليقرأ
to taper to a point; to become sharp; to be sour; to look displeased	إلى تفتق إلى حد ما. لتصبح حادة. أن تكون حامضة؛ لتبدو مستاءة
to taste; to savor; to relish	حسب الذوق لتذوق؛ للاستمتاع
to teach	للتدريس
to teach; to instruct	للتدريس؛ لإرشاد
to teach; to tell	للتدريس؛ ليقول
to tear	المسيل للدموع
to tear; to split	المسيل للدموع. للانقسام
to tear; to violate; to defeat; to smash; to destroy	المسيل للدموع. لانتهاك؛ للهزيمة؛ لتحطيم؛ لتدمير
to tease; to coax; to solicit; to demand	لندف. لاقناع. لالتماس؛ للطلب
to tease; to torment; to persecute; to chastise	لندف. للعذاب. لاضطهاد؛ لتأديب
to tell a lie	لقول كذبة
to tell the truth	لقول الحقيقة
to tell; to indicate	ليقول؛ للإشارة
to tell; to tell on (someone); to order	ليقول؛ ليخبر (شخص ما) ؛ للطلب
to the best of my knowledge	على حد علمي
to the end; to the last; stubbornly	إلى النهاية؛ إلى الأخير؛ بعناد
to think	للتفكير
to think (about); to consider	للتفكير (حول) ؛ للنظر فيها
to think (respect)	للتفكير (الاحترام)
to think of; to hit upon	للتفكير في؛ للضرب عليها
to think; to feel	للتفكير. ليشعر
to threaten; to coerce	للتهديد؛ للإكراه
to threaten; to menace	للتهديد؛ للتهديد
to throw away	لرمي بعيدا
to throw down; to beat; to bring down; to blow down	لرمي أسفل. للتغلب؛ لإسقاط؛ لتفجير
to throw or cast away	لرمي أو يلقي بعيدا
to tidy up	لترتيب
to tie	لربط
to tie / bind	لربط / ربط
to tie; to bind	لربط؛ لربط
to tie; to bind; to link	لربط؛ لربط؛ للربط
to tie; to fasten; to connect; to transfer (phone call)	لربط؛ لربط. للاتصال؛ للتحويل (مكالمة هاتفية)
to till; to plow; to cultivate	حتى؛ للحراثة لزراعة
to torment; to harass; to inflict pain	للعذاب. لمضايقة؛ لتسبب الألم
to touch	للمس
to touch; to be touched; to touch on a subject; to feel; to violate (law; copyright; etc.); to perceive; t	للمس. أن يتم لمسها؛ للمس موضوع ما. ليشعر؛ انتهاك (القانون؛ حقوق الطبع والنشر؛ وما إلى ذلك)؛ لإدراك؛ ر
to transfer	لنقل
to translate	للترجمة
to transport	للنقل
to treat (someone) / to be proud	لعلاج (شخص ما) / أن تكون فخوراً
to treat (someone) to a meal	لعلاج (شخص ما) لتناول وجبة
to treat coldly	لعلاج البرد
to treat kindly	للتعامل بلطف
to treat/invite (someone) to a meal	لعلاج/دعوة (شخص ما) لتناول وجبة
to trouble you to come	لإزعاجك في المجيء
to try out	للمحاولة
to turn	لتحويل
to turn (a switch) on or off; to twist; to puzzle over	لتشغيل (مفتاح) أو إيقاف تشغيله؛ لتحريف. للغز أكثر
to turn (right/left)	للانعطاف (يمين/يسار)
to turn / rotate	لتحويل / تدوير
to turn a blind eye	لغض البصر
to turn away; to avert	للابتعاد؛ لتجنب
to turn back	للعودة إلى الوراء
to turn down (somebody); to reject; to jilt	لرفض (شخص ما) ؛ للرفض؛ للهجر
to turn inside out; to turn (something) over	للتحول من الداخل إلى الخارج؛ لقلب (شيء ما).
to turn off	لإيقاف
to turn off / erase	لإيقاف / محو
to turn off the light	لإطفاء الضوء
to turn off; to erase	لإيقاف؛ لمحو
to turn on	لتشغيل
to turn on / attach	لتشغيل / إرفاق
to turn on the light	لتشغيل الضوء
to turn on; to switch on; to light up	لتشغيل؛ للتشغيل؛ لتضيء
to turn over; to assign; to hand over	للانقلاب لتعيين؛ لتسليم
to turn over; to overturn; to knock over; to upset; to turn inside out	للانقلاب لينقلب؛ ليطرق. للانزعاج. للتحول من الداخل إلى الخارج
to turn towards; to point	ليتجه نحو؛ للإشارة
to turn; to bend	لتحويل؛ للانحناء
to turn; to revolve	لتحويل؛ لتدور
to twist	لتحريف
to understand	لفهم
to undertake (humble)	للقيام (متواضع)
to undertake; to take up; to take over	للقيام؛ لتتناول؛ لتولي المسؤولية
to undertake; to take up; to take over; to be responsible for; to guarantee; to contract (disease)	للقيام؛ لتتناول؛ لتولي المسؤولية؛ ليكون مسؤولا عن؛ لضمان؛ للتعاقد (المرض)
to unfasten	لفك
to unfasten; to remove	لفك. لإزالة
to untie	لفك
to unwind	للاسترخاء
to use	للاستخدام
to use; to make use of	للاستخدام؛ للاستفادة من
to view; to gaze at	للعرض؛ للنظر في
to visit	لزيارة
to visit (respect)	لزيارة (الاحترام)
to wait	للانتظار
to wait (respect)	الانتظار (الاحترام)
to wake	للاستيقاظ
to wake (someone) up	لإيقاظ (شخص ما).
to wake up	ليستيقظ
to wake up / get up	للاستيقاظ / الاستيقاظ
to wake; to wake up	ليستيقظ؛ ليستيقظ
to walk	للمشي
to walk (respect)	المشي (الاحترام)
to walk/drive (someone)	للمشي/القيادة (شخص ما)
to want	تريد
to want (adj.)	يريد (صفة)
to warm up; to get warm	للإحماء للحصول على الدفء
to warm; to heat	للتدفئة. للحرارة
to warp; to be warped; to curve	لتشويه. أن تكون مشوهة. إلى منحنى
to wash	ليغسل
to wash one's face	لغسل وجهه
to watch TV	لمشاهدة التلفزيون
to watch a movie	لمشاهدة فيلم
to watch out; to give warning	أن تنتبه؛ لإعطاء تحذير
to water (plants)	إلى الماء (النباتات)
to wear	لارتداء
to wear (respect)	ارتداء (الاحترام)
to wear (shoes / pants)	لارتداء (الأحذية / السراويل)
to wear small items (necktie, watch, etc.)	ارتداء الأشياء الصغيرة (ربطة العنق، الساعة، إلخ)
to wear; to put on (lower body)	لارتداء؛ لوضع (الجزء السفلي من الجسم)
to weep	للبكاء
to wet; to soak; to dip	للتبلل للنقع. للتراجع
to whisper; to murmur	ليهمس؛ لتذمر
to wilt; to fade	الذبول. لتتلاشى
to win	للفوز
to win a championship	للفوز بالبطولة
to win a lottery	للفوز باليانصيب
to wind; to coil; to roll	للرياح لفائف. للفة
to wipe	لمسح
to wipe; to dry	لمسح؛ لتجف
to withdraw	للانسحاب
to withdraw (money)	لسحب (المال)
to withdraw; to leave; to pull out; to retire	للانسحاب؛ للمغادرة؛ للانسحاب. للتقاعد
to wither; to die (plant); to be blasted (plant)	ليذبل يموت (نبات) ؛ ينفجر (نبات)
to wither; to fade (away); to shrivel; to wilt	ليذبل يتلاشى (بعيدًا) ؛ ليذبل. ليذبل
to work	للعمل
to work (for a company)	للعمل (لشركة)
to work for	للعمل من أجل
to work for (a company)	للعمل لدى (شركة)
to work for someone	للعمل لدى شخص ما
to worry	للقلق
to worship; to beg; to make a supplication	للعبادة. للتسول. لتقديم الدعاء
to wrap	للالتفاف
to wrap; to cover	للالتفاف. لتغطية
to write	للكتابة
to write (respect)	أكتب (الاحترام)
to write; to publish	للكتابة؛ للنشر
toast (drink)	نخب (شراب)
tobacco	التبغ
today	اليوم
today; this day	اليوم؛ هذا اليوم
toe	اصبع القدم
together	معًا
together with (a person)	مع (شخص)
toilet	المرحاض
toilet; lavatory; rest room; latrine; comfort station	المرحاض؛ مرحاض؛ غرفة الاستراحة مرحاض؛ محطة الراحة
toilet; restroom; lavatory; bathroom (US)	المرحاض؛ مرحاض؛ مرحاض؛ الحمام (الولايات المتحدة)
tolerance	التسامح
tolerate	تحمل
toll	حصيلة
tomato	طماطم
tomorrow	غدا
ton	طن
tone	نغمة
tone color; tone quality; timbre; synthesizer patch	لون النغمة جودة النغمة جرس؛ تصحيح المركب
tongue	اللسان
tonight	الليلة
tonne	طن
too	أيضا
too much; unnecessary; abundance; surplus; excess; superfluity	أكثر من اللازم؛ غير ضروري؛ وفرة؛ فائض؛ إفراط؛ فائض
tool	أداة
tool; means	أداة؛ يعني
tooth	سن
tooth / teeth	سن / أسنان
toothache	وجع الاسنان
toothbrush	فرشاة الأسنان
top	أعلى
top; summit	أعلى؛ قمة
top; summit; peak	أعلى؛ قمة؛ الذروة
topic	الموضوع
topic of discussion; agenda	موضوع المناقشة؛ جدول الأعمال
topic; subject	الموضوع؛ موضوع
torture	التعذيب
toss	إرم
total	المجموع
total darkness; shortsightedness; pitch dark	الظلام الدامس. قصر النظر. الظلام الملعب
totally	تماما
totally absorbed	استيعابها تماما
touch	المس
tough	صعبة
tough (situation)	صعب (الوضع)
tour	جولة
tourism	السياحة
tourist	سائح
tourist spot	مكان سياحي
tournament	البطولة
toward / against	نحو / ضد
towards	نحو
towel	منشفة
tower	برج
tower; pagoda	برج؛ معبد
town	بلدة
town; city	بلدة؛ مدينة
town; city; municipal; urban	بلدة؛ مدينة؛ البلدية؛ حضري
toxic	سامة
toy	لعبة
trace	أثر
track	المسار
trade	التجارة
trade in; part exchange	التجارة في؛ تبادل جزء
trade; business; commerce; transaction; occupation	التجارة؛ عمل؛ تجارة؛ عملية؛ الاحتلال
trade; buying and selling	التجارة؛ بيع وشراء
trade; commerce	التجارة؛ التجارة
trademark	علامة تجارية
trader; merchant	تاجر؛ تاجر
trader; shopkeeper; merchant	تاجر؛ صاحب متجر؛ تاجر
trading	التداول
trading company; firm	شركة تجارية؛ شركة
tradition	التقليد
tradition; convention	التقليد؛ اتفاقية
traditional	التقليدية
traditional inn	نزل تقليدي
traffic	حركة المرور
traffic jam	ازدحام المرور
traffic light	إشارة المرور
traffic lights; signal; semaphore	إشارات المرور إشارة؛ إشارة
traffic; transportation	حركة المرور؛ النقل
tragedy	مأساة
tragic	مأساوي
trail	درب
trailer	مقطورة
train	قطار
train (ordinary)	قطار (عادي)
train station	محطة القطار
trainer	مدرب
training	التدريب
training wear	ملابس التدريب
training; instruction	التدريب؛ تعليمات
trait	سمة
transaction	معاملة
transcend	تجاوز
transcript	نسخة
transfer	نقل
transfer (train)	نقل (قطار)
transform	تحويل
transformation	التحول
transit	العبور
transition	الانتقال
translate	ترجمة
translation	الترجمة
transmission	انتقال
transmit	إرسال
transparency	الشفافية
transparency; cleanness	الشفافية؛ النظافة
transparent	شفاف
transport	النقل
transport; carriage	النقل؛ النقل
transport; transportation	النقل؛ النقل
transportation	النقل
transportation facilities	مرافق النقل
trap	فخ
trash	سلة المهملات
trash; rubbish	سلة المهملات؛ القمامة
trauma	الصدمة
travel	سفر
travel / trip	سفر / رحلة
travel agency	وكالة سفر
travel; trip; journey	السفر؛ رحلة؛ رحلة
traveler	مسافر
traveller	مسافر
treasure	كنز
treat	علاج
treatment	العلاج
treatment; service	العلاج؛ الخدمة
treaty	معاهدة
tree	شجرة
tree; wood	شجرة؛ خشب
tremendous	هائل
trend	الاتجاه
trial	المحاكمة
trial / court	المحاكمة / المحكمة
trial; judgement	محاكمة؛ الحكم
trial; test	محاكمة؛ اختبار
triangle; triangular	مثلث؛ الثلاثي
tribal	قبلي
tribe	قبيلة
tribunal	المحكمة
tribute	تحية
trick	خدعة
trigger	الزناد
triggered by	أثار بواسطة
trillion	تريليون
trio	الثلاثي
trip	رحلة
trip / travel	رحلة / سفر
trip to a foreign country	رحلة إلى بلد أجنبي
trip; hike; picnic	رحلة؛ ارتفاع؛ نزهة
triumph	انتصار
trolley	عربة
troop	القوات
trophy	الكأس
tropical	استوائي
tropics	المناطق الاستوائية
trouble	مشكلة
trouble; bother; annoyance	مشكلة؛ يزعج؛ إزعاج
trouble; burden; care; bother	مشكلة؛ حرج؛ رعاية؛ يزعج
trouble; difficulty; care; attention	مشكلة؛ صعوبة؛ رعاية؛ الاهتمام
troubled	مضطرب
troubles; hardships	متاعب. المصاعب
troupe; theatrical company	فرقة؛ شركة مسرحية
trousers	السراويل
truce; armistice	هدنة؛ الهدنة
truck	شاحنة
true	صحيح
true adjective	صفة حقيقية
truly	حقا
truly / really	حقا / حقا
truly / sincerely	حقا / بصدق
trust	الثقة
trustee	الوصي
truth	الحقيقة
truth; reality	الحقيقة؛ الواقع
try	حاول
try on	حاول
trying on clothes	تحاول على الملابس
tsunami	تسونامي
tube	أنبوب
tuberculosis; tubercule	السل. السل
tuition	الرسوم الدراسية
tumbler; glass	بهلوان. زجاج
tuna	سمك التونة
tune	لحن
tune; piece of music	لحن؛ قطعة من الموسيقى
tune; tone; key	لحن؛ نغمة؛ مفتاح
tune; tone; knot; knob; point	لحن؛ نغمة؛ عقدة. مقبض الباب؛ نقطة
tunnel	نفق
turkey	تركيا
turn	بدوره
turn (in line); order of things	بدوره (في الخط)؛ ترتيب الأشياء
turn down	رفض
turn up	يحضر
turning a deaf ear	تحويل الأذن الصماء
turning defeat into victory	تحويل الهزيمة إلى انتصار
turnout	الإقبال
turnover	دوران
turquoise	الفيروز
turtle	سلحفاة
tutor	مدرس
twelve	اثني عشر
twelve o'clock	الساعة الثانية عشرة
twenty	عشرين
twenty days; twentieth	عشرين يوما؛ العشرين
twenty-five	خمسة وعشرون
twenty-one	واحد وعشرون
twice	مرتين
twin	التوأم
twins; a twin	التوائم. توأم
twist	تطور
two	اثنان
two (books)	اثنان (كتب)
two (counter)	اثنان (عداد)
two (flat objects)	اثنان (كائنات مسطحة)
two (long objects)	اثنان (كائنات طويلة)
two (machines / vehicles)	اثنان (الآلات / المركبات)
two (small animals)	اثنان (حيوانات صغيرة)
two (small items)	اثنان (العناصر الصغيرة)
two (things)	اثنين (الأشياء)
two days	يومين
two days before yesterday	قبل يومين من أمس
two days; second day of the month	يومين؛ اليوم الثاني من الشهر
two gains in one move	مكاسبين في خطوة واحدة
two hundred	مائتي
two minutes	دقيقتين
two o'clock	الساعة الثانية
two people	شخصين
two storied	طابقين
type	اكتب
type; pattern; archetypal	اكتب؛ نمط؛ نموذجي
typhoon	اعصار
typical	نموذجي
typically	عادة
tyre	الإطارات
ubiquitous	في كل مكان
udon noodles	الشعرية أودون
ugly	قبيح
uh-huh; yes	اه هاه؛ نعم
uh-uh; no	اه اه؛ لا
ultimate	في نهاية المطاف
ultimate; final; eventual	نهائي؛ أخير؛ في نهاية المطاف
ultimately	في نهاية المطاف
um...	أم...
umbrella	مظلة
un; non; negative prefix	الأمم المتحدة؛ غير؛ بادئة سلبية
unable	غير قادر
unacceptable	غير مقبول
unanimous	بالإجماع
unavoidably	لا مفر منه
uncertainty	عدم اليقين
uncle	عمه
uncle; middle-aged man	عم؛ رجل في منتصف العمر
unclean; dirty; filthy; impure	نجس؛ متسخ؛ قذرة؛ نجس
uncleanness; impurity; disgrace	النجاسة. النجاسة. عار
uncomfortable	غير مريح
unconditionally; as a rule	دون قيد أو شرط؛ كقاعدة عامة
unconscious	فاقد الوعي
uncooked rice	أرز غير مطبوخ
undeniably	لا يمكن إنكاره
under	تحت
under; below; beneath	تحت؛ أقل؛ تحت
undergo	الخضوع
undergraduate	الجامعية
underground	تحت الأرض
underground train	قطار تحت الأرض
underground water	المياه الجوفية
underline; underscore	تسطير؛ تسطير أسفل السطر
underlying	الأساسية
undermine	تقويض
underscore	تسطير أسفل السطر
understand	فهم
understanding	فهم
understanding; comprehension	فهم؛ الفهم
understood	مفهومة
understood (humble)	متفهم (متواضع)
undertake	القيام
underwear	ملابس داخلية
undoubtedly	مما لا شك فيه
undulation	تموج
unemployed	عاطلين عن العمل
unemployment	البطالة
unequivocal	لا لبس فيه
unevenness; roughness; ruggedness	التفاوت. خشونة؛ غلظة
unexpected	غير متوقع
unexpected; casual	غير متوقع؛ عارضة
unexpected; surprising	غير متوقع؛ مفاجئ
unexpectedly	بشكل غير متوقع
unexpectedly (appear)	بشكل غير متوقع (ظهور)
unfair	غير عادل
unfamiliar; never before met	غير مألوف؛ لم يلتق من قبل
unfold	تتكشف
unfortunate	مؤسف
unfortunately	لسوء الحظ
unhappiness; sorrow; misfortune; disaster; accident; death	التعاسة؛ حزن؛ مصيبة؛ كارثة؛ حادثة؛ الموت
unhappy	غير سعيد
uniform	موحدة
uniformity; evenness; similarity; equality; impartiality	التوحيد. المساواة. تشابه؛ المساواة؛ الحياد
unify	توحيد
unintentional; spontaneous	غير مقصود؛ عفوي
union	union
union; alliance	اتحاد؛ تحالف
union; unity	اتحاد؛ الوحدة
unique	فريدة من نوعها
unit	وحدة
unit; denomination; credit (in school)	وحدة؛ فئة؛ الائتمان (في المدرسة)
unite	اتحدوا
united	متحدون
unity	الوحدة
unity; consolidation; uniformity	الوحدة؛ توحيد؛ التوحيد
universal	عالمي
universe	الكون
universe; cosmos; space	الكون. الكون. الفضاء
university	الجامعة
university graduate	خريج جامعي
university student	طالب جامعي
unknown	غير معروف
unless	إلا إذا
unlike	على عكس
unlikely	غير محتمل
unlucky day	يوم سيئ الحظ
unlucky; misfortune; bad luck; fate	سيئ الحظ؛ مصيبة؛ سوء الحظ؛ مصير
unnecessary	غير ضروري
unpleasant	غير سارة
unprecedented	غير مسبوق
unravel	كشف
unscrupulous	عديمي الضمير
unsightly; ugly	القبيحة. قبيح
unskilled at	غير ماهر في
unskillful	غير ماهر
unsuitable	غير مناسب
until	حتى
unusual	غير عادي
unveil	كشف النقاب
unwillingly; grudgingly; shaking head in refusal (to children)	كرها؛ على مضض؛ هز الرأس بالرفض (للأطفال)
up	فوق
up / above	أعلى / فوق
up-train (going to Tokyo); ascent	القطار العلوي (الذهاب إلى طوكيو) ؛ صعود
upcoming	القادمة
update	تحديث
upgrade	ترقية
uphold	التمسك
upload	تحميل
upon	على
upper	العلوي
upper; outer; surface	العلوي؛ الخارجي؛ السطح
uproar; disturbance	ضجة؛ اضطراب
upset	منزعج
upstairs	في الطابق العلوي
upwards	صعودا
urban	حضري
urge	حث
urgent	عاجل
urgent; pressing	عاجل؛ الضغط
urgent; pressing; emergency	عاجل؛ الضغط. الطوارئ
urgent; steep	عاجل؛ حاد
us	لنا
usage	الاستخدام
use	استخدام
use; application; employment; utilization	استخدام؛ طلب؛ توظيف؛ الاستخدام
use; service; role; position	استخدام؛ خدمة؛ دور؛ الموقف
use; usefulness	استخدام؛ فائدة
used	تستخدم
used to	اعتاد على
useful	مفيدة
useful; convenient	مفيد؛ مريحة
useless	عديمة الفائدة
useless; no good; hopeless	عديمة الفائدة؛ لا خير؛ ميؤوس منها
user	user
usual	المعتاد
usual (historical) custom	العرف المعتاد (التاريخي).
usually	عادة
usually; generally	عادة؛ عموما
usually; habitually; ordinarily; always	عادة؛ عادة؛ عادة؛ دائما
usually; or a train that stops at every station	عادة؛ أو القطار الذي يتوقف في كل محطة
utensil	إناء
utility	فائدة
utilization	الاستخدام
utilize	الاستفادة
utterly	تماما
vacancy; room for rent or lease	الشغور؛ غرفة للإيجار أو الإيجار
vacant; futile; vain; void; empty; ineffective; lifeless	شاغرة؛ عديم الجدوى؛ عبثا. فارغ؛ فارغ؛ غير فعالة؛ هامدة
vacation	عطلة
vacation / leave	إجازة / إجازة
vaccine	لقاح
vacuum	فراغ
vacuum cleaner	مكنسة كهربائية
vacuum; hollow; empty	فراغ؛ أجوف؛ فارغ
vague	غامض
vain	عبثا
valid	صالح
valid; proper; right; appropriate	صالح؛ سليم؛ يمين؛ مناسب
validate	التحقق من صحة
validity	صلاحية
validity; availability; effectiveness	صحة؛ التوفر؛ فعالية
valley	وادي
valuable	قيمة
valuation; estimation; assessment; evaluation	التقييم؛ تقدير؛ تقدير؛ التقييم
value	قيمة
value; price; cost	القيمة؛ سعر؛ التكلفة
value; worth; merit	القيمة؛ يستحق؛ الجدارة
van	شاحنة
vanish	تختفي
vapour; gas	بخار. غاز
variable	متغير
variation	الاختلاف
varied	متنوعة
varied; various	متنوعة. مختلف
variety	متنوعة
variety; kind; type	متنوعة؛ عطوف؛ اكتب
various	مختلف
various; different kinds of	مختلف؛ أنواع مختلفة من
vary	تختلف
vast	واسعة
vegetable	نباتي
vegetable garden	حديقة نباتية
vegetable shop	متجر الخضار
vegetables	خضروات
vehicle	مركبة
vein	الوريد
ventilation	التهوية
venture	مشروع
venue	مكان
veranda / balcony	شرفة / شرفة
veranda; porch; balcony; open corridor	شرفة. الشرفة. شرفة؛ ممر مفتوح
verb	فعل
verb suffix to indicate reckless abandon to the activity	لاحقة الفعل للإشارة إلى التخلي المتهور عن النشاط
verbal	لفظي
verbal statement	بيان لفظي
verdict	الحكم
verdict / judgment	الحكم / الحكم
verification	التحقق
verify	تحقق
verse	الآية
version	النسخة
versus	مقابل
vertical	عمودي
vertical; perpendicular	عمودي. عمودي
very	جدا
very fond of; to love	مولع جدًا بـ؛ للحب
very much; exaggerated; very fine	كثيرا؛ مبالغ فيه؛ جيد جدًا
very soon; in a few moments/days	قريبا جدا؛ في لحظات / أيام قليلة
very young; childish	صغير جدًا؛ طفولي
very; much; greatly	جدا؛ كثيراً؛ إلى حد كبير
vessel	سفينة
veteran	المخضرم
via	عبر
viable	قابلة للحياة
vibrant	نابضة بالحياة
vice	نائب
vicinity; nearby	محيط؛ قريب
vicious	شرير
victim	ضحية
victory	النصر
victory or defeat; issue (of battle)	النصر أو الهزيمة؛ قضية (معركة)
victory or defeat; match; contest; game; bout	النصر أو الهزيمة؛ مباراة؛ منافسة؛ لعبة؛ نوبة
video	فيديو
video / footage	فيديو / لقطات
video game	لعبة فيديو
video tape; VCR	شريط فيديو؛ جهاز فيديو
view	عرض
view / opinion	رأي / رأي
viewer	المشاهد
viewing	المشاهدة
viewpoint	وجهة نظر
vigor; active	قوة؛ نشط
vigorous; healthy; sound	قوي. صحيح؛ صوت
vilify	تشويه
villa; vacation home	فيلا؛ منزل لقضاء العطلات
village	قرية
villager	قروي
vindicate	تبرئة
vinegar	الخل
violate	انتهاك
violation	انتهاك
violation (of law); transgression; infringement; breach	انتهاك (للقانون) ؛ التعدي؛ التعدي؛ خرق
violence	العنف
violent	عنيف
violent; vehement; intense	عنيف؛ عنيف؛ مكثفة
violet	البنفسجي
violin	كمان
virtual	Virtual
virtue	فضيلة
virus	فايروس
visa	تأشيرة
visible	مرئية
vision	الرؤية
visit	زيارة
visitor	زائر
visual	مرئية
vital	حيوي
vitality; energy	حيوية. الطاقة
vitamin	فيتامين
vividly; lively	بشكل واضح. حية
vocabulary; glossary	المفردات. معجم
vocal	صوتي
voice	صوت
volcanic eruption	ثوران بركاني
volcano	بركان
volleyball	الكرة الطائرة
volume	حجم
voluntary	طوعي
volunteer	متطوع
vote	التصويت
voting	التصويت
voting; poll	التصويت؛ استطلاع
vow	نذر
vulgarity; meanness; indecency; coarseness	الابتذال؛ خسة؛ البذاءة. خشونة
vulnerability	الضعف
vulnerable	عرضة للخطر
wage	الأجر
waist	الخصر
waist / lower back	الخصر / أسفل الظهر
wait	انتظر
waiter	نادل
waiting impatiently	الانتظار بفارغ الصبر
waiting room	غرفة الانتظار
waiting time	وقت الانتظار
waitress	نادلة
wake	استيقظ
wake up	استيقظ
wake-up time	وقت الاستيقاظ
walk	المشي
walk / stroll	المشي / التنزه
walk; stroll	المشي؛ نزهة
walking around at night; night train; night travel	يتجول في الليل. قطار مسائي؛ السفر ليلا
wall	جدار
wall; fence	الجدار؛ سياج
wallet	محفظة
wander	يهيمون على وجوههم
want	تريد
want; shortage; famine	تريد؛ نقص؛ مجاعة
war	حرب
war; battle; campaign; fight	الحرب؛ معركة؛ حملة؛ قتال
ward	جناح
ward; district; section	جناح؛ يصرف؛ قسم
wardrobe	خزانة الملابس
warehouse	مستودع
warfare	الحرب
warm	دافئ
warm, luke warm	دافئ، لوقا دافئ
warm; mild	دافئ. خفيف
warming	الاحترار
warmth	الدفء
warn	تحذير
warning	تحذير
warning; admonition; vigilance	تحذير؛ عتاب؛ اليقظة
warning; advice	تحذير؛ نصيحة
warrant	مذكرة
warrior	محارب
warrior; samurai	محارب؛ الساموراي
warship; battleship	سفينة حربية؛ سفينة حربية
wash	غسل
washbasin	مغسلة
washing	غسل
washing machine	غسالة
washroom	الحمام
washroom / restroom	الحمام / مرحاض
waste	النفايات
waste (money)	النفايات (المال)
waste; scrap	النفايات؛ خردة
wastepaper	سلة المهملات
watch	مشاهدة
watch out	احترس
watch; clock	مشاهدة؛ ساعة
water	الماء
water (polite)	الماء (مهذب)
water boils	يغلي الماء
water fountain	نافورة ماء
water level; horizon	مستوى الماء الأفق
water outage	انقطاع المياه
water source	مصدر المياه
water supply	إمدادات المياه
water vapour; steam	بخار الماء بخار
water well	بئر ماء
waterfall	شلال
watermelon	البطيخ
wave	موجة
way	الطريق
way of swimming	طريقة السباحة
way; manner; kind	الطريق؛ طريقة؛ نوع
way; means	الطريق؛ يعني
way; road; directions	الطريق؛ طريق؛ الاتجاهات
we	نحن
weak	ضعيف
weak point; weakness	نقطة ضعف الضعف
weaken	يضعف
weakness	الضعف
wealth	الثروة
wealthy	ثري
weapon	سلاح
weapon; arms; ordinance	سلاح؛ الأسلحة. مرسوم
wear	ارتداء
wear / clothing	ارتداء / الملابس
weather	الطقس
weather forecast	توقعات الطقس
weather; climate	الطقس؛ المناخ
weave	نسج
web	الويب
website	موقع الكتروني
wedding	حفل زفاف
weed	الاعشاب
week	أسبوع
week (period)	الأسبوع (الفترة)
week after next	الاسبوع بعد القادم
week; weekly	الأسبوع؛ أسبوعيا
weekday	أيام الأسبوع
weekday; ordinary days	أيام الأسبوع؛ الأيام العادية
weekend	عطلة نهاية الأسبوع
weekly	أسبوعيا
weigh	تزن
weight	الوزن
weird	غريب
welcome	مرحبا بكم
welcome (in a shop)	مرحبا (في متجر)
welcome / come in	مرحبا / تفضل بالدخول
welcome home	مرحبا بكم في المنزل
welcome; reception	مرحباً بك؛ استقبال
welfare	الرفاهية
well	حسنا
well then...	حسنا إذن...
well-being	الرفاه
well...; let me see...	حسنًا...؛ دعني أرى...
well; properly; suitably; best regards; please remember me	حسنا؛ على وجه صحيح؛ بشكل مناسب؛ أطيب التحيات؛ من فضلك تذكرني
wellness	العافية
west	الغرب
western	غربي
western countries	الدول الغربية
western-style clothes	الملابس على الطراز الغربي
wet	مبلل
wet towel	منشفة مبللة
whale	الحوت
what	ماذا
what color?	ما اللون؟
what date	ما التاريخ
what day	اي يوم
what day of the month?	اي يوم من الشهر؟
what day of the week?	اي يوم من الاسبوع؟
what do you recommend?	بماذا تنصح؟
what is this?	ما هذا؟
what kind of	أي نوع من
what kind of...	أي نوع من...
what language?	ما اللغة؟
what minute?; how many minutes?	في أي دقيقة؟ كم دقيقة؟
what month	ما الشهر
what month?	اي شهر؟
what nationality?	ما الجنسية؟
what number	ما العدد
what number?	ما العدد؟
what time	ما الوقت
what time is it now	ما هو الوقت الآن
what time?	ما الوقت؟
what year?	في اي سنة؟
what's up?	ما أخبارك؟
what; how; whatever	ماذا؛ كيف؛ أيا كان
what? / which? / what kind of?	ماذا؟ / أيّ؟ / أي نوع من؟
whatever	أيا كان
whatsoever	على الإطلاق
wheat	قمح
wheel	عجلة
when	متى
when...; at the time of...	متى...؛ في وقت ...
when; how soon	متى؛ متى
when?	متى؟
whenever	كلما
where	أين
where (polite)	حيث ( مؤدب )
where are you from?	من أين أنت؟
where is the restroom?	أين المرحاض؟
where; what place	أين؛ ما المكان
