#NAME?	#NAME?
(1) (Japanese) maple	(1) (Japanischer) Ahorn
Do you want some cake?	Willst du etwas Kuchen?
Do you want tea or coffee?	Möchten Sie Tee oder Kaffee?
Do you want to contribute an idea?	Möchten Sie eine Idee einbringen?
Do you want to go out?	Willst du ausgehen?
Do you want to play soccer?	Willst du Fußball spielen?
Do you want to volunteer?	Möchten Sie sich ehrenamtlich engagieren?
Do you want toasted bread?	Möchten Sie getoastetes Brot?
Do you write poetry?	Schreiben Sie Gedichte?
Do your parents know about this?	Wissen deine Eltern davon?
Doctor visits and how you feel.	Arztbesuche und wie es Ihnen geht.
Does he play soccer?	Spielt er Fußball?
Does the contract stipulate a price?	Ist im Vertrag ein Preis festgelegt?
Does this date have any significance?	Hat dieses Datum eine Bedeutung?
Does this phone support wireless charging?	Unterstützt dieses Telefon kabelloses Laden?
Does this plan work out?	Funktioniert dieser Plan?
Does this shop sell milk?	Verkauft dieser Laden Milch?
Dogs are cuter than cats.	Hunde sind süßer als Katzen.
Dogs have a propensity to bark	Hunde neigen zum Bellen
Dolphins are very intelligent animals.	Delfine sind sehr intelligente Tiere.
Don't be worried about me.	Mach dir keine Sorgen um mich.
Don't exacerbate the problem.	Verschärfen Sie das Problem nicht.
Don't forget to pack your swimsuit.	Vergessen Sie nicht, Ihre Badesachen einzupacken.
Don't give up on your dreams.	Gib deine Träume nicht auf.
Don't go out without a coat.	Gehen Sie nicht ohne Mantel raus.
Don't grow at the expense of quality.	Wachsen Sie nicht auf Kosten der Qualität.
Don't look directly at the sun.	Schauen Sie nicht direkt in die Sonne.
Don't make an assumption about her.	Machen Sie keine Vermutungen über sie.
Don't put off your homework	Schiebe deine Hausaufgaben nicht auf
Don't talk whilst you are eating.	Sprechen Sie nicht, während Sie essen.
Don't throw stones in the pond.	Werfen Sie keine Steine ​​in den Teich.
Don't touch the screen.	Berühren Sie nicht den Bildschirm.
Don't walk on the grass.	Gehen Sie nicht auf dem Gras.
Don't walk too fast.	Gehen Sie nicht zu schnell.
Don't wear those old shoes.	Tragen Sie nicht diese alten Schuhe.
Drink plenty of water today.	Trinken Sie heute viel Wasser.
Drink tea for your throat.	Trinken Sie Tee für den Hals.
Drink water if you are thirsty.	Trinken Sie Wasser, wenn Sie durstig sind.
Drink water to break the fever.	Trinken Sie Wasser, um das Fieber zu senken.
Driving is hard in foggy weather.	Bei nebligem Wetter ist das Fahren schwierig.
Drop who/which + be in defining clauses: The man (who is) sitting there is my uncle.	Lassen Sie who/which + be in Definitionssätzen weg: Der Mann (der dort sitzt) ist mein Onkel.
ESL body — the parts of your body in English.	ESL-Körper – die Teile Ihres Körpers auf Englisch.
ESL clothes — shirts, shoes, coats and what you wear.	ESL-Kleidung – Hemden, Schuhe, Mäntel und was Sie tragen.
ESL family — mother, father, brothers, sisters and more.	ESL-Familie – Mutter, Vater, Brüder, Schwestern und mehr.
ESL feelings — happy, sad, angry, tired and more.	ESL-Gefühle – glücklich, traurig, wütend, müde und mehr.
ESL food — the kitchen basics everyone needs.	ESL-Essen – die Küchengrundlagen, die jeder braucht.
ESL house — rooms, furniture and daily objects.	ESL-Haus – Räume, Möbel und Alltagsgegenstände.
ESL jobs — doctor, teacher, driver and what people do.	ESL-Jobs – Arzt, Lehrer, Fahrer und was die Leute tun.
ESL numbers — eleven to a million, plus ordinals.	ESL-Zahlen – elf bis eine Million, plus Ordnungszahlen.
ESL shopping — buy, sell, pay, prices and shops.	ESL-Shopping – Kaufen, Verkaufen, Bezahlen, Preise und Shops.
ESL starter — say hello, thank people and say goodbye.	ESL-Starter – sagen Sie Hallo, danken Sie den Leuten und verabschieden Sie sich.
ESL time — morning, night, today, tomorrow, this week.	ESL-Zeit – morgens, abends, heute, morgen, diese Woche.
ESL verbs — the most-used actions in daily life.	ESL-Verben – die am häufigsten verwendeten Aktionen im täglichen Leben.
Each day is different.	Jeder Tag ist anders.
Each student got a book.	Jeder Schüler bekam ein Buch.
Earth is our home planet.	Die Erde ist unser Heimatplanet.
Eat a banana for a snack.	Iss eine Banane als Snack.
Eat more fruit every day.	Essen Sie jeden Tag mehr Obst.
Eat more green vegetables.	Essen Sie mehr grünes Gemüse.
Eating vegetables is a healthy habit.	Gemüse zu essen ist eine gesunde Angewohnheit.
Economy & business	Wirtschaft & Unternehmen
Education & learning	Bildung und Lernen
Either answer is correct.	Jede Antwort ist richtig.
Elephants are the largest land animals.	Elefanten sind die größten Landtiere.
Ellipsis & substitution	Auslassungspunkte und Substitution
Ellipsis in formal writing	Auslassungspunkte beim formalen Schreiben
Elucidate, corroborate, synthesize…	Aufklären, bestätigen, synthetisieren ...
Emergencies	Notfälle
Emotions & feelings	Emotionen & Gefühle
Emotive verbs	Emotionale Verben
Emphasize one part of the sentence: It was my brother who called. What I need is more time.	Betonen Sie einen Teil des Satzes: Es war mein Bruder, der angerufen hat. Was ich brauche, ist mehr Zeit.
English Adjectives	Englische Adjektive
English Animals	Englische Tiere
English Body	Englischer Körper
English Body Parts	Englische Körperteile
English City	Englische Stadt
English Clothes	Englische Kleidung
English Family	Englische Familie
English Feelings	Englische Gefühle
English Food & Drink	Englisches Essen und Trinken
English Food & Drinks	Englische Speisen und Getränke
English Greetings	Englische Grüße
English House & Home	Englisches Haus & Zuhause
English House & Things	Englisches Haus & Dinge
English Jobs	Englische Jobs
English Nature	Englische Natur
English Numbers	Englische Zahlen
English Numbers 1-100	Englische Zahlen 1-100
English Shopping	Englisches Einkaufen
English Time	Englische Zeit
English Time & Days	Englische Zeit und Tage
English Travel	Englische Reisen
English Verbs	Englische Verben
English Weather	Englisches Wetter
English is a global language.	Englisch ist eine globale Sprache.
Enjoy your journey to Italy.	Genießen Sie Ihre Reise nach Italien.
Environment	Umwelt
Equality is a basic human right.	Gleichheit ist ein grundlegendes Menschenrecht.
Ethics, consciousness and doctrine.	Ethik, Bewusstsein und Lehre.
Every child needs a good education.	Jedes Kind braucht eine gute Bildung.
Every leaf is falling now.	Jetzt fällt jedes Blatt.
Every student must bring a pen.	Jeder Schüler muss einen Stift mitbringen.
Every student passed the test.	Jeder Schüler hat die Prüfung bestanden.
Everyday Actions	Alltägliche Aktionen
Everyday verbs II	Alltagsverben II
Everyone has a different opinion.	Jeder hat eine andere Meinung.
Everyone should contribute to the project.	Jeder sollte zum Projekt beitragen.
Everything will be well.	Alles wird gut.
Exercise helps build muscle.	Sport hilft beim Muskelaufbau.
Exercise is good for the body.	Bewegung ist gut für den Körper.
Exercise is good for your brain.	Bewegung ist gut für Ihr Gehirn.
Exercise is good for your heart.	Bewegung ist gut für Ihr Herz.
Exercise, diet and healthy habits.	Bewegung, Ernährung und gesunde Gewohnheiten.
Expect sunny then rain tomorrow.	Erwarten Sie morgen Sonne, dann Regen.
Expensive, cheap, near, far, easy, difficult.	Teuer, billig, nah, fern, einfach, schwierig.
Experiments, evidence and discovery.	Experimente, Beweise und Entdeckungen.
Explain the discrepancy in your story.	Erklären Sie die Diskrepanz in Ihrer Geschichte.
Explain your methodology to the class.	Erklären Sie der Klasse Ihre Methodik.
Expressing feelings and opinions	Gefühle und Meinungen ausdrücken
Fame is often a double-edged sword.	Ruhm ist oft ein zweischneidiges Schwert.
Family	Familie
Family & friends	Familie und Freunde
Family & people	Familie & Menschen
Family and friends	Familie und Freunde
Family members	Familienmitglieder
Farms usually have many pigs.	Auf Bauernhöfen gibt es normalerweise viele Schweine.
February is a short month.	Der Februar ist ein kurzer Monat.
Feeling & certainty	Gefühl & Gewissheit
Feelings	Gefühle
Feelings & States	Gefühle und Zustände
Few people came today.	Heute kamen nur wenige Leute.
Find your way around a city.	Finden Sie sich in einer Stadt zurecht.
Firefighters wear heavy gear.	Feuerwehrleute tragen schwere Ausrüstung.
First conditional — if + present, will	Erste Bedingung – wenn + vorhanden, wird
First eat, then sleep.	Erst essen, dann schlafen.
First verbs	Erste Verben
First, next, finally — structure your story.	Zuerst, dann, schließlich – strukturieren Sie Ihre Geschichte.
Focus on the action or receiver, not the doer: am/is/are/was/were + V3. The book was written by…	Konzentrieren Sie sich auf die Aktion oder den Empfänger, nicht auf den Handelnden: bin/ist/sind/war/waren + V3. Das Buch wurde geschrieben von…
Focus on the most salient features.	Konzentrieren Sie sich auf die wichtigsten Merkmale.
Follow the direction of the arrow.	Folgen Sie der Pfeilrichtung.
Following the recipe is quite easy.	Das Befolgen des Rezepts ist ganz einfach.
Food & Drink	Essen & Trinken
Food & drink	Essen & Trinken
Food & taste	Essen & Geschmack
Food and drinks	Essen und Getränke
Food is a big part of culture.	Essen ist ein großer Teil der Kultur.
For actions happening right now: am/is/are + verb-ing. She is reading now.	Für Aktionen, die gerade stattfinden: am/is/are + verb-ing. Sie liest jetzt.
For emphasis, negative adverbials begin the sentence with inversion: Never have I seen such beauty. Rarely, hardly, no sooner.	Zur Betonung beginnen negative Adverbiale den Satz mit der Umkehrung: „Noch nie habe ich solche Schönheit gesehen.“ Selten, kaum, kaum.
For habits and general facts. Add -s for he/she/it: I work → she works. Negatives: I don't work / she doesn't work.	Für Gewohnheiten und allgemeine Fakten. Fügen Sie -s für er/sie/es hinzu: Ich arbeite → sie arbeitet. Negativ: Ich arbeite nicht / sie arbeitet nicht.
For instance, we could go swimming.	Wir könnten zum Beispiel schwimmen gehen.
For plans and intentions: am/is/are + going to + verb. Also for predictions with clear evidence.	Für Pläne und Absichten: am/is/are + gonna + Verb. Auch für Vorhersagen mit eindeutiger Evidenz.
Formal conditionals: If it were to rain… / Had I known… / Were I you… (inversion instead of if).	Formale Konditionale: Wenn es regnen würde … / Hätte ich gewusst … / Wäre ich du … (Umkehrung statt wenn).
Formal linking	Formale Verknüpfung
Formal paperwork	Formeller Papierkram
Formal recommendation & subjunctive	Formelle Empfehlung und Konjunktiv
Friday is my favorite day.	Freitag ist mein Lieblingstag.
Fronting for emphasis	Frontal zur Betonung
Further details will elucidate the matter.	Weitere Einzelheiten werden die Sache klären.
Furthermore, nonetheless, conversely…	Darüber hinaus aber auch umgekehrt…
Future perfect & continuous	Zukunftsvoll und kontinuierlich
Future perfect: will have + V3 (completed by a time). Future continuous: will be + -ing (in progress at a time).	Future Perfect: wird + V3 haben (durch eine Zeit abgeschlossen). Zukünftig fortlaufend: wird + -ing sein (jeweils in Bearbeitung).
Genki Ch.1 — name, job, nationality and where you're from.	Genki Kap. 1 – Name, Beruf, Nationalität und woher Sie kommen.
Genki Ch.2 — today, tomorrow, yesterday and every weekday.	Genki Ch.2 – heute, morgen, gestern und an jedem Wochentag.
Genki Ch.3 — hospital, bank, library and finding your way.	Genki Kapitel 3 – Krankenhaus, Bank, Bibliothek und sich zurechtfinden.
Genki Ch.3 — rooms, furniture and everyday things at home.	Genki Ch.3 – Räume, Möbel und alltägliche Dinge zu Hause.
Genki Ch.4 — wake up, eat, go out, sleep: your whole day.	Genki Kap. 4 – aufwachen, essen, ausgehen, schlafen: den ganzen Tag.
Genki Ch.5 — how you feel: happy, tired, hungry, busy.	Genki Kapitel 5 – wie Sie sich fühlen: glücklich, müde, hungrig, beschäftigt.
Genki Ch.5 — music, sports, photos and free time.	Genki Ch.5 – Musik, Sport, Fotos und Freizeit.
Genki Ch.6 — order, eat, and ask for the bill.	Genki Kapitel 6 – bestellen, essen und nach der Rechnung fragen.
Genki Ch.6 — prices, cheap and expensive, buying things.	Genki Kap.6 – Preise, günstig und teuer, Dinge kaufen.
Genki Ch.7 — airports, trains, tickets and getting around.	Genki, Kapitel 7 – Flughäfen, Züge, Tickets und Fortbewegung.
Genki Textbook 1 — vocabulary & phrases	Genki-Lehrbuch 1 – Vokabeln und Redewendungen
Genki vocabulary — head to toe, the parts of your body.	Genki-Vokabular – von Kopf bis Fuß, die Teile Ihres Körpers.
Genki vocabulary — jobs, meetings, homework and classrooms.	Genki-Vokabular – Jobs, Besprechungen, Hausaufgaben und Klassenzimmer.
Gerund vs infinitive — -ing vs to + verb	Gerundium vs. Infinitiv – -ing vs. to + Verb
Gerunds & infinitives — -ing vs to + verb	Gerundien und Infinitive – -ing vs. to + Verb
Give me a hand here.	Helfen Sie mir hier.
Give me a minute to think.	Gib mir eine Minute zum Nachdenken.
Give me a ring tomorrow.	Rufen Sie mich morgen an.
Give me an apple.	Gib mir einen Apfel.
Give me five dollars, please.	Geben Sie mir bitte fünf Dollar.
Give me three more minutes.	Gib mir noch drei Minuten.
Give me your honest opinion.	Sagen Sie mir Ihre ehrliche Meinung.
Give orders or requests using the base verb. Add 'please' to be polite. Negative: don't + verb.	Geben Sie Befehle oder Anfragen mit dem Basisverb. Fügen Sie „bitte“ hinzu, um höflich zu sein. Negativ: nicht + Verb.
Give the book to her.	Gib ihr das Buch.
Give the books to them.	Gib ihnen die Bücher.
Give the keys to him.	Gib ihm die Schlüssel.
Global issues	Globale Probleme
Global warming is a serious issue.	Die globale Erwärmung ist ein ernstes Problem.
Go far away.	Geh weit weg.
Go to sleep right now.	Geh jetzt schlafen.
Go to the nearest police station.	Gehen Sie zur nächsten Polizeistation.
Good afternoon, Mr. Smith.	Guten Tag, Herr Smith.
Good afternoon, class!	Guten Tag, Klasse!
Good afternoon, how are you?	Guten Tag, wie geht es dir?
Good behaviour earns a reward.	Gutes Benehmen wird belohnt.
Good evening to you all.	Guten Abend euch allen.
Good evening, everyone.	Guten Abend allerseits.
Good evening, may I help you?	Guten Abend, kann ich Ihnen helfen?
Good morning to everyone here.	Guten Morgen an alle hier.
Good morning, how is your day?	Guten Morgen, wie ist dein Tag?
Good morning, sleep well?	Guten Morgen, gut schlafen?
Good morning, time to wake up.	Guten Morgen, Zeit aufzuwachen.
Goodbye, see you tomorrow!	Auf Wiedersehen, bis morgen!
Green tea is very healthy.	Grüner Tee ist sehr gesund.
Greetings & Politeness	Grüße und Höflichkeit
Greetings & people	Grüße & Leute
Hands-on verbs	Praktische Verben
Hang the picture on the wall.	Hängen Sie das Bild an die Wand.
Hang your coat on the rack.	Hängen Sie Ihren Mantel an den Kleiderständer.
Happy New Year to all!	Frohes neues Jahr an alle!
Happy birthday to my sister!	Alles Gute zum Geburtstag meiner Schwester!
Happy, sad, worried, excited — say how you really feel.	Glücklich, traurig, besorgt, aufgeregt – sagen Sie, wie Sie sich wirklich fühlen.
Hard work brings about success.	Harte Arbeit führt zum Erfolg.
Have a good day!	Haben Sie einen guten Tag!
Have you ever traveled abroad?	Sind Sie schon einmal ins Ausland gereist?
Have you heard the news?	Haben Sie die Nachrichten gehört?
He advocates for better healthcare.	Er setzt sich für eine bessere Gesundheitsversorgung ein.
He agreed, albeit with some hesitation.	Er stimmte zu, wenn auch mit einigem Zögern.
He asserts that the plan works.	Er beteuert, dass der Plan funktioniert.
He bought a pair of shorts.	Er kaufte ein Paar Shorts.
He bought a traditional kimono.	Er kaufte einen traditionellen Kimono.
He broke a bone in his arm.	Er hat sich einen Knochen im Arm gebrochen.
He broke his arm playing soccer.	Er brach sich beim Fußballspielen den Arm.
He broke his right leg.	Er hat sich das rechte Bein gebrochen.
He burnt his tongue on tea.	Er hat sich beim Tee die Zunge verbrannt.
He called me out of the blue.	Er rief mich aus heiterem Himmel an.
He came XKEYX in the race.	Er kam als XKEYX ins Rennen.
He can't drive.	Er kann nicht fahren.
He carried the bag on his shoulder.	Er trug die Tasche auf seiner Schulter.
He considers this movie his masterpiece.	Er betrachtet diesen Film als sein Meisterwerk.
He contributes money to the local shelter.	Er spendet Geld an das örtliche Tierheim.
He could be at home.	Er könnte zu Hause sein.
He created a process whereby data is saved.	Er hat ein Verfahren geschaffen, bei dem Daten gespeichert werden.
He decided to decline the offer.	Er beschloss, das Angebot abzulehnen.
He decided to give up smoking.	Er beschloss, mit dem Rauchen aufzuhören.
He demonstrated his skill on stage.	Auf der Bühne stellte er sein Können unter Beweis.
He dreams of becoming an astronaut.	Er träumt davon, Astronaut zu werden.
He earns a steady income now.	Er verdient jetzt ein festes Einkommen.
He explained his rationale clearly	Er erläuterte seine Beweggründe klar und deutlich
He failed to delineate the goals.	Er versäumte es, die Ziele zu formulieren.
He feels very lonely here.	Er fühlt sich hier sehr einsam.
He fell asleep on the sofa.	Er ist auf dem Sofa eingeschlafen.
He fell on his knee.	Er fiel auf sein Knie.
He felt a pain in his chest.	Er spürte einen Schmerz in seiner Brust.
He felt a sharp pain here.	Er verspürte hier einen stechenden Schmerz.
He felt sorry for the dog.	Der Hund tat ihm leid.
He flew by plane to London.	Er flog mit dem Flugzeug nach London.
He follows a rigorous diet.	Er befolgt eine strenge Diät.
He follows a strict religious doctrine.	Er folgt einer strengen religiösen Doktrin.
He gave us the wrong direction.	Er hat uns die falsche Richtung gegeben.
He got angry at the driver.	Er wurde wütend auf den Fahrer.
He graduated from a top university.	Er hat einen Abschluss an einer Spitzenuniversität.
He had no evidence to substantiate it.	Er hatte keine Beweise, die dies untermauerten.
He had to concede defeat.	Er musste sich geschlagen geben.
He has a blood test tomorrow.	Er hat morgen einen Bluttest.
He has a great technical skill.	Er verfügt über ein großes technisches Geschick.
He has a high temperature.	Er hat hohes Fieber.
He has a hole in his pocket.	Er hat ein Loch in seiner Tasche.
He has a keen ear for music.	Er hat ein ausgeprägtes Gespür für Musik.
He has a loud, dry cough.	Er hat einen lauten, trockenen Husten.
He has a lump in his throat.	Er hat einen Kloß im Hals.
He has a propensity for lying	Er hat einen Hang zum Lügen
He has a small mouth.	Er hat einen kleinen Mund.
He has a smiling face.	Er hat ein lächelndes Gesicht.
He has a stomach flu.	Er hat eine Magen-Darm-Grippe.
He has a strict daily routine.	Er hat einen strengen Tagesablauf.
He has a strong body.	Er hat einen starken Körper.
He has a strong muscle.	Er hat einen starken Muskel.
He has a very kind heart.	Er hat ein sehr gütiges Herz.
He has a very positive attitude.	Er hat eine sehr positive Einstellung.
He has a very strong constitution.	Er hat eine sehr starke Verfassung.
He has big plans for summer.	Er hat große Pläne für den Sommer.
He has curly hair.	Er hat lockiges Haar.
He has eight apples in his bag.	Er hat acht Äpfel in seiner Tasche.
He has one younger brother.	Er hat einen jüngeren Bruder.
He held her hand tightly.	Er hielt ihre Hand fest.
He held the coin in his palm.	Er hielt die Münze in seiner Handfläche.
He hid behind the door.	Er versteckte sich hinter der Tür.
He hit his nose.	Er hat sich auf die Nase geschlagen.
He hurt his toe running.	Er verletzte sich beim Laufen am Zeh.
He ignored the legal implication.	Er ignorierte die rechtlichen Konsequenzen.
He ignored the most salient facts.	Er ignorierte die wichtigsten Fakten.
He is a brave firefighter.	Er ist ein mutiger Feuerwehrmann.
He is a dedicated police officer.	Er ist ein engagierter Polizist.
He is a degree away from finishing.	Er ist noch einen Abschluss vom Abschluss entfernt.
He is a famous Hollywood actor.	Er ist ein berühmter Hollywood-Schauspieler.
He is a famous modern architect.	Er ist ein berühmter moderner Architekt.
He is a fast learner.	Er lernt schnell.
He is a friend of mine.	Er ist ein Freund von mir.
He is a good student.	Er ist ein guter Schüler.
He is a good teacher.	Er ist ein guter Lehrer.
He is a great dancing partner.	Er ist ein toller Tanzpartner.
He is a great father.	Er ist ein großartiger Vater.
He is a great primary school teacher.	Er ist ein großartiger Grundschullehrer.
He is a helpful neighbour.	Er ist ein hilfsbereiter Nachbar.
He is a kind husband.	Er ist ein freundlicher Ehemann.
He is a lively child.	Er ist ein lebhaftes Kind.
He is a meticulous cleaner.	Er ist ein sorgfältiger Reinigungskraft.
He is a movie star.	Er ist ein Filmstar.
He is a professional pastry chef.	Er ist ein professioneller Konditor.
He is a professional tour guide.	Er ist ein professioneller Reiseleiter.
He is a retired grandfather.	Er ist ein pensionierter Großvater.
He is a skilled house builder.	Er ist ein erfahrener Hausbauer.
He is a slow reader.	Er ist ein langsamer Leser.
He is a strong character.	Er ist ein starker Charakter.
He is a talented grandson.	Er ist ein talentierter Enkel.
He is a typical office worker.	Er ist ein typischer Büroangestellter.
He is a very kind person.	Er ist ein sehr freundlicher Mensch.
He is a very talented athlete.	Er ist ein sehr talentierter Athlet.
He is also a teacher.	Er ist auch Lehrer.
He is an eloquent public speaker.	Er ist ein eloquenter Redner.
He is an honest man.	Er ist ein ehrlicher Mann.
He is an old friend.	Er ist ein alter Freund.
He is an only child.	Er ist ein Einzelkind.
He is arguably the fastest player.	Er ist wohl der schnellste Spieler.
He is at his career peak.	Er ist auf dem Höhepunkt seiner Karriere.
He is at work now.	Er ist jetzt bei der Arbeit.
He is currently working abroad.	Derzeit arbeitet er im Ausland.
He is facing criminal prosecution	Ihm droht eine strafrechtliche Verfolgung
He is having an existential crisis.	Er steckt in einer existenziellen Krise.
He is his favorite grandchild.	Er ist sein Lieblingsenkel.
He is hoping for a promotion	Er hofft auf eine Beförderung
He is in a bad mood.	Er hat schlechte Laune.
He is in the hospital.	Er ist im Krankenhaus.
He is known for his reliability.	Er ist für seine Zuverlässigkeit bekannt.
He is my father's brother.	Er ist der Bruder meines Vaters.
He is my older brother.	Er ist mein älterer Bruder.
He is my only brother.	Er ist mein einziger Bruder.
He is nine years old.	Er ist neun Jahre alt.
He is old enough to drive.	Er ist alt genug, um Auto zu fahren.
He is seven years old.	Er ist sieben Jahre alt.
He is sick with the flu.	Er ist an Grippe erkrankt.
He is six years old.	Er ist sechs Jahre alt.
He is small but strong.	Er ist klein, aber stark.
He is smart; by the same token, he is arrogant.	Er ist klug; aus dem gleichen Grund ist er arrogant.
He is smart; furthermore, he is hardworking.	Er ist klug; außerdem ist er fleißig.
He is smart; moreover, he is kind.	Er ist klug; außerdem ist er nett.
He is strong enough to lift it.	Er ist stark genug, um es zu heben.
He is struggling to pay his debt.	Er kämpft darum, seine Schulden zu begleichen.
He is tall; in contrast, his brother is short.	Er ist groß; im Gegensatz dazu ist sein Bruder klein.
He is ten years old.	Er ist zehn Jahre alt.
He is the best baker in town.	Er ist der beste Bäcker der Stadt.
He is the only son.	Er ist der einzige Sohn.
He is tidying his bedroom.	Er räumt sein Schlafzimmer auf.
He is tired, nonetheless he works.	Er ist müde und arbeitet trotzdem.
He is too short for this.	Dafür ist er zu klein.
He is too stubborn to apologize.	Er ist zu stur, um sich zu entschuldigen.
He is too weak to walk.	Er ist zu schwach zum Gehen.
He is twenty years old.	Er ist zwanzig Jahre alt.
He is very generous with his time.	Er geht sehr großzügig mit seiner Zeit um.
He is wearing a red necktie.	Er trägt eine rote Krawatte.
He lacks any real ambition.	Es mangelt ihm an wirklichem Ehrgeiz.
He left the room.	Er verließ den Raum.
He lied and consequently lost trust.	Er hat gelogen und dadurch das Vertrauen verloren.
He lied and thus lost trust.	Er hat gelogen und dadurch das Vertrauen verloren.
He lied and, as a result, lost trust.	Er hat gelogen und dadurch das Vertrauen verloren.
He lied, hence the trust.	Er hat gelogen, daher das Vertrauen.
He likes his son-in-law.	Er mag seinen Schwiegersohn.
He likes tea, whereas she prefers coffee.	Er mag Tee, während sie Kaffee bevorzugt.
He likes to play football.	Er spielt gern Fußball.
He lives in a city.	Er lebt in einer Stadt.
He looked bored during the meeting.	Er sah während des Treffens gelangweilt aus.
He looks like a typical tourist.	Er sieht aus wie ein typischer Tourist.
He lost his leather wallet.	Er hat seine Lederbrieftasche verloren.
He loves his wife dearly.	Er liebt seine Frau sehr.
He loves tea; conversely, she prefers coffee.	Er liebt Tee; umgekehrt bevorzugt sie Kaffee.
He made a risky stock investment.	Er tätigte eine riskante Aktieninvestition.
He made a significant improvement.	Er hat eine deutliche Verbesserung erzielt.
He meets all the necessary criteria.	Er erfüllt alle notwendigen Kriterien.
He negotiated a better salary.	Er handelte ein besseres Gehalt aus.
He never listens.	Er hört nie zu.
He ordered a cold beer.	Er bestellte ein kühles Bier.
He oversees a team of ten.	Er leitet ein zehnköpfiges Team.
He paid off the loan.	Er hat den Kredit zurückgezahlt.
He patted me on the back.	Er klopfte mir auf die Schulter.
He plays piano well.	Er spielt gut Klavier.
He plays sport every weekend.	Er treibt jedes Wochenende Sport.
He pointed out the exit.	Er zeigte auf den Ausgang.
He postulated a different result.	Er postulierte ein anderes Ergebnis.
He questioned the party's core ideology.	Er stellte die Kernideologie der Partei in Frage.
He ran a thousand meters.	Er lief tausend Meter.
He ran down the stairs.	Er rannte die Treppe hinunter.
He ran into the street.	Er rannte auf die Straße.
He ran towards the station.	Er rannte zum Bahnhof.
He reacted with some skepticism.	Er reagierte mit einiger Skepsis.
He reads the newspaper daily.	Er liest täglich die Zeitung.
He refused to acknowledge the mistake.	Er weigerte sich, den Fehler anzuerkennen.
He resigned and subsequently left town.	Er trat zurück und verließ daraufhin die Stadt.
He rides a brown horse.	Er reitet ein braunes Pferd.
He said it was fine.	Er sagte, es sei in Ordnung.
He sat at his desk all day.	Er saß den ganzen Tag an seinem Schreibtisch.
He sat in the back seat.	Er saß auf dem Rücksitz.
He sat on a large rock.	Er saß auf einem großen Felsen.
He scored a goal in the game.	Er erzielte in dem Spiel ein Tor.
He set up the new printer.	Er richtete den neuen Drucker ein.
He shook his head in disagreement.	Er schüttelte widersprüchlich den Kopf.
He should study more.	Er sollte mehr lernen.
He slept while it rained.	Er schlief, während es regnete.
He slowly regained consciousness.	Er erlangte langsam das Bewusstsein wieder.
He smiled and she did likewise.	Er lächelte und sie tat es ihm gleich.
He smiled because he was happy.	Er lächelte, weil er glücklich war.
He spent a considerable sum.	Er gab eine beträchtliche Summe aus.
He spent the least time on it.	Er verbrachte die wenigste Zeit damit.
He spoke XKEYX during the meeting.	Während des Treffens sprach er XKEYX.
He spoke from a wooden platform.	Er sprach von einer Holzplattform aus.
He stared at the computer screen.	Er starrte auf den Computerbildschirm.
He stared at the mirror.	Er starrte in den Spiegel.
He started a new job.	Er hat einen neuen Job begonnen.
He started a software company.	Er gründete ein Softwareunternehmen.
He steered the boat carefully.	Er steuerte das Boot vorsichtig.
He stepped on my left foot.	Er trat mir auf den linken Fuß.
He studied the local economy.	Er studierte die lokale Wirtschaft.
He studies professional ethics.	Er studiert Berufsethik.
He swung the bat hard.	Er schwang den Schläger kräftig.
He takes a pragmatic approach.	Er verfolgt einen pragmatischen Ansatz.
He tied a scarf around his neck.	Er band sich einen Schal um den Hals.
He told me he would come.	Er sagte mir, dass er kommen würde.
He took a quick shower.	Er duschte schnell.
He took a sip of his drink.	Er nahm einen Schluck von seinem Getränk.
He tried to ascertain her location.	Er versuchte, ihren Standort herauszufinden.
He tried to claim the prize.	Er versuchte, den Preis einzufordern.
He tried to obtain more info.	Er versuchte, weitere Informationen zu erhalten.
He tried to refute the claim.	Er versuchte, die Behauptung zu widerlegen.
He turned down the job offer.	Er lehnte das Stellenangebot ab.
He usually arrives at six.	Normalerweise kommt er um sechs.
He waited at the bus stop.	Er wartete an der Bushaltestelle.
He wants a career in law.	Er möchte eine juristische Karriere machen.
He wants to be a pilot.	Er möchte Pilot werden.
He wants to help society.	Er möchte der Gesellschaft helfen.
He was barely coherent after sleep.	Nach dem Schlaf war er kaum noch bei Bewusstsein.
He was chosen as the delegate.	Er wurde zum Delegierten gewählt.
He was tired after the gym.	Er war müde nach dem Fitnessstudio.
He was warned and acted accordingly.	Er wurde gewarnt und handelte entsprechend.
He wears a black hat.	Er trägt einen schwarzen Hut.
He went to the dentist.	Er ging zum Zahnarzt.
He won at the expense of others.	Er hat auf Kosten anderer gewonnen.
He won, notwithstanding the odds.	Er hat trotz aller Chancen gewonnen.
He wore a scarf on his neck.	Er trug einen Schal um den Hals.
He wore a wide belt.	Er trug einen breiten Gürtel.
He wore black trousers today.	Er trug heute schwarze Hosen.
He works as a Java programmer	Er arbeitet als Java-Programmierer
He works as a life coach.	Er arbeitet als Lebensberater.
He works in the finance department.	Er arbeitet in der Finanzabteilung.
He works in the judiciary.	Er arbeitet in der Justiz.
He works in the vegetable garden.	Er arbeitet im Gemüsegarten.
He works on a cargo ship.	Er arbeitet auf einem Frachtschiff.
