#NAME?	#NAME?
(1) (Japanese) maple	(1) (ಜಪಾನೀಸ್) ಮೇಪಲ್
opt	ಆಯ್ಕೆ
optical	ಆಪ್ಟಿಕಲ್
optimism	ಆಶಾವಾದ
optimistic	ಆಶಾವಾದಿ
optimize	ಅತ್ಯುತ್ತಮವಾಗಿಸು
option	ಆಯ್ಕೆಯನ್ನು
opulent	ಶ್ರೀಮಂತ
or	ಅಥವಾ
or / alternatively	ಅಥವಾ / ಪರ್ಯಾಯವಾಗಿ
or; otherwise	ಅಥವಾ; ಇಲ್ಲದಿದ್ದರೆ
or; possibly	ಅಥವಾ; ಬಹುಶಃ
oral	ಮೌಖಿಕ
orange	ಕಿತ್ತಳೆ
orange (color)	ಕಿತ್ತಳೆ (ಬಣ್ಣ)
orbit; railroad track	ಕಕ್ಷೆ; ರೈಲು ಹಳಿ
orchestra	ಆರ್ಕೆಸ್ಟ್ರಾ
order	ಆದೇಶ
order (noun)	ಆದೇಶ (ನಾಮಪದ)
order / command	ಆದೇಶ / ಆದೇಶ
order / sequence	ಆದೇಶ / ಅನುಕ್ರಮ
order / turn	ಆದೇಶ / ತಿರುವು
order; command; decree; directive; (software) instruction	ಆದೇಶ; ಆಜ್ಞೆ; ತೀರ್ಪು; ನಿರ್ದೇಶನ; (ಸಾಫ್ಟ್‌ವೇರ್) ಸೂಚನೆ
order; request	ಆದೇಶ; ವಿನಂತಿ
order; rules; law	ಆದೇಶ; ನಿಯಮಗಳು; ಕಾನೂನು
order; sequence; procedure	ಆದೇಶ; ಅನುಕ್ರಮ; ಕಾರ್ಯವಿಧಾನ
order; system; structure; set-up; organization	ಆದೇಶ; ವ್ಯವಸ್ಥೆ; ರಚನೆ; ಸೆಟ್ ಅಪ್; ಸಂಘಟನೆ
order; turn	ಆದೇಶ; ತಿರುಗಿ
ordinary	ಸಾಮಾನ್ಯ
ordinary; regular; everyday; usual	ಸಾಮಾನ್ಯ; ನಿಯಮಿತ; ಪ್ರತಿದಿನ; ಸಾಮಾನ್ಯ
ordinary; usual; in general; briefly	ಸಾಮಾನ್ಯ; ಸಾಮಾನ್ಯ; ಸಾಮಾನ್ಯವಾಗಿ; ಸಂಕ್ಷಿಪ್ತವಾಗಿ
organ	ಅಂಗ
organ (of body); instrument	ಅಂಗ (ದೇಹದ); ವಾದ್ಯ
organ; mechanism; facility; engine	ಅಂಗ; ಯಾಂತ್ರಿಕತೆ; ಸೌಲಭ್ಯ; ಎಂಜಿನ್
organic	ಸಾವಯವ
organism	ಜೀವಿ
organization	ಸಂಘಟನೆ
organization; association	ಸಂಘಟನೆ; ಸಂಘ
organization; composition	ಸಂಘಟನೆ; ಸಂಯೋಜನೆ
organizational	ಸಾಂಸ್ಥಿಕ
organize	ಸಂಘಟಿಸಿ
organized	ಆಯೋಜಿಸಲಾಗಿದೆ
organizer	ಸಂಘಟಕ
orientation	ದೃಷ್ಟಿಕೋನ
origin	ಮೂಲ
origin (coordinates); starting point	ಮೂಲ (ನಿರ್ದೇಶನಗಳು); ಆರಂಭಿಕ ಹಂತ
origin; beginning	ಮೂಲ; ಆರಂಭ
origin; beginning; rise	ಮೂಲ; ಆರಂಭ; ಏರಿಕೆ
origin; primeval	ಮೂಲ; ಪ್ರಾಚೀನ
original	ಮೂಲ
original (text)	ಮೂಲ (ಪಠ್ಯ)
original document	ಮೂಲ ದಾಖಲೆ
original form; base form	ಮೂಲ ರೂಪ; ಮೂಲ ರೂಪ
original work	ಮೂಲ ಕೆಲಸ
original; primitive; primary; fundamental; raw	ಮೂಲ; ಪ್ರಾಚೀನ; ಪ್ರಾಥಮಿಕ; ಮೂಲಭೂತ; ಕಚ್ಚಾ
originally	ಮೂಲತಃ
originally; by nature; from the start	ಮೂಲತಃ; ಸ್ವಭಾವತಃ; ಆರಂಭದಿಂದ
originally; primarily; essentially; logically; naturally	ಮೂಲತಃ; ಪ್ರಾಥಮಿಕವಾಗಿ; ಮೂಲಭೂತವಾಗಿ; ತಾರ್ಕಿಕವಾಗಿ; ಸ್ವಾಭಾವಿಕವಾಗಿ
originate	ಹುಟ್ಟಿಕೊಳ್ಳುತ್ತವೆ
orphan	ಅನಾಥ
other	ಇತರೆ
other (esp. places and things)	ಇತರೆ (ಉದಾ. ಸ್ಥಳಗಳು ಮತ್ತು ವಸ್ತುಗಳು)
other place; the rest	ಇತರ ಸ್ಥಳ; ಉಳಿದವು
otherwise	ಇಲ್ಲದಿದ್ದರೆ
ought	ಬೇಕು
our	ನಮ್ಮ
our person in charge	ನಮ್ಮ ಉಸ್ತುವಾರಿ ವ್ಯಕ್ತಿ
ours	ನಮ್ಮದು
ourselves	ನಾವೇ
out	ಹೊರಗೆ
out of the blue	ನೀಲಿ ಹೊರಗೆ
outbreak	ಏಕಾಏಕಿ
outcome	ಫಲಿತಾಂಶ
outdoor	ಹೊರಾಂಗಣ
outdoors	ಹೊರಾಂಗಣದಲ್ಲಿ
outer	ಹೊರಗಿನ
outfit	ಸಜ್ಜು
outgoing	ಹೊರಹೋಗುವ
outing	ವಿಹಾರ
outing; going out	ವಿಹಾರ; ಹೊರಗೆ ಹೋಗುತ್ತಿದೆ
outlet	ಔಟ್ಲೆಟ್
outline	ರೂಪರೇಖೆ
outline; summary; gist; in brief	ರೂಪರೇಖೆ; ಸಾರಾಂಶ; ಸಾರಾಂಶ; ಸಂಕ್ಷಿಪ್ತವಾಗಿ
outlook	ಮೇಲ್ನೋಟ
outnumber	ಸಂಖ್ಯೆ ಮೀರಿದೆ
output	ಔಟ್ಪುಟ್
outrage	ಆಕ್ರೋಶ
outside	ಹೊರಗೆ
outside the area	ಪ್ರದೇಶದ ಹೊರಗೆ
outsider	ಹೊರಗಿನವನು
outskirts	ಹೊರವಲಯಗಳು
outstanding	ಮಹೋನ್ನತ
outward appearance	ಬಾಹ್ಯ ನೋಟ
oven	ಒಲೆಯಲ್ಲಿ
over	ಮುಗಿದಿದೆ
over there	ಅಲ್ಲಿ
over there, that place over there	ಅಲ್ಲಿ, ಅಲ್ಲಿ ಆ ಸ್ಥಳ
overall	ಒಟ್ಟಾರೆ
overall victory; championship	ಒಟ್ಟಾರೆ ಗೆಲುವು; ಚಾಂಪಿಯನ್ಶಿಪ್
overbearing; coercive; pushy; forcible; high-handed	ಮಿತಿಮೀರಿದ; ಬಲವಂತ; ತಳ್ಳುವ; ಬಲವಂತವಾಗಿ; ಎತ್ತರದ
overcome	ಜಯಿಸಲು
overlook	ಕಡೆಗಣಿಸಿ
overly	ಅತಿಯಾಗಿ
overnight	ರಾತ್ರಿ
overseas	ಸಾಗರೋತ್ತರ
overseas / abroad	ಸಾಗರೋತ್ತರ / ವಿದೇಶದಲ್ಲಿ
overseas student	ಸಾಗರೋತ್ತರ ವಿದ್ಯಾರ್ಥಿ
oversee	ಮೇಲ್ವಿಚಾರಣೆ
overtime work	ಅಧಿಕಾವಧಿ ಕೆಲಸ
overturn	ಉರುಳಿಸು
overwhelm	ಅತಿಕ್ರಮಿಸಿ
overwhelming	ಅಗಾಧ
overwork; strain	ಅತಿಯಾದ ಕೆಲಸ; ಸ್ಟ್ರೈನ್
owe	ಋಣಿಯಾಗಿದೆ
owl	ಗೂಬೆ
own	ಸ್ವಂತ
owner	ಮಾಲೀಕರು
ownership	ಮಾಲೀಕತ್ವ
oxygen	ಆಮ್ಲಜನಕ
p.m. / afternoon	p.m. / ಮಧ್ಯಾಹ್ನ
pace	ಗತಿ
pack	ಪ್ಯಾಕ್
package	ಪ್ಯಾಕೇಜ್
packed tightly	ಬಿಗಿಯಾಗಿ ಪ್ಯಾಕ್ ಮಾಡಲಾಗಿದೆ
packet	ಪ್ಯಾಕೆಟ್
packing (in cans); canning; canned goods; tin can	ಪ್ಯಾಕಿಂಗ್ (ಕ್ಯಾನ್ಗಳಲ್ಲಿ); ಕ್ಯಾನಿಂಗ್; ಪೂರ್ವಸಿದ್ಧ ಸರಕುಗಳು; ತವರ ಡಬ್ಬಿ
packing; baling; crating	ಪ್ಯಾಕಿಂಗ್; ಬೇಲಿಂಗ್; ಕ್ರೇಟಿಂಗ್
packing; wrapping	ಪ್ಯಾಕಿಂಗ್; ಸುತ್ತುವುದು
pad	ಪ್ಯಾಡ್
paddy field; farm	ಭತ್ತದ ಗದ್ದೆ; ಕೃಷಿ
page	ಪುಟ
pain	ನೋವು
pain; ache; sore; grief; distress	ನೋವು; ನೋವು; ನೋಯುತ್ತಿರುವ; ದುಃಖ; ಸಂಕಟ
pain; agony	ನೋವು; ಸಂಕಟ
pain; trouble	ನೋವು; ತೊಂದರೆ
painful	ನೋವಿನಿಂದ ಕೂಡಿದೆ
painful / hard	ನೋವಿನ / ಕಠಿಣ
painful / hurts	ನೋವಿನ / ನೋವುಂಟುಮಾಡುತ್ತದೆ
painful; difficult	ನೋವಿನಿಂದ ಕೂಡಿದ; ಕಷ್ಟ
painful; heart-breaking	ನೋವಿನಿಂದ ಕೂಡಿದ; ಹೃದಯ ಮುರಿಯುವ
paint	ಬಣ್ಣ
painter	ವರ್ಣಚಿತ್ರಕಾರ
painter; artist	ವರ್ಣಚಿತ್ರಕಾರ; ಕಲಾವಿದ
painting	ಚಿತ್ರಕಲೆ
painting; picture; drawing	ಚಿತ್ರಕಲೆ; ಚಿತ್ರ; ರೇಖಾಚಿತ್ರ
pair	ಜೋಡಿ
pair; couple; set	ಜೋಡಿ; ದಂಪತಿಗಳು; ಸೆಟ್
pajamas	ಪೈಜಾಮಾಗಳು
palace	ಅರಮನೆ
pale	ತೆಳು
pale; pallid	ತೆಳು; ಮಸುಕಾದ
palm	ಅಂಗೈ
pan	ಪ್ಯಾನ್
panda	ಪಾಂಡ
pandemic	ಸಾಂಕ್ರಾಮಿಕ
panel	ಫಲಕ
panic	ಗಾಬರಿ
pants	ಪ್ಯಾಂಟ್
paper	ಕಾಗದ
paper money; notes; bills	ಕಾಗದದ ಹಣ; ಟಿಪ್ಪಣಿಗಳು; ಬಿಲ್ಲುಗಳು
paper sliding door	ಕಾಗದದ ಜಾರುವ ಬಾಗಿಲು
parade	ಮೆರವಣಿಗೆ
paradigm	ಮಾದರಿ
paradise	ಸ್ವರ್ಗ
paradox	ವಿರೋಧಾಭಾಸ
paragraph	ಪ್ಯಾರಾಗ್ರಾಫ್
parallel	ಸಮಾನಾಂತರ
parameter	ನಿಯತಾಂಕ
paramount	ಅತಿಮುಖ್ಯ
parcel; package	ಪಾರ್ಸೆಲ್; ಪ್ಯಾಕೇಜ್
pardon; forgiveness; forbearance	ಕ್ಷಮಿಸು; ಕ್ಷಮೆ; ಸಹನೆ
parent	ಪೋಷಕ
parental	ಪೋಷಕರ
parenthesis; brackets	ಆವರಣ; ಆವರಣಗಳು
parents	ಪೋಷಕರು
parish	ಪ್ಯಾರಿಷ್
park	ಉದ್ಯಾನವನ
parking	ಪಾರ್ಕಿಂಗ್
parking (e.g. car)	ಪಾರ್ಕಿಂಗ್ (ಉದಾ. ಕಾರು)
parking lot	ಪಾರ್ಕಿಂಗ್ ಸ್ಥಳ
parliament	ಸಂಸತ್ತು
parliamentary	ಸಂಸದೀಯ
parlor; guest room	ಪಾರ್ಲರ್; ಅತಿಥಿ ಕೊಠಡಿ
part	ಭಾಗ
part of word written in kana	ಕಾನಾದಲ್ಲಿ ಬರೆದ ಪದದ ಭಾಗ
part-time	ಅರೆಕಾಲಿಕ
part-time job	ಅರೆಕಾಲಿಕ ಕೆಲಸ
part; assigning (allotment of) parts; role; duties	ಭಾಗ; ಭಾಗಗಳನ್ನು ನಿಯೋಜಿಸುವುದು (ಹಂಚಿಕೆ); ಪಾತ್ರ; ಕರ್ತವ್ಯಗಳು
partial	ಭಾಗಶಃ
partially	ಭಾಗಶಃ
participant	ಭಾಗವಹಿಸುವವರು
participate	ಭಾಗವಹಿಸುತ್ತಾರೆ
participation	ಭಾಗವಹಿಸುವಿಕೆ
participation; taking part in; participating in; being concerned in	ಭಾಗವಹಿಸುವಿಕೆ; ಭಾಗವಹಿಸುವಿಕೆ; ಭಾಗವಹಿಸುವಿಕೆ; ನಲ್ಲಿ ಚಿಂತಿಸಲಾಗುತ್ತಿದೆ
particular	ನಿರ್ದಿಷ್ಟ
particular case	ನಿರ್ದಿಷ್ಟ ಪ್ರಕರಣ
particularly	ನಿರ್ದಿಷ್ಟವಾಗಿ
particularly; especially	ನಿರ್ದಿಷ್ಟವಾಗಿ; ವಿಶೇಷವಾಗಿ
parting	ಅಗಲುವಿಕೆ
parting; separation; farewell	ಅಗಲುವಿಕೆ; ಪ್ರತ್ಯೇಕತೆ; ಬೀಳ್ಕೊಡುಗೆ
partly	ಭಾಗಶಃ
partner	ಪಾಲುದಾರ
partnership	ಪಾಲುದಾರಿಕೆ
parts; accessories	ಭಾಗಗಳು; ಬಿಡಿಭಾಗಗಳು
party	ಪಕ್ಷ
party (political)	ಪಕ್ಷ (ರಾಜಕೀಯ)
party of ... people	ಜನರ ಪಕ್ಷ
party; banquet	ಪಕ್ಷ; ಔತಣಕೂಟ
pass	ಪಾಸ್
passable	ರವಾನಿಸಬಹುದಾದ
passage	ಅಂಗೀಕಾರ
passage through; passing	ಮೂಲಕ ಹಾದುಹೋಗು; ಹಾದುಹೋಗುವ
passage; expiration; progress	ಅಂಗೀಕಾರ; ಮುಕ್ತಾಯ; ಪ್ರಗತಿ
passage; passing	ಅಂಗೀಕಾರ; ಹಾದುಹೋಗುವ
passage; pathway	ಅಂಗೀಕಾರ; ಮಾರ್ಗ
passage; place; point; part	ಅಂಗೀಕಾರ; ಸ್ಥಳ; ಬಿಂದು; ಭಾಗ
passbook	ಪಾಸ್ಬುಕ್
passenger	ಪ್ರಯಾಣಿಕ
passing	ಹಾದುಹೋಗುವ
passion	ಉತ್ಸಾಹ
passionate	ಭಾವೋದ್ರಿಕ್ತ
passive	ನಿಷ್ಕ್ರಿಯ
passport	ಪಾಸ್ಪೋರ್ಟ್
password	ಪಾಸ್ವರ್ಡ್
past	ಹಿಂದಿನ
past (the hour)	ಕಳೆದ (ಗಂಟೆ)
past events; bygones	ಹಿಂದಿನ ಘಟನೆಗಳು; ಹಿಂದಿನ ಕಾಲಗಳು
past; after	ಹಿಂದಿನದು; ನಂತರ
pasta	ಪಾಸ್ಟಾ
paste; starch	ಪೇಸ್ಟ್; ಪಿಷ್ಟ
pastor	ಪಾದ್ರಿ
pastry	ಪೇಸ್ಟ್ರಿ
patch	ತೇಪೆ
patent	ಪೇಟೆಂಟ್
path	ಮಾರ್ಗ
pathway	ಮಾರ್ಗ
patience	ತಾಳ್ಮೆ
patience / perseverance	ತಾಳ್ಮೆ / ಪರಿಶ್ರಮ
patience; endurance; perseverance	ತಾಳ್ಮೆ; ಸಹಿಷ್ಣುತೆ; ಪರಿಶ್ರಮ
patient	ರೋಗಿಯ
patrol	ಗಸ್ತು
patron	ಪೋಷಕ
pattern	ಮಾದರಿ
pattern; figure; design	ಮಾದರಿ; ಆಕೃತಿ; ವಿನ್ಯಾಸ
paulownia tree	ಪೌಲೋನಿಯಾ ಮರ
pause	ವಿರಾಮ
pay	ಪಾವತಿಸಿ
payment	ಪಾವತಿ
payment / checkout	ಪಾವತಿ / ಚೆಕ್ಔಟ್
payment; allowance	ಪಾವತಿ; ಭತ್ಯೆ
peace	ಶಾಂತಿ
peace; harmony	ಶಾಂತಿ; ಸಾಮರಸ್ಯ
peaceful	ಶಾಂತಿಯುತ
peach	ಪೀಚ್
peach pink	ಪೀಚ್ ಗುಲಾಬಿ
peak	ಶಿಖರ
peasant	ರೈತ
peculiar	ವಿಶಿಷ್ಟವಾದ
peculiarity; uniqueness; characteristic	ವಿಶಿಷ್ಟತೆ; ಅನನ್ಯತೆ; ವಿಶಿಷ್ಟ
pedestrian traffic	ಪಾದಚಾರಿ ಸಂಚಾರ
peer	ಪೀರ್
pen	ಪೆನ್ನು
penalty	ದಂಡ
penalty; sentence; punishment	ದಂಡ; ವಾಕ್ಯ; ಶಿಕ್ಷೆ
pencil	ಪೆನ್ಸಿಲ್
penetration; invasion; raid; aggression; trespass	ನುಗ್ಗುವಿಕೆ; ಆಕ್ರಮಣ; ದಾಳಿ; ಆಕ್ರಮಣಶೀಲತೆ; ಅತಿಕ್ರಮಣ
penguin	ಪೆಂಗ್ವಿನ್
peninsula	ಪರ್ಯಾಯ ದ್ವೀಪ
penmanship	ಬರಹ
penny	ಪೆನ್ನಿ
pension	ಪಿಂಚಣಿ
people	ಜನರು
pepper	ಮೆಣಸು
per	ಪ್ರತಿ
per cent	ಶೇ
perceive	ಗ್ರಹಿಸುತ್ತಾರೆ
percentage	ಶೇಕಡಾವಾರು
perception	ಗ್ರಹಿಕೆ
perception; intuition; the sixth sense	ಗ್ರಹಿಕೆ; ಅಂತಃಪ್ರಜ್ಞೆ; ಆರನೇ ಇಂದ್ರಿಯ
perfect	ಪರಿಪೂರ್ಣ
perfect score	ಪರಿಪೂರ್ಣ ಸ್ಕೋರ್
perfection; completeness	ಪರಿಪೂರ್ಣತೆ; ಸಂಪೂರ್ಣತೆ
perfection; completeness; flawless	ಪರಿಪೂರ್ಣತೆ; ಸಂಪೂರ್ಣತೆ; ದೋಷರಹಿತ
perfection; harmony; peace; smoothness; completeness; satisfaction; integrity	ಪರಿಪೂರ್ಣತೆ; ಸಾಮರಸ್ಯ; ಶಾಂತಿ; ಮೃದುತ್ವ; ಸಂಪೂರ್ಣತೆ; ತೃಪ್ತಿ; ಸಮಗ್ರತೆ
perfectly	ಸಂಪೂರ್ಣವಾಗಿ
perform	ನಿರ್ವಹಿಸುತ್ತವೆ
performance	ಪ್ರದರ್ಶನ
perfume	ಸುಗಂಧ ದ್ರವ್ಯ
perhaps	ಬಹುಶಃ
perhaps; probably	ಬಹುಶಃ; ಬಹುಶಃ
period	ಅವಧಿ
period / duration	ಅವಧಿ / ಅವಧಿ
period; term	ಅವಧಿ; ಅವಧಿ
period; time	ಅವಧಿ; ಸಮಯ
permanent	ಶಾಶ್ವತ
permanently	ಶಾಶ್ವತವಾಗಿ
permission	ಅನುಮತಿ
permission; approval	ಅನುಮತಿ; ಅನುಮೋದನೆ
permission; pardon	ಅನುಮತಿ; ಕ್ಷಮಿಸಿ
permit	ಅನುಮತಿ
perpetuate	ಶಾಶ್ವತಗೊಳಿಸು
persist	ನಿರಂತರ
persistent	ನಿರಂತರ
person	ವ್ಯಕ್ತಿ
person; way of doing	ವ್ಯಕ್ತಿ; ಮಾಡುವ ವಿಧಾನ
personal	ವೈಯಕ್ತಿಕ
personal computer	ವೈಯಕ್ತಿಕ ಕಂಪ್ಯೂಟರ್
personal expenses; pocket money; spending money; incidental expenses; allowance	ವೈಯಕ್ತಿಕ ವೆಚ್ಚಗಳು; ಪಾಕೆಟ್ ಮನಿ; ಹಣವನ್ನು ಖರ್ಚು ಮಾಡುವುದು; ಪ್ರಾಸಂಗಿಕ ವೆಚ್ಚಗಳು; ಭತ್ಯೆ
personal history; career	ವೈಯಕ್ತಿಕ ಇತಿಹಾಸ; ವೃತ್ತಿ
personality	ವ್ಯಕ್ತಿತ್ವ
personally	ವೈಯಕ್ತಿಕವಾಗಿ
personnel	ಸಿಬ್ಬಂದಿ
persons; this and that; here and there; everywhere	ವ್ಯಕ್ತಿಗಳು; ಇದು ಮತ್ತು ಅದು; ಇಲ್ಲಿ ಮತ್ತು ಅಲ್ಲಿ; ಎಲ್ಲೆಡೆ
perspective	ದೃಷ್ಟಿಕೋನ
perspective; unobstructed view; outlook; forecast; prospect; insight	ದೃಷ್ಟಿಕೋನ; ಅಡೆತಡೆಯಿಲ್ಲದ ನೋಟ; ಮೇಲ್ನೋಟ; ಮುನ್ಸೂಚನೆ; ನಿರೀಕ್ಷೆ; ಒಳನೋಟ
persuade	ಮನವೊಲಿಸಿ
persuasive	ಮನವೊಲಿಸುವ
pertinent; appropriate; adequate; relevance	ಸಂಬಂಧಪಟ್ಟ; ಸೂಕ್ತ; ಸಮರ್ಪಕ; ಪ್ರಸ್ತುತತೆ
pervasive	ವ್ಯಾಪಿಸಿರುವ
pessimistic	ನಿರಾಶಾವಾದಿ
pet	ಸಾಕುಪ್ರಾಣಿ
petition	ಮನವಿ
petrol	ಪೆಟ್ರೋಲ್
pharmacy	ಔಷಧಾಲಯ
pharmacy; drugstore	ಔಷಧಾಲಯ; ಔಷಧಿ ಅಂಗಡಿ
phase	ಹಂತ
phenomenon	ವಿದ್ಯಮಾನ
philosopher	ತತ್ವಜ್ಞಾನಿ
philosophical	ತಾತ್ವಿಕ
philosophy	ತತ್ವಶಾಸ್ತ್ರ
phone	ಫೋನ್
phone extension; indoor wiring; inner line	ಫೋನ್ ವಿಸ್ತರಣೆ; ಒಳಾಂಗಣ ವೈರಿಂಗ್; ಒಳಗಿನ ಸಾಲು
phone number	ದೂರವಾಣಿ ಸಂಖ್ಯೆ
photo	ಫೋಟೋ
photograph	ಛಾಯಾಚಿತ್ರ
photographer	ಛಾಯಾಗ್ರಾಹಕ
photographing	ಛಾಯಾಚಿತ್ರ
photography	ಛಾಯಾಗ್ರಹಣ
phrase	ನುಡಿಗಟ್ಟು
phrase; complaint	ನುಡಿಗಟ್ಟು; ದೂರು
physical	ಭೌತಿಕ
physical education	ದೈಹಿಕ ಶಿಕ್ಷಣ
physical education; gymnastics; athletics	ದೈಹಿಕ ಶಿಕ್ಷಣ; ಜಿಮ್ನಾಸ್ಟಿಕ್ಸ್; ಅಥ್ಲೆಟಿಕ್ಸ್
physician	ವೈದ್ಯ
physics	ಭೌತಶಾಸ್ತ್ರ
piano	ಪಿಯಾನೋ
pick	ಆರಿಸಿ
pickpocket	ಜೇಬುಗಳ್ಳ
picture	ಚಿತ್ರ
picture / painting	ಚಿತ್ರ / ಚಿತ್ರಕಲೆ
picture book	ಚಿತ್ರ ಪುಸ್ತಕ
picture; photograph	ಚಿತ್ರ; ಛಾಯಾಚಿತ್ರ
piece	ತುಂಡು
pig	ಹಂದಿ
pile	ರಾಶಿ
pill	ಮಾತ್ರೆ
pillow	ದಿಂಬು
pillow; bolster	ದಿಂಬು; ಪುಷ್ಟೀಕರಿಸು
pilot	ಪೈಲಟ್
pin	ಪಿನ್
pineapple	ಅನಾನಸ್
pink	ಗುಲಾಬಿ
pioneer	ಪ್ರವರ್ತಕ
pipe	ಪೈಪ್
pipe; tube	ಪೈಪ್; ಟ್ಯೂಬ್
pipeline	ಪೈಪ್ಲೈನ್
pirate	ದರೋಡೆಕೋರ
pit	ಹಳ್ಳ
pitch	ಪಿಚ್
pitch black	ಪಿಚ್ ಕಪ್ಪು
pitiful; a pity	ಕರುಣಾಜನಕ; ಒಂದು ಕರುಣೆ
pity	ಕರುಣೆ
pivotal	ಪ್ರಮುಖ
pizza	ಪಿಜ್ಜಾ
place	ಸ್ಥಳ
place / spot	ಸ್ಥಳ / ಸ್ಥಳ
place name	ಸ್ಥಳದ ಹೆಸರು
place of origin; habitat	ಮೂಲದ ಸ್ಥಳ; ಆವಾಸಸ್ಥಾನ
place of work	ಕೆಲಸದ ಸ್ಥಳ
place where things are sold	ವಸ್ತುಗಳನ್ನು ಮಾರಾಟ ಮಾಡುವ ಸ್ಥಳ
place; field (physics)	ಸ್ಥಳ; ಕ್ಷೇತ್ರ (ಭೌತಶಾಸ್ತ್ರ)
place; situation; position; location	ಸ್ಥಳ; ಪರಿಸ್ಥಿತಿ; ಸ್ಥಾನ; ಸ್ಥಳ
placement	ನಿಯೋಜನೆ
plain	ಸರಳ
plain; open field	ಸರಳ; ತೆರೆದ ಮೈದಾನ
plain; simple	ಸರಳ; ಸರಳ
plain; unfigured	ಸರಳ; ಆಕೃತಿಯಿಲ್ಲದ
plaintiff	ಫಿರ್ಯಾದಿ
plan	ಯೋಜನೆ
plan / project	ಯೋಜನೆ / ಯೋಜನೆ
plan; design	ಯೋಜನೆ; ವಿನ್ಯಾಸ
plan; project; schedule; scheme; program	ಯೋಜನೆ; ಯೋಜನೆ; ವೇಳಾಪಟ್ಟಿ; ಯೋಜನೆ; ಕಾರ್ಯಕ್ರಮ
plan; suffix meaning draft	ಯೋಜನೆ; ಪ್ರತ್ಯಯ ಎಂದರೆ ಕರಡು
plane	ವಿಮಾನ
plane ticket	ವಿಮಾನ ಟಿಕೆಟ್
planet	ಗ್ರಹ
planning	ಯೋಜನೆ
planning; project	ಯೋಜನೆ; ಯೋಜನೆ
plant	ಸಸ್ಯ
plant; vegetation	ಸಸ್ಯ; ಸಸ್ಯವರ್ಗ
plastic	ಪ್ಲಾಸ್ಟಿಕ್
plate	ಪ್ಲೇಟ್
plate; dish	ಪ್ಲೇಟ್; ಭಕ್ಷ್ಯ
plateau	ಪ್ರಸ್ಥಭೂಮಿ
platform	ವೇದಿಕೆ
platform / boarding area	ವೇದಿಕೆ / ಬೋರ್ಡಿಂಗ್ ಪ್ರದೇಶ
platform / stop	ವೇದಿಕೆ / ನಿಲುಗಡೆ
plausible	ತೋರಿಕೆಯ
play	ಆಡುತ್ತಾರೆ
play (theatrical)	ನಾಟಕ (ನಾಟಕ)
play; drama	ಆಟ; ನಾಟಕ
playback	ಪ್ಲೇಬ್ಯಾಕ್
player	ಆಟಗಾರ
plaza	ಪ್ಲಾಜಾ
plea	ಮನವಿ
plead	ಮನವಿ
pleasant	ಆಹ್ಲಾದಕರ
pleasant; agreeable	ಆಹ್ಲಾದಕರ; ಒಪ್ಪುವ
pleasant; agreeable; comfortable	ಆಹ್ಲಾದಕರ; ಒಪ್ಪುವ; ಆರಾಮದಾಯಕ
pleasant; happy	ಆಹ್ಲಾದಕರ; ಸಂತೋಷವಾಗಿದೆ
please	ದಯವಿಟ್ಟು
please (go ahead)	ದಯವಿಟ್ಟು (ಮುಂದುವರಿಯಿರಿ)
please come (respect request)	ದಯವಿಟ್ಟು ಬನ್ನಿ (ಗೌರವ ಕೋರಿಕೆ)
please command (humble)	ದಯವಿಟ್ಟು ಆಜ್ಞಾಪಿಸಿ (ವಿನಮ್ರ)
please confirm	ದಯವಿಟ್ಟು ಖಚಿತಪಡಿಸಿ
please consider	ದಯವಿಟ್ಟು ಪರಿಗಣಿಸಿ
please find enclosed	ದಯವಿಟ್ಟು ಲಗತ್ತಿಸಿರುವುದನ್ನು ಕಂಡುಹಿಡಿಯಿರಿ
please forgive / allow	ದಯವಿಟ್ಟು ಕ್ಷಮಿಸಿ / ಅನುಮತಿಸಿ
please give it a read	ದಯವಿಟ್ಟು ಅದನ್ನು ಓದಲು ನೀಡಿ
please let me know (humble)	ದಯವಿಟ್ಟು ನನಗೆ ತಿಳಿಸಿ (ವಿನಮ್ರ)
please look (respect request)	ದಯವಿಟ್ಟು ನೋಡಿ (ಗೌರವ ಕೋರಿಕೆ)
please review (respect)	ದಯವಿಟ್ಟು ಪರಿಶೀಲಿಸಿ (ಗೌರವ)
please speak slowly	ದಯವಿಟ್ಟು ನಿಧಾನವಾಗಿ ಮಾತನಾಡಿ
please tell me	ದಯವಿಟ್ಟು ನನಗೆ ತಿಳಿಸಿ
please treat me well	ದಯವಿಟ್ಟು ನನ್ನನ್ನು ಚೆನ್ನಾಗಿ ನಡೆಸಿಕೊಳ್ಳಿ
please wait a moment	ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ನಿರೀಕ್ಷಿಸಿ
please write it	ದಯವಿಟ್ಟು ಅದನ್ನು ಬರೆಯಿರಿ
please; kindly; by all means	ದಯವಿಟ್ಟು; ದಯೆಯಿಂದ; ಎಲ್ಲಾ ವಿಧಾನಗಳಿಂದ
pleased	ಸಂತಸವಾಯಿತು
pleased to meet you	ನಿಮ್ಮನ್ನು ಭೇಟಿಯಾಗಲು ಸಂತೋಷವಾಗಿದೆ
pleasure	ಸಂತೋಷ
pleasure; amusement	ಆನಂದ; ಮನರಂಜನೆ
pledge	ಪ್ರತಿಜ್ಞೆ
