वाह!	Wow!
जितनी किताबें पढ़ सकते हो पढ़ो।	Read as many books as possible.
ये जूते मेरे लिए बहुत बड़े हैं।	These shoes are too big for me.
अचानक उसे एक अच्छा आइडिया आया।	A good idea suddenly struck her.
तुम्हारे बदले मैं वहाँ जाऊँगा।	I will go there in place of you.
मैं कल टॉम की मदद नहीं करूंगा।	I won't be helping Tom tomorrow.
मैं कल टॉम की मदद नहीं करूंगी।	I won't be helping Tom tomorrow.
क्या हमें कुछ करना नहीं चाहिए?	Shouldn't we be doing something?
वे डूबते हुए जहाज़ से निकल गए।	They abandoned the sinking ship.
जो अखबार में लिखा है वह सच है।	What the newspapers say is true.
मैं तुमसे बात करना चाहता हूँ।	I'd like to have a word with you.
जापान में रहना बहुत महंगा है।	It is expensive to live in Japan.
हमारी मुलाकात ग़लती से हो गई।	Our meeting was quite accidental.
वह दस भाषाएँ बोलना जानता है।	He is able to speak ten languages.
मैं उतनी देर रुक नहीं सकता।	I don't think I can wait that long.
इस दवाई को हर छः घंटे लेना।	Take this medicine every six hours.
वह धीरे-धीरे ठीक हो जाएगा।	He will get better little by little.
प्लान अब तक कामयाब रहा है।	The plan has been successful so far.
तुम कॉलेज जाकर क्या करोगे?	What are you going to do in college?
जहाज़ में कितने लोग हैं?	How many people are on board the ship?
आज ट्रेन दस मिनट लेट है।	The train is ten minutes behind today.
थोड़ा और नमक डाल दोगे?	How about adding a little bit more salt?
उसने अपनी बंदूक का निशाना मुझपर लगाया।	He leveled his gun at me.
माफ़ किजिए, पर मैं आपसे सहमत नहीं हूँ।	I beg to differ with you.
मैं तुम्हें थोड़ी देर में फ़ोन करूँगा।	I'll call you back later.
यह तुम्हारी सेहत के लिए अच्छा नहीं है।	It's not healthy for you.
मैं तुम्हारे साथ सफ़र करना चाहता हूँ।	I want to travel with you.
मैं तुम्हें फिरसे देखकर बहुत खुश हूँ।	I'm glad to see you again.
मेरे पिता ने सिगरेट पीना बंद कर दिया।	My father stopped smoking.
मैं आमतौर के मुकाबले में देर से आया।	I arrived later than usual.
तुम्हारे पास टिकटें बचीं हैं क्या?	Do you have any tickets left?
अमेरिका में अंग्रेजी बोली जाती है।	English is spoken in America.
वे काम से शहर से बाहर गए हुएँ हैं।	He's out of town on business.
मैं उस बारे में कुछ बोल नहीं सकता।	I can't really talk about it.
मेरे पापा अभी अभी घर वापस आएँ हैं।	My father has just come home.
हमारे साथ (रात का) खाना खाएँगे ना?	Won't you join us for dinner?
इस द्वीप पर बहुत कम लोग रहते हैं।	Few people live on the island.
उसने बहुत सी महंगी चीज़ें खरीदीं।	He made many costly purchases.
मुझे नहीं पता कि वह आएगी कि नहीं।	I don't know if she will come.
मुझे पूरी रात काम करने की आदत है।	I'm used to working all night.
उसकी नौकरी का कोई भविष्य नहीं है।	There is no future in his job.
खैर, आप किसका इंतज़ार कर रहे हैं?	Well, what're you waiting for?
होनी को अनहोनी नहीं किया जा सकता।	What is done cannot be undone.
कारोबार में आजकल मंदी पड़ गई है।	Business is so slow these days.
क्या तुम्हें गाड़ी चलाना आता है?	Do you know how to drive a car?
तुम्हें अपने अँडे कैसे पसंद हैं?	How do you like your eggs done?
मैंने उसे बस में छोड़ दिया होगा।	I must have left it on the bus.
मेरी को राजनीति में दिलचस्पी है।	Mary is interested in politics.
वे आखिरकार नज़र से बाहर निकल गए।	They went out of sight at last.
हम विश्व शांति के लिए तत्पर हैं।	We are anxious for world peace.
मुझे घर में थोड़ा काम करना है I	I have some stuff to do at home.
मुझे हमारी पहली मुलाकात याद है।	I remember when I first saw you.
मैं तुम्हें कुछ बताने वाला हूँ।	I'm going to tell you something.
आसमान में दो कौवे उड़ रहें हैं।	Two crows are flying in the sky.
तुम्हारे पास भाई-बहन हैं क्या?	Do you have brothers and sisters?
उसने लगभग रोज़ मुझे फ़ोन किया।	He called me up almost every day.
मुझे टॉम से दूर रहना चाहिए था।	I should've stayed away from Tom.
मैं अगले सोमवार आके ले जाऊंगा।	I'll come pick it up next Monday.
मैं टीवी देख देखकर थक गया हूँ।	I'm tired of watching television.
उन्हें अपनी टीचर से डाँट पड़ी।	They were scolded by the teacher.
टॉम तीस मिनट में निकल रहा है ।	Tom is leaving in thirty minutes.
तुम चलने के लिए तैयार कब होगे?	When will you get ready to leave?
मुझे मूर्ख बनना पसंद नहीं है।	I don't like being made a fool of.
भारत की राजधानी नई दिल्ली है।	New Delhi is the capital of India.
धूम्रपान आपको हानि पहुँचाएगा।	Smoking will do you a lot of harm.
इस महीने दो हत्याएँ हुईं हैं।	There were two murders this month.
आज दोपहर बारिश होने वाली है।	It is going to rain this afternoon.
सितारे दिन में नहीं दिखते |	Stars cannot be seen in the daytime.
हम नदी को तैरकर पार कर पाए।	We managed to swim across the river.
गाँव पर गहरा कोहरा छा गया।	A thick mist covered the countryside.
इसको ऐसे करना खतरनाक होगा।	It'll be dangerous to do it that way.
रेलगाड़ी में १५ डब्बे हैं।	The train is made up of fifteen cars.
इस साल बहुत बारिश पड़ी है।	There's been a lot of rain this year.
काम कल तक खतम होना होगा।	The work must be completed by tomorrow.
मुझे प्रतीक्षा करने में कोई आपत्ती नहीं है।	I don't mind waiting.
मुझे किसी के खटखटाने की आवाज़ सुनाई दी।	I heard someone knocking.
मैं वहाँ शाम के पाँच बजे पहुँच जाऊँगा।	I'll be there at five p.m.
हम आपकी रक्षा करने के लिए यहाँ आए हैं।	We're here to protect you.
उसकी मेरी बहन के साथ सगाई हो चुकी है।	He is engaged to my sister.
यहाँ पर मुश्किल से कभी बारिश होती है।	It hardly ever rains there.
मैं पिछले रविवार बाहर नहीं निकला था।	I didn't go out last Sunday.
मुझे नहीं पता कि टॉम को क्या पता है।	I don't know what Tom knows.
मुझे नहीं पता कि उन्हें क्या पता है।	I don't know what they know.
मेरी जीन्स पैंट धुलाई में सिकुड़ गई।	My jeans shrank in the wash.
डॉक्टर साहब, आपका बहुत बहुत धन्यवाद।	Thank you very much, doctor.
आप लोग यहाँ क्या करने के लिए आए हैं?	What have you come here for?
क्या आपको पता है उसने क्या किया है?	Do you know what he has done?
मैं तुम्हारे साथ एक हद तक सहमत हूँ।	I agree with you to a degree.
मैं उसकी सुरक्षा के लिए परेशान हूँ।	I'm anxious about his safety.
सिक्कों को इकट्ठा करना मेरा शौक है।	My hobby is collecting coins.
राजा ने अपने दुश्मनों को कुचल दिया।	The king crushed his enemies.
मेरी घड़ी के हिसाब से चार बजे हैं।	It's four o'clock by my watch.
मेरे लिए टेनिस खेलना बहुत आसान है।	Playing tennis is easy for me.
वह चिट्ठी को डाक में डालना भूल गई।	She forgot to mail the letter.
इस समस्या को सुलझाना बहुत कठिन है।	This problem is hard to solve.
टॉम को पहले ही माफ कर दिया गया है।	Tom has already been forgiven.
टॉम प्रथम श्रेणी के वैज्ञानिक हैं।	Tom is a first-rate scientist.
तुम्हारे घर का फ़ोन नम्बर क्या है?	What's your home phone number?
मेरे घर के पड़ोस में आग लग गई थी।	A fire broke out near my house.
तुम कुछ भी बोलो फ़र्क नहीं पड़ता।	It doesn't matter what you say.
मैं यह किताब तुम्हारे पास छोड़ूँ?	May I leave this book with you?
उसके आने तक यहाँ इंतेज़ार कीजिए।	Please wait here until he comes.
उसने बुरे वक्त के लिए पैसे बचाए।	She saved money for a rainy day.
जल्दी करो नहीं तो बस छूट जाएगी।	Hurry up, or you'll miss the bus.
पता नहीं कैसे पर तुमने कर दिया।	I don't know how, but you did it.
हमारी क्लास में पचास लड़के हैं।	Our class consists of fifty boys.
हमारी कक्षा में पचास लड़के हैं।	Our class consists of fifty boys.
उसने मुझे मेरे पैसे नहीं लौटाए।	She didn't give me my money back.
यह किताब उस किताब से पुरानी है।	This book is older than that one.
टॉम अजीब तरीके से बात करता है ।	Tom has a strange way of talking.
हम झील के पास एक होटल में ठहरे।	We stayed at a hotel by the lake.
मेरे पास कल उसकी एक चिट्ठी आई।	I had a letter from her yesterday.
मैंने प्रथम पुरस्कार जीत लिया।	I was able to win the first prize.
उसकी बात कुछ ही लोगों ने सुनी।	Only a few people listened to him.
यह कहानी फिर से पढ़ने लायक है।	This story is worth reading again.
वह वसीयत बनाए बिना ही मर गया।	He died without having made a will.
उसने दिनों तक खाना नहीं खाया।	He had to go without food for days.
वह अपने भाई से तेज़ भागता था।	He ran faster than his brother did.
मैं उसका दोस्त हूँ और रहूँगा।	I am his friend and will remain so.
एक लम्बा है और दूसरा छोटा है।	One is tall and the other is short.
और-तो-और वह बीमार भी पड़ गया।	To make matters worse, he fell ill.
उसके हिसाब से वह नहीं आ रही।	According to him, she is not coming.
उसको वाक्य समझ में नहीं आया।	He couldn't understand the sentence.
हर इनसान की राय अलग होती है।	Opinions vary from person to person.
हर इनसान की सोच अलग होती है।	Opinions vary from person to person.
मुझे नौवे महीने का नाम बताओ।	Tell me the name of the ninth month.
मानो ना मानो, सच तो यही है।	Believe it or not, this is the truth.
वह सोना का बहाना कर रही थी।	She was only pretending to be asleep.
मैं इस विषय से परिचित हूँ।	I am well acquainted with the subject.
कल उसने पूरी रात पढ़ाई की।	Last night, he studied all night long.
वह कल रात आराम से चल बसीं।	She passed away peacefully last night.
गाँव में सीधे जाते रहिए।	Keep going straight through the village.
एसी बहुत आवाज़ करता है।	The air conditioner makes too much noise.
उसने मुझे ध्यान में लेने से इनकार करदिआ।	She refused to notice me.
आपको लाईन में लगकर इंतेज़ार करना पड़ेगा।	You have to wait in line.
उसने दुर्घटना को अपनी आँखों से देखा था।	He witnessed the accident.
मैं इस कोटे तक भला कैसे पहुंच सकता हूँ?	How can I meet this quota?
मुझे समझ में नहीं आ रहा कि क्या पढ़ूँ।	I don't know what to study.
मुझे नहीं पता कि उसको पता है कि नहीं।	I don't know if he knows it.
मैंने अपना कमरा अभी अभी साफ़ किया है।	I have just cleaned my room.
अंग्रेज़ी बोलना मुश्किल होता है क्या?	Is it hard to speak English?
वह अपने बालों को जूड़े में बाँधती है।	She wears her hair in a bun.
खाना खाने के बाद दाँतों को साफ़ करो।	Brush your teeth after meals.
खाना खाने के बाद दाँतों को ब्रश करो।	Brush your teeth after meals.
मुझे विज्ञान और गणित दोनों पसंद हैं।	I like both science and math.
मैंने उसके साथ तुम्हारा नाम लिया था।	I mentioned your name to him.
घूमफिरकर बात मत करो, सीधे-सीधे बोलो।	Stop beating around the bush.
वे संगीत के बारे में बात कर रहे हैं।	They are talking about music.
तुम्हें फूलों में दिलचस्पी है क्या?	Are you interested in flowers?
मैं ज़्यादा बास्‍केटबॉल नहीं देखता।	I don't watch much basketball.
आइए देखें कि आपके पास वहां क्या है।	Let's see what you have there.
पापा बाथरूम में दाढ़ी बना रहे हैं।	Dad is shaving in the bathroom.
मैंने उससे बैठ जाने का इशारा किया।	I motioned for her to sit down.
मैं टॉम को धन्यवाद कहना चाहता हूं।	I want to say thank you to Tom.
मैं टॉम को धन्यवाद कहना चाहती हूं।	I want to say thank you to Tom.
मैं तुम्हें एक बड़ा फ़ोल्डर दूँगा।	I will give you a large folder.
मुझे टॉम को ढूँढने में समय लग गया।	It took me a while to find Tom.
वे आदमी शेरों का शिकार करने निकले।	The men went hunting for lions.
वह दुकान चमड़े के उत्पाद बेचती थी।	The shop carried leather goods.
टॉम ने कॉलेज से स्नातक कर लिया है।	Tom has graduated from college.
अंग्रेज़ी सारी दुनिया की भाषा है।	English is the world's language.
मैं उसके पिता से मिलना चाहता हूँ।	I would like to meet his father.
मैं तुम्हें कुछ बताने जा रहा हूँ।	I'm going to tell you something.
हम उस पर कितना भरोसा कर सकते हैं?	To what degree can we trust him?
टॉम वहीं खड़ा रहा, कुछ नहीं बोला।	Tom stood there, saying nothing.
हमे यहाँ से समुंदर सुनाई देता है।	We can hear the ocean from here.
हम जल्दबाज़ी में ट्रेन स्टेशन गए।	We hurried to the train station.
रस्सी को पानी में फेंक दिया गया।	A rope was thrown into the water.
उसने चिट्ठी अभी तक नहीं लिखी है।	He hasn't written the letter yet.
वह अमीर है हो है पर कंजूस भी है।	He may be rich, but he is stingy.
उसे केवल एक गोली से मारा गया था।	He was killed by a single bullet.
पता नहीं कैसे पर टॉम ने कर दिया।	I don't know how, but Tom did it.
मैं वहाँ गया क्योंकि मेरा मन था।	I went there because I wanted to.
उन्होंने हमको बहुत कम कष्ट दिया।	They gave us very little trouble.
मैं खुशकिसमत था कि सफ़ल हो गया।	I had the good fortune to succeed.
बहुत कम लोग थे जो वहाँ नहीं गए।	Only a few people didn't go there.
वह सड़क नदी के साथ साथ चलती है।	The road is parallel to the river.
फ़्रांस की महिलाये खूबसूरत हैं।	The women of France are beautiful.
वहाँ मेरे अलावा और कोई नहीं था।	There was no one there besides me.
हमने मुनाफ़े को अपने बीच बाँटा।	We shared the profit among us all.
तुम रोज़ कितने बजे उठा करते हो?	What time do you get up every day?
बर्न स्विजरलैंड की राजधानी है।	Bern is the capital of Switzerland.
तुमने रेडियो पर खबर सुनी क्या?	Did you hear the news on the radio?
उसने भारत में विद्रोह को रोका।	He put down the rebellion in India.
वह थक गया था, तो सोने चला गया।	Since he was tired, he went to bed.
अंग्रेज़ी पढ़ाना उसका पेशा है।	Teaching English is his profession.
इस लड़के के जेब में एक सेव है।	The boy has an apple in his pocket.
क्या मैं दरवाज़ा खोल सकता हूँ?	Would you mind my opening the door?
मेरा एक भाई और दो बहनें हैं।	I've got one brother and two sisters.
लाल छत वाला वह टॉम का घर है।	That's Tom's house with the red roof.
हम उसके घर के सामने मिलेंगे।	We are to meet in front of his house.
वह अफ़वाह एकदम झूठी निकली।	The rumor proved to be an absolute lie.
तुम मुझे पाँच सौ येन उधार दे सकते हो क्या?	Can you lend me 500 yen?
मेरे पास तुमसे मिलने के लिए समय नहीं है।	I have no time to see you.
उसने सिगरेट पीना छोड़ने का फ़ैसला किया।	He decided to quit smoking.
मुझे निम्नलिखित वस्तुओं की आवश्यकता है।	I need the following items.
वह बुखार के साथ बिस्तर में लेटी हुई है।	She is in bed with a fever.
मेरी बात ने उसके अभिमान पर चोट पहुँचाई।	What I said hurt his pride.
वह मुझसे ग़ुलाम की तरह बर्ताव करता है।	He treats me like his slave.
जवाब न देना भी एक तरह का जवाब होता है।	No answer is also an answer.
मैंने किसी को मारने की कोशिश नहीं की।	I didn't try to kill anybody.
मैं ग्यारह बजे की ट्रेन पकड़ रहा हूँ।	I'm catching the 11:00 train.
छोटी उम्र में मरना उसके भाग्य में था।	It was her fate to die young.
उससे बहस करने में कोई फ़ायदा नहीं है।	It's no use arguing with him.
आप अपनी गाड़ी यहाँ खड़ी नहीं कर सकते।	You can't park your car here.
आप बहुत आत्मविश्वासी नहीं लग रहे हैं।	You don't look too confident.
उसने वैसा करा जैसे उसे बताया गया था।	He did it as he had been told.
उसने मेरे जवान होने का फ़ायदा उठाया।	He took advantage of my youth.
उनके पास रहने के लिए कोई घर नहीं है।	They have no house to live in.
उसकी नीली आखें हैं और गोरे बाल हैं।	He has blue eyes and fair hair.
उसने जैसे बताया था मैंने वैसे किया।	I did it the way he told me to.
टॉम नहीं बता सकता था कि वह कहाँ था।	Tom couldn't tell where he was.
तुम्हें दस बजे तक वापस आ जाना होगा।	You must be back by 10 o'clock.
तुम्हें मेरी बात सुन लेनी चाहिए थी।	You should have listened to me.
इसे जितनी जल्दी हो सके ख़त्म करो ।	Finish this as soon as possible.
उसने पीछे मुड़कर मुझपर मुस्कुराया।	He looked back and smiled at me.
मैंने उस घोड़े पर दस डॉलर लगाए थे।	I bet ten dollars on that horse.
मुझे आशा है कि वह निराश नहीं होगा।	I hope he won't be disappointed.
मैं हर सुबह छः बजे उसको उठाती हूँ।	I wake him at six every morning.
उसने मुझको बहुत देर तक घूरकर देखा।	She gazed at me for a long time.
लोग कहते हैं कि इस घर में भूत हैं।	The house is said to be haunted.
तुमने मेरे सामान के साथ क्या किया?	What did you do with my baggage?
मेरे साथ डान्स करना चाहती हो क्या?	Would you like to dance with me?
तुम्हें नियमों का पालन करना चाहिए।	You should conform to the rules.
तुम्हारी साईकल मेरी साईकल जैसी है।	Your bicycle is similar to mine.
मेरे पापा के बाल सफ़ेद हो गए हैं।	My father's hair has grown white.
उसने उससे पैसे जुटाने के लिए कहा।	She asked him to raise the funds.
उसने पूरी ज़िन्दगी शादी नहीं करी।	She remained single all her life.
तुम आज रात पार्टी में जाओगे क्या?	Will you go to the party tonight?
क्या मुझे अस्पताल में रहना होगा?	Do I have to stay in the hospital?
उसको हमेशा पैसों की कमी होती है।	He's always running short of cash.
मुझे लम्बी सैर के बाद भूख लग आई।	I felt hungry after the long walk.
मैं बारिश की वजह से आ नहीं पाया।	The rain prevented me from coming.
वे अंग्रेज़ी सीखने को तैयार हैं।	They are willing to learn English.
हमे गति सीमा का पालन करना चाहिए।	We should observe the speed limit.
अपने सहपाठियों की बुराई मत करो।	Don't speak ill of your classmates.
वह मेरे आस-पड़ोस में नहीं रहता।	He doesn't live in my neighborhood.
मछली बाज़ार में कैसा चल रहा है?	How is it going in the fish market?
उसको अपना भविष्य असुरक्षित लगा।	She felt insecure about her future.
इन सवालों का जवाब देना आसान है।	These questions are easy to answer.
उन्होंने अपने ऊपर मुसीबत बुलाई।	They brought trouble on themselves.
कल मैं पूरे दिन बिस्तर में था।	I was in bed all day long yesterday.
विमान एक घंटे में उड़ान भरेगा।	The plane will take off in one hour.
दुनिया चाय के बिना क्या करेगी?	What would the world do without tea?
वह सड़क के किनारे पर खड़ा था।	He was standing at the street corner.
मैं अपनी कमाई से संतुष्ट हूँ।	I'm satisfied with my current income.
तुम्हारी बारी है। इस तरफ़ आओ।	It's your turn. Please come this way.
यह दवाई दर्द को दूर कर देगी।	This medicine will take the pain away.
टॉम ने ही मुझे राह दिखाई थी।	Tom was the one who showed me the way.
कल तीन आदमी जेल से भाग गए।	Three men broke out of prison yesterday.
पौधे बारिश के बिना मर गए।	Absence of rain caused the plants to die.
मेरे पास आज बहुत काम है।	I have a lot of work to get through today.
उसके पास बहुत सारी इतिहास की किताबें हैं।	He has many history books.
मेक्सिको में स्पैनिश बोली जाती है क्या?	Is Spanish spoken in Mexico?
उस बड़े डब्बे को कोई भी नहीं हिला सकता।	No one can move the big box.
किसी ने भी मेरे सवाल का जवाब नहीं दिया।	Nobody answered my question.
उसका लम्बा भाषण सुनकर हम सब बोर हो गए।	His long speech bored us all.
मैं चाहता था कि टॉम ज़्यादा पढ़ाई करे।	I wanted Tom to study harder.
गाड़ी फ़ोन के खम्बे से जाकर भिड़ पड़ी।	The car hit a telephone pole.
क्या तुम मुझे चोरी करना सिखा सकते हो?	Can you teach me how to steal?
मेरे विचार से यह युक्तियुक्त नहीँ है।	I don't think it's reasonable.
मुझे लगा कि मुझे उसकी मदद करनी चाहिए।	I felt that I should help her.
मैं अकेला ही वो करने के लिए तैयार था।	I was ready do that all alone.
इनसान सपने देखे बिना जी नहीं सकता है।	Man can't live without dreams.
लड़ने-झगड़ने से बात का हल नहीं होगा।	Fighting won't settle anything.
उसने उसे अकेले न जाने की चेतावनी दी।	She warned him not to go alone.
चीन जापान से काफ़ी ज़्यादा बड़ा है।	China is much bigger than Japan.
मैंने इस पुस्तक को तीन बार पढ़ा है।	I've read this book three times.
क्या टॉम बड़े बाज़ार में जा रहा है?	Is Tom going to the supermarket?
यह स्पष्ट था कि टॉम झूठ बोल रहा था।	It was clear that Tom was lying.
उसके नाना की उम्र क्या होनी चाहिए?	How old might his grandfather be?
मुझे कल रात एक बहुत अजीब सपना आया।	I had a strange dream last night.
मुझे लगता है ट्रेन आने ही वाली है।	I think the train will come soon.
मैं एक दिन अमेरिका जाना चाहता हूँ।	I want to go to America some day.
मैं एक छोटी अटैची को ढूँढ रहा हूँ।	I'm looking for a small suitcase.
उस लड़के ने अपने सारे कपड़े उतारे।	The boy stripped off his clothes.
टॉम का बात करने का तरीका अजीब है ।	Tom has a strange way of talking.
मुझे समझ में नहीं आ रहा क्या हुआ।	I cannot understand what happened.
तुम्हारा सपना एक दिन सच हो जाएगा।	Someday your dream will come true.
हाथी एक बहुत बड़ा जानवर होता है।	An elephant is a very large animal.
उसके पास बैंक में बहुत पैसे हैं।	He has plenty of money in the bank.
उस राजा से उसकी ताक़त छीन ली गई।	The king was deprived of his power.
दरवाज़े पर कोई अजीब सा इनसान है।	There is a strange man at the door.
हम सब सच जानने के लिए बेचैन हैं।	We are all eager to know the truth.
ऐसी वफ़ादारी खरीदी नहीं जा सकती।	You can't buy that kind of loyalty.
मैं एक रात और रह सकता हूँ क्या?	Can I extend my stay one more night?
उसने मेरे अज्ञान पर आशंका जताई।	He seemed surprised by my ignorance.
मुझे वही समस्या है जो आप को है।	I have the same problem that you do.
मुझे अगले हफ़्ते देखने आओगे ना?	Won't you come and see me next week?
मक्खन और पनीर दूध से बनते हैं।	Butter and cheese are made from milk.
उसने अपने माथे से पसीना पोंछा।	He wiped the sweat from his forehead.
आंकरेज होते हुए मैं युरोप गया।	I went to Europe by way of Anchorage.
यहाँ बेसबॉल खेलना मना है।	You aren't supposed to play baseball here.
मुझे तुम्हें थप्पड़ करने के लिए मजबूर मत करो।	Don't make me slap you.
मुझे उसके प्रस्ताव को अस्वीकार करना पड़ा।	I had to decline his offer.
मेरे पास जो भी पैसे थे मैंने उसे दे दिए।	I gave him what money I had.
उसने अपने बेटे को कान से पकड़ कर खींचा।	He pulled his son by the ear.
मैं यकीन नहीं कर पा रहा कि टॉम चला गया।	I can't believe Tom has gone.
इस स्कूल में बहुत सारे विद्यार्थी हैं।	This school has many students.
इस कविता का तुम क्या मतलब निकालते हो?	How do you interpret this poem?
यह आसान नहीं है लेकिन करा जा सकता है।	It isn't easy, but it's doable.
वह हमेशा कोई नया काम आज़माती रहती है।	She always tries something new.
इस साल ज़्यादा बारिश नहीं हो रही है।	It isn't raining much this year.
संभवतः वह विख्यात कभी नहीँ हो पाएगा।	Perhaps he will never be famous.
तुम वहाँ बस से जाते हो या गाड़ी से?	Do you go there by bus or by car?
मुझे अपने आलसी होने पर शर्म आती है।	I am ashamed of having been lazy.
मुझे इसके बारे में कुछ भी नहीं पता।	I know nothing whatever about it.
मैंने कल रात एक प्रेम पत्र लिखा था।	I wrote a love letter last night.
बच्चों को दवाईयों से दूर रखना चहिए।	Keep children away from medicine.
अरे नहीं! पेट्रोल खतम होने वाला है।	Oh, no! We're running out of gas.
किसी ने मेरी से उसके पैसे चुरा लिए।	Someone robbed Mary of her money.
तुम अपने खाली समय में क्या करते हो?	What do you do in your free time?
यह साबित कर दिया गया कि वह चोर था।	It was proved that he was a thief.
उनके लिए बाहर जाना बहुत ज़रूरी है।	It's important for them to go out.
आप एक और कप चाय पीना चाहेंगे क्या?	Would you like another cup of tea?
क्या ये जूते मेरे नाप में भी हैं?	Do you have these shoes in my size?
आप को गाँव में रहना पसंद है क्या?	Do you like to live in the country?
वहाँ पहुँचने में कितनी देर लगेगी?	How long will it take to get there?
मुझे नहीं लगता मैं बहुत बदला हूं।	I don't think I've changed so much.
मुझे नहीं लगता कि ऐसा संभव भी है।	I don't think that's even possible.
वह सफ़र की तैयारी में लगी हुई है।	She is busy preparing for the trip.
मुझे टिकटें कहाँ से लेनीं होंगीं?	Where should I pick the tickets up?
सभी लोग क्लास में समय पर पहुँचे।	Everybody came to the class on time.
जल्दी करो तो ट्रेन पकड़ सकते हो।	Hurry, and you will catch the train.
हम सब नाश्ते के समय बहुत खुश थे।	We were all very happy at breakfast.
आप थोड़ा धीरे बोल सकते हैं क्या?	Would you speak more slowly, please?
आपके पास शांत रहने का अधिकार है।	You have the right to remain silent.
उसने फटाफट चिट्ठी का जवाब दिया।	He lost no time answering the letter.
तुम्हारी बेटी अब बच्ची नहीं है।	Your daughter is not a child anymore.
शक की कोई गुंजाईश नहीं रही है।	There is no longer any room for doubt.
दो लड़के कमरे से भागे निकल आए।	Two boys came running out of the room.
क्या आप व्यक्तिगत रूप से टॉम को जानते हैं?	Do you know Tom personally?
क्या तुम व्यक्तिगत रूप से टॉम को जानते हो?	Do you know Tom personally?
मुझे सायकल चलाना चलने से ज़्यादा पसंद है।	I prefer walking to cycling.
मुझे पीठ में बुरी तरह से दर्द हो रहा है।	I have a bad pain in my back.
मैं घोड़े की सवारी करके देखना चाहता हूँ।	I want to try riding a horse.
नीचे रहो, नहीं तो तुम्हें गोली लग जाएगी।	Keep down, or you'll be shot.
"अभी कितने बजे हैं?" "तीन बीस बजे हैं"	"What time is it?" "It's 3:20."
क्या तुम्हारे पास अपना खुद का कमरा है?	Do you have a room of your own?
मैं ने टॉम के सभी सवालों का जवाब दिया।	I answered all Tom's questions.
छत पर जो चिड़िया बैठी है वह एक कौआ है।	The bird on the roof is a crow.
मैं चाहता हूँ कि तुम अपना वादा निभाओ।	I want you to keep your promise.
इस दुर्घटना के लिए कौन ज़िम्मेदार है?	Who's to blame for the accident?
वह उनके सवालों का जवाब नहीं दे सकता।	He cannot answer their questions.
मुझे घर के कामकाज में मदद करनी पड़ी।	I had to help with the housework.
मुझे देर से आने के लिए माफ़ कीजिएगा।	Please pardon me for coming late.
वह गरीब है, पर दिखने से खुश लगती है।	She is poor, but she looks happy.
यहां डाक टिकटें नहीं बेची जातीं हैं।	Stamps aren't sold in this store.
उस लड़की को खतरे के बारे में पता था।	The girl was aware of the danger.
इतिहास की क्लास नौ बजे शुरू होती है।	The history class starts at nine.
इस किताब में बहुत सारी तस्वीरें हैं।	This book contains many pictures.
यह टाई मेरे सूट के साथ जचती नहीं है।	This tie doesn't go with my suit.
उस तरह का आदमी मुझसे झिलता नहीं है।	A man like that gets on my nerves.
मुझसे उसका अक्खड़पन झेला नहीं जाता।	I can't put up with his arrogance.
हम तुम्हारे साथ सैर करने चलें क्या?	May we accompany you on your walk?
मेरे दोस्तों ने मेरा जन्मदिन मनाया।	My friends celebrated my birthday.
यह साईकल तुम्हारे लिए बहुत छोटी है।	That bicycle is too small for you.
एक पुलिस अफ़सर उससे बात कर रहा है।	A police officer is talking to her.
हर आदमी को खाना बनाना सीखना चाहिए।	Every man should learn how to cook.
मुझे उसके बयान की सच्चाई पर शक है।	I doubt the truth of his statement.
मैं पियानो बहुत अच्छा बजा लेता था।	I was able to play piano very well.
उन्हे अपने अकलमंद बेटे पर नाज़ है।	They are proud of their clever son.
उन्हें शादी की समस्याएं आ रही थीं।	They were having marriage problems.
उसने छः बरस के बच्चे की तरह रोया।	He cried as if he were a boy of six.
बिल्ली धीरे से चूहे की तरफ़ बढ़ी।	The cat slowly approached the mouse.
बौद्ध धर्म भारत में पैदा हुआ था।	Buddhism had its beginnings in India.
तुम्हें मीटिंग में आना चाहिए था।	You should have attended the meeting.
वे सारी दिशाओं में फैले हुए थे।	They were scattered in all directions.
टॉम ने ही मुझे मार्ग दिखाया था।	Tom was the one who showed me the way.
ज़ुकाम हो तो यह दवाई ले लेना।	Take this medicine when you have a cold.
बच्चा बहुत देर से रो रहा था।	The baby has been crying for a long time.
वह जेब काटते हुए पकड़ा गया।	He was caught in the act of pickpocketing.
वह कल पार्टी में नहीं आया।	He did not show up at the party last night.
आज बादल कल से ज़्यादा हैं।	There are more clouds today than yesterday.
